Station Code,distance_RLB,services_per_day_RLB,n_of_disruptions_RLB
AC,78,0,206
AH,118,0,310
AHP,119,0,567
AHPR,121,0,569
AHZ,110,0,310
AKL,41,0,231
AKM,227,0,541
ALM,112,0,250
ALMB,118,0,381
ALMM,111,0,249
ALMO,120,0,381
ALMP,114,0,381
AMF,84,0,237
AMFS,87,0,477
AML,181,0,543
AMPO,109,0,249
AMR,109,0,324
AMRI,183,0,613
AMRN,110,0,399
ANA,139,0,410
APD,127,0,477
APDM,128,0,512
APDO,130,0,512
APG,290,0,571
APN,49,0,187
ARN,116,0,252
ASA,91,0,206
ASB,91,0,129
ASD,93,0,129
ASDL,86,0,129
ASDM,93,0,243
ASDZ,85,0,129
ASHD,92,0,143
ASN,228,0,491
ASS,89,0,129
ASSP,94,0,257
ATN,170,0,604
AVAT,90,0,483
BD,43,0,216
BDE,193,0,653
BDG,57,0,268
BDM,271,0,560
BDPB,38,0,221
BET,91,0,595
BF,275,0,560
BGN,64,0,221
BHDV,30,0,229
BHV,72,0,237
BK,186,0,653
BKF,143,0,214
BKG,142,0,210
BKL,66,0,173
BL,212,0,496
BLL,77,0,282
BMN,140,0,570
BMR,140,0,345
BN,190,0,613
BNC,103,0,478
BNK,71,0,237
BNN,100,0,477
BNZ,105,0,494
BP,269,0,508
BR,151,0,633
BRD,4,60.12903225806452,0
BRN,87,0,261
BSD,55,0,249
BSK,43,0,164
BSKS,42,0,164
BSMZ,86,0,238
BTL,81,0,552
BV,87,0,302
BZL,96,0,252
CAS,97,0,321
CK,130,0,342
CL,70,0,293
CO,205,0,511
CPS,18,0,81
CVM,203,0,670
DA,192,0,613
DB,75,0,237
DDN,185,0,527
DDR,13,60.12903225806452,99
DDRS,16,0,216
DDZD,14,0,216
DEI,249,0,508
DID,137,0,567
DL,162,0,491
DLD,75,0,257
DLN,209,0,525
DMN,96,0,257
DMNZ,91,0,206
DN,123,0,605
DR,134,0,567
DRH,82,0,301
DRON,161,0,395
DRP,256,0,522
DT,21,59.87096774193548,79
DTC,148,0,587
DTCH,146,0,587
DTCP,20,59.87096774193548,79
DV,142,0,477
DVC,146,0,543
DVD,89,0,203
DVN,127,0,569
DVNK,42,0,198
DWE,262,0,508
DZ,294,0,589
DZW,293,0,589
EC,166,0,650
ED,104,0,237
EDC,106,0,259
EDN,208,0,654
EEM,301,0,588
EGH,202,0,669
EGHM,203,0,669
EHS,100,0,671
EHV,101,0,539
EKZ,146,0,222
EML,107,0,480
EMN,225,0,526
EMNZ,221,0,525
ES,198,0,579
ESK,194,0,579
EST,107,0,296
ETN,54,0,539
FN,262,0,508
FWD,259,0,508
GBG,198,0,511
GD,31,0,79
GDG,34,0,164
GDM,62,0,250
GDR,153,0,604
GERP,254,0,544
GK,275,0,559
GLN,182,0,652
GN,256,0,544
GND,27,0,219
GNN,260,0,559
GO,175,0,519
GP,107,0,601
GR,36,0,229
GS,101,0,252
GV,29,57.516129032258064,180
GVC,30,57.516129032258064,195
GVM,34,0,195
GVMW,28,57.516129032258064,180
GW,232,0,498
GZ,53,0,539
HAD,70,0,205
HB,193,0,683
HBZM,24,0,219
HD,111,0,480
HDB,192,0,498
HDE,132,0,477
HDG,255,0,508
HDR,151,0,419
HDRZ,150,0,419
HFD,69,0,205
HGL,190,0,560
HGLG,188,0,560
HGLO,192,0,579
HGV,198,0,491
HGZ,267,0,567
HIL,63,0,205
HK,90,0,320
HKS,138,0,206
HLG,271,0,509
HLGH,272,0,513
HLM,74,0,245
HLMS,75,0,282
HLO,104,0,324
HM,114,0,601
HMBH,115,0,605
HMBV,111,0,601
HMH,113,0,601
HMN,93,0,296
HN,128,0,150
HNK,129,0,206
HNO,162,0,491
HNP,287,0,511
HON,161,0,543
HOR,75,0,237
HR,216,0,491
HRL,197,0,652
HRLW,199,0,669
HRN,250,0,544
HRT,141,0,633
HT,84,0,293
HTN,71,0,237
HTNC,72,0,265
HTO,85,0,366
HVL,90,0,477
HVS,81,0,237
HVSM,82,0,238
HVSP,80,0,237
HWD,116,0,400
HWZB,82,0,282
HZE,112,0,607
IJT,270,0,509
KBD,83,0,252
KBK,136,0,513
KLP,97,0,237
KMA,98,0,321
KMR,205,0,669
KMW,292,0,516
KPN,165,0,491
KPNZ,165,0,491
KRD,205,0,680
KRG,90,0,252
KTR,86,0,293
KW,264,0,565
KZ,97,0,153
LAA,31,0,195
LC,162,0,512
LDL,46,0,205
LDM,48,0,249
LEDN,45,0,195
LG,200,0,669
LLS,136,0,381
LLZM,44,0,164
LP,282,0,571
LTN,110,0,494
LTV,180,0,514
LUT,182,0,652
LW,245,0,491
LWC,248,0,508
MAS,70,0,237
MDB,120,0,252
MES,205,0,654
MG,255,0,508
MMLH,125,0,331
MP,178,0,491
MRB,184,0,498
MRN,83,0,269
MT,199,0,652
MTH,265,0,567
MTN,202,0,654
MTR,200,0,654
MZ,122,0,612
NDB,87,0,238
NH,190,0,683
NKK,95,0,477
NM,115,0,310
NMD,120,0,331
NMGO,118,0,331
NMH,118,0,331
NML,114,0,310
NS,123,0,477
NSCH,300,0,574
NVD,182,0,491
NVP,64,0,205
NWK,22,0,137
O,103,0,366
OBD,122,0,410
ODB,44,0,221
ODZ,201,0,579
OMN,173,0,498
OP,90,0,296
OST,152,0,543
OT,72,0,552
OTB,117,0,259
OVN,76,0,282
OW,102,0,369
PMO,110,0,151
PMR,109,0,150
PMW,108,0,153
PT,102,0,480
RAI,86,0,203
RAT,168,0,491
RB,80,0,252
RD,294,0,575
RH,128,0,570
RHN,106,0,272
RL,167,0,514
RLB,0,0,0
RM,153,0,601
RS,91,0,369
RSD,51,0,216
RSN,168,0,543
RSW,26,57.516129032258064,180
RTA,17,0,79
RTB,6,61.064516129032256,0
RTD,7,61.064516129032256,9
RTN,12,0,79
RTST,2,0.5161290322580645,0
RTZ,3,61.064516129032256,0
RV,164,0,650
RVS,111,0,387
SBK,185,0,682
SD,83,0,261
SDA,283,0,565
SDM,11,59.87096774193548,79
SDT,23,0,218
SDTB,20,0,218
SGL,209,0,668
SGN,130,0,410
SHL,74,0,79
SK,267,0,508
SKND,266,0,508
SM,158,0,650
SN,187,0,683
SOG,207,0,669
SPTN,81,0,300
SPTZ,79,0,300
SRN,171,0,679
SSH,53,0,205
ST,82,0,261
STD,178,0,650
STM,278,0,571
STV,296,0,516
STZ,81,0,261
SWD,267,0,559
SWK,192,0,541
TB,64,0,539
TBG,154,0,604
TBR,59,0,558
TBU,63,0,560
TG,158,0,686
TL,74,0,293
TPSW,72,0,293
TWL,137,0,512
UHM,291,0,575
UHZ,288,0,575
UST,283,0,574
UT,63,0,164
UTG,93,0,320
UTLN,67,0,237
UTLR,60,0,187
UTO,66,0,237
UTT,58,0,182
UTVR,64,0,237
UTZL,65,0,237
VB,33,0,224
VD,157,0,512
VDL,201,0,669
