Station Code,Distance from RS,Services from/to RS,Disruptions on path to RS
AC,79,0.0,185
AH,55,7.935483870967742,42
AHP,56,0.0,299
AHPR,58,0.0,301
AHZ,47,7.903225806451613,56
AKL,50,0.0,120
AKM,208,0.0,442
ALM,104,0.0,162
ALMB,110,0.0,293
ALMM,103,0.0,161
ALMO,112,0.0,293
ALMP,106,0.0,293
AMF,76,0.0,149
AMFS,79,0.0,389
AML,139,0.0,368
AMPO,101,0.0,161
AMR,133,0.0,434
AMRI,141,0.0,438
AMRN,134,0.0,509
ANA,163,0.0,520
APD,102,0.0,302
APDM,101,0.0,303
APDO,105,0.0,337
APG,271,0.0,472
APN,90,0.0,159
ARN,139,0.0,448
ASA,88,0.0,149
ASB,84,0.0,149
ASD,94,0.0,149
ASDL,101,0.0,428
ASDM,90,0.0,186
ASDZ,90,0.0,152
ASHD,85,0.0,163
ASN,209,0.0,392
ASS,98,0.0,407
ASSP,91,0.0,200
ATN,107,0.0,336
AVAT,82,0.0,395
BD,50,28.29032258064516,89
BDE,131,0.0,190
BDG,82,0.0,150
BDM,252,0.0,461
BDPB,55,27.483870967741936,412
BET,29,0.0,119
BF,256,0.0,461
BGN,87,0.0,417
BHDV,61,0.0,140
BHV,64,0.0,149
BK,124,0.0,190
BKF,152,0.0,492
BKG,151,0.0,488
BKL,67,0.0,152
BL,193,0.0,397
BLL,116,0.0,444
BMN,77,0.0,302
BMR,61,0.0,56
BN,134,0.0,369
BNC,87,0.0,322
BNK,61,0.0,200
BNN,90,0.0,338
BNZ,85,0.0,322
BP,250,0.0,409
BR,89,0.0,170
BRD,87,0.0,270
BRN,79,0.0,173
BSD,36,0.0,119
BSK,96,0.0,240
BSKS,97,0.0,263
BSMZ,78,0.0,150
BTL,19,0.0,76
BV,123,0.0,467
BZL,119,0.0,448
CAS,121,0.0,431
CK,51,0.0,53
CL,37,0.0,119
CO,179,0.0,455
CPS,100,0.0,234
CVM,141,0.0,207
DA,150,0.0,438
DB,65,0.0,244
DDN,124,0.0,317
DDR,78,27.483870967741936,153
DDRS,75,0.0,151
