station,distance,services_per_day,n_of_disruptions
AC,129,0,197
AH,129,0,451
AHP,130,0,708
AHPR,132,0,710
AHZ,121,0,465
AKL,66,0,132
AKM,277,0,652
ALM,162,0,361
ALMB,168,0,492
ALMM,161,0,360
ALMO,170,0,492
ALMP,164,0,492
AMF,134,0,348
AMFS,137,0,588
AML,213,0,777
AMPO,159,0,360
AMR,160,0,315
AMRI,215,0,847
AMRN,161,0,390
ANA,190,0,401
APD,176,0,711
APDM,175,0,712
APDO,179,0,746
APG,340,0,682
APN,100,0,178
ARN,65,0,31
ASA,142,0,197
ASB,142,0,120
ASD,144,0,120
ASDL,137,0,120
ASDM,144,0,234
ASDZ,136,0,120
ASHD,143,0,134
ASN,278,0,602
ASS,140,0,120
ASSP,145,0,248
ATN,181,0,745
AVAT,140,0,594
BD,24,0,0
BDE,174,0,437
BDG,108,0,259
BDM,321,0,671
BDPB,29,0,323
BET,72,0,379
BF,325,0,671
BGN,13,0,0
BHDV,55,0,130
BHV,122,0,348
BK,167,0,437
BKF,194,0,205
BKG,193,0,201
BKL,117,0,164
BL,262,0,607
BLL,128,0,273
BMN,151,0,711
BMR,135,0,465
BN,208,0,778
BNC,153,0,589
BNK,119,0,275
BNN,150,0,588
BNZ,155,0,605
BP,319,0,619
BR,132,0,417
BRD,47,0,117
BRN,137,0,372
BSD,80,0,150
BSK,94,0,155
BSKS,93,0,155
BSMZ,136,0,349
BTL,62,0,336
BV,138,0,293
BZL,45,0,31
CAS,148,0,312
CK,125,0,462
CL,95,0,194
CO,253,0,864
CPS,69,0,72
CVM,184,0,454
DA,224,0,847
DB,123,0,319
DDN,198,0,726
DDR,38,0,0
DDRS,41,0,117
DDZD,37,0,5
DEI,299,0,619
DID,148,0,708
DL,212,0,602
DLD,125,0,368
DLN,257,0,878
DMN,147,0,248
DMNZ,142,0,197
DN,104,0,389
DR,145,0,708
DRH,133,0,292
DRON,211,0,506
DRP,306,0,633
DT,72,0,70
DTC,159,0,728
DTCH,157,0,728
DTCP,71,0,70
DV,174,0,711
DVC,178,0,777
DVD,140,0,194
DVN,138,0,710
DVNK,93,0,189
DWE,312,0,619
DZ,344,0,700
DZW,343,0,700
EC,147,0,434
ED,146,0,708
EDC,148,0,730
EDN,189,0,438
EEM,351,0,699
EGH,183,0,453
EGHM,184,0,453
EHS,81,0,455
EHV,82,0,323
EKZ,197,0,213
EML,157,0,591
EMN,273,0,879
EMNZ,269,0,878
ES,211,0,778
ESE,217,0,807
ESK,207,0,778
EST,118,0,451
ETN,13,0,0
FN,312,0,619
FWD,309,0,619
GBG,246,0,864
GBR,220,0,807
GD,82,0,70
GDG,85,0,155
GDM,87,0,151
GDR,164,0,745
GERP,304,0,655
GK,325,0,670
GLN,163,0,436
GN,306,0,655
GND,52,0,120
GNN,310,0,670
GO,188,0,718
GP,88,0,385
GR,61,0,130
GS,50,0,31
GV,80,0,171
GVC,81,0,186
GVM,85,0,186
GVMW,79,0,171
GW,282,0,609
GZ,34,0,323
HAD,121,0,196
HB,174,0,467
HBZM,49,0,120
HD,161,0,591
HDB,240,0,851
HDE,182,0,588
HDG,305,0,619
HDR,202,0,410
HDRZ,201,0,410
HFD,120,0,196
HGL,203,0,759
HGLG,201,0,759
HGLO,205,0,778
HGV,248,0,602
HGZ,317,0,678
HIL,114,0,196
HK,141,0,311
HKS,189,0,197
HLG,321,0,620
HLGH,322,0,624
HLM,125,0,236
HLMS,126,0,273
HLO,155,0,315
HM,95,0,385
HMBH,96,0,389
HMBV,92,0,385
HMH,94,0,385
HMN,118,0,197
HN,179,0,141
HNK,180,0,197
HNO,212,0,602
HNP,337,0,622
HON,193,0,777
HOR,125,0,348
HR,266,0,602
HRL,178,0,436
HRLW,180,0,453
HRN,300,0,655
HRT,122,0,417
HT,67,0,336
HTN,105,0,247
HTNC,104,0,247
HTO,68,0,409
HVL,140,0,588
HVS,131,0,348
HVSM,132,0,349
HVSP,130,0,348
HWD,167,0,391
HWZB,133,0,273
HZE,93,0,391
IJT,320,0,620
KBD,32,0,31
KBK,167,0,711
KLP,145,0,351
KMA,149,0,312
KMR,186,0,453
KMW,342,0,627
KPN,215,0,602
KPNZ,215,0,602
KRD,186,0,464
KRG,39,0,31
KTR,111,0,194
KW,314,0,676
KZ,148,0,144
LAA,82,0,186
LC,175,0,711
LDL,97,0,196
LDM,73,0,150
LEDN,96,0,186
LEER,375,0,694
LG,181,0,453
LLS,186,0,492
LLZM,95,0,155
LP,332,0,682
LTN,154,0,731
LTV,193,0,713
LUT,163,0,436
LW,295,0,602
LWC,298,0,619
MAS,120,0,348
MDB,69,0,31
MES,186,0,438
MG,305,0,619
MMLH,120,0,451
MP,228,0,602
MRB,232,0,848
MRN,131,0,351
MT,180,0,436
MTH,315,0,678
MTN,183,0,438
MTR,181,0,438
MZ,103,0,396
NDB,137,0,349
NH,171,0,467
NKK,145,0,588
NM,110,0,430
NMD,105,0,433
NMGO,107,0,434
NMH,113,0,451
NML,111,0,451
NS,173,0,588
NSCH,350,0,685
NVD,216,0,784
NVP,115,0,196
NWK,73,0,128
O,86,0,409
OBD,173,0,401
ODB,7,0,0
ODZ,214,0,778
OMN,223,0,609
OP,115,0,197
OST,184,0,777
OT,53,0,336
OTB,133,0,708
OVN,127,0,273
OW,85,0,412
PMO,161,0,142
PMR,160,0,141
PMW,159,0,144
PT,152,0,591
RAI,137,0,194
RAT,218,0,602
RB,29,0,31
RD,344,0,686
RH,139,0,711
RHN,154,0,354
RL,180,0,713
RLB,51,0,216
RM,134,0,385
RS,74,0,412
