station,distance,services_per_day,n_of_disruptions
AC,129,0,415
AH,71,0,69
AHP,70,0,73
AHPR,68,0,72
AHZ,79,0,326
AKL,148,0,387
AKM,125,0,76
ALM,129,0,37
ALMB,123,0,37
ALMM,130,0,168
ALMO,121,0,26
ALMP,127,0,42
AMF,84,0,66
AMFS,87,0,306
AML,13,0,0
AMPO,128,0,318
AMR,168,0,592
AMRI,15,0,70
AMRN,169,0,667
ANA,198,0,678
APD,41,0,66
APDM,42,0,101
APDO,38,0,66
APG,188,0,106
APN,140,0,316
ARN,265,0,813
ASA,126,0,310
ASB,126,0,310
ASD,129,0,307
ASDL,136,0,586
ASDM,125,0,325
ASDZ,128,0,310
ASHD,127,0,324
ASN,126,0,26
ASS,133,0,565
ASSP,124,0,325
ATN,99,0,80
AVAT,90,0,312
BD,176,0,454
BDE,215,0,528
BDG,132,0,307
BDM,169,0,95
BDPB,181,0,777
BET,155,0,484
BF,173,0,95
BGN,213,0,782
BHDV,159,0,407
BHV,96,0,310
BK,208,0,528
BKF,187,0,650
BKG,186,0,646
BKL,117,0,382
BL,110,0,31
BLL,151,0,602
BMN,49,0,66
BMR,115,0,361
BN,22,0,70
BNC,103,0,307
BNK,113,0,379
BNN,100,0,306
BNZ,101,0,349
BP,167,0,43
BR,150,0,390
BRD,172,0,549
BRN,93,0,306
BSD,134,0,386
BSK,146,0,397
BSKS,147,0,420
BSMZ,105,0,307
BTL,145,0,441
BV,158,0,625
BZL,245,0,813
CAS,156,0,589
CK,105,0,358
CL,123,0,407
CO,53,0,87
CPS,150,0,464
CVM,225,0,545
DA,24,0,70
DB,117,0,379
DDN,32,0,89
DDR,176,0,420
DDRS,173,0,418
DDZD,177,0,537
DEI,147,0,43
DID,88,0,78
DL,54,0,74
DLD,93,0,306
DLN,57,0,101
DMN,122,0,324
DMNZ,122,0,324
DN,178,0,442
DR,55,0,66
DRH,156,0,621
DRON,80,0,26
DRP,154,0,57
DT,174,0,479
DTC,99,0,98
DTCH,97,0,98
DTCP,174,0,534
DV,26,0,0
DVC,22,0,0
DVD,124,0,307
DVN,78,0,75
DVNK,158,0,414
DWE,160,0,43
DZ,192,0,124
DZW,191,0,124
EC,188,0,525
ED,88,0,326
EDC,90,0,348
EDN,230,0,529
EEM,199,0,123
EGH,224,0,544
EGHM,225,0,544
EHS,164,0,560
EHV,165,0,441
EKZ,190,0,658
EML,91,0,29
EMN,73,0,102
EMNZ,69,0,101
ES,35,0,89
ESE,41,0,118
ESK,31,0,89
EST,82,0,326
ETN,187,0,777
FN,160,0,43
FWD,157,0,43
GBG,46,0,87
GBR,44,0,118
GD,137,0,379
GDG,134,0,307
GDM,127,0,343
GDR,104,0,115
GERP,152,0,79
GK,173,0,94
GLN,204,0,527
GN,154,0,79
GND,162,0,407
GNN,158,0,94
GO,42,0,122
GP,171,0,503
GR,153,0,405
GS,250,0,813
GV,166,0,464
GVC,165,0,464
GVM,166,0,499
GVMW,167,0,479
GW,130,0,33
GZ,166,0,456
HAD,152,0,602
HB,215,0,558
HBZM,165,0,417
HD,87,0,26
HDB,40,0,74
HDE,66,0,26
HDG,153,0,43
HDR,210,0,687
HDRZ,209,0,687
HFD,144,0,434
HGL,27,0,70
HGLG,29,0,89
HGLO,29,0,89
HGV,96,0,26
