station,distance,services_per_day,n_of_disruptions
AC,70,0,89
AH,122,0,173
AHP,123,0,430
AHPR,125,0,432
AHZ,130,0,430
AKL,67,0,303
AKM,228,0,477
ALM,88,0,149
ALMB,94,0,280
ALMM,87,0,167
ALMO,96,0,280
ALMP,90,0,280
AMF,85,0,173
AMFS,88,0,413
AML,182,0,479
AMPO,85,0,167
AMR,83,0,144
AMRI,184,0,549
AMRN,84,0,219
ANA,113,0,230
APD,128,0,413
APDM,129,0,448
APDO,131,0,448
APG,291,0,507
APN,34,0,32
ARN,142,0,207
ASA,65,0,152
ASB,65,0,75
ASD,67,0,25
ASDL,60,0,75
ASDM,67,0,189
ASDZ,59,0,75
ASHD,66,0,89
ASN,229,0,427
ASS,63,0,75
ASSP,68,0,203
ATN,174,0,467
AVAT,91,0,419
BD,69,0.03225806451612903,171
BDE,219,0,608
BDG,42,0,113
BDM,272,0,496
BDPB,64,0,293
BET,117,0,550
BF,276,0,496
BGN,90,0,176
BHDV,56,0,301
BHV,73,0,173
BK,212,0,608
BKF,117,0,160
BKG,116,0,156
BKL,67,0,109
BL,213,0,432
BLL,51,0,102
BMN,144,0,433
BMR,166,0,465
BN,191,0,549
BNC,104,0,414
BNK,72,0,173
BNN,101,0,413
BNZ,106,0,430
BP,270,0,444
BR,177,0,588
BRD,30,57.354838709677416,186
BRN,88,0,197
BSD,81,0,321
BSK,40,0,113
BSKS,41,0,136
BSMZ,82,0,178
BTL,107,0,507
BV,61,0,122
BZL,122,0,207
CAS,71,0,141
CK,156,0,462
CL,82,0,201
CO,206,0,447
CPS,30,0,173
CVM,229,0,625
DA,193,0,549
DB,76,0,173
DDN,186,0,463
DDR,39,57.354838709677416,171
DDRS,42,0,288
DDZD,40,0,288
DEI,250,0,444
DID,141,0,430
DL,163,0,427
DLD,76,0,193
DLN,210,0,461
DMN,70,0,203
DMNZ,65,0,152
DN,149,0,560
DR,138,0,430
DRH,56,0,121
DRON,137,0,294
DRP,257,0,458
DT,5,82.83870967741936,0
DTC,152,0,450
DTCH,150,0,450
DTCP,6,58.483870967741936,101
DV,143,0,413
DVC,147,0,479
DVD,63,0,149
DVN,131,0,432
DVNK,16,0,18
DWE,263,0,444
DZ,295,0,525
DZW,294,0,525
EC,192,0,605
ED,105,0,173
EDC,107,0,195
EDN,234,0,609
EEM,302,0,524
EGH,228,0,624
EGHM,229,0,624
EHS,126,0,626
EHV,127,0.03225806451612903,494
EKZ,120,0,168
EML,108,0,416
EMN,226,0,462
EMNZ,222,0,461
ES,199,0,515
ESE,205,0,544
ESK,195,0,515
EST,133,0,430
ETN,80,0,494
FN,263,0,444
FWD,260,0,444
GBG,199,0,447
GBR,208,0,544
GD,32,0,15
GDG,35,0,100
GDM,88,0,322
GDR,157,0,467
GERP,255,0,480
GK,276,0,495
GLN,208,0,607
GN,257,0.06451612903225806,480
GND,53,0,291
GNN,261,0,495
GO,176,0,455
GP,133,0,556
GR,62,0,301
GS,127,0,207
GV,3,81.93548387096774,0
GVC,4,81.90322580645162,15
GVM,8,0,15
GVMW,2,81.90322580645162,0
GW,233,0,434
GZ,79,0,494
HAD,44,0,25
HB,219,0,638
HBZM,50,0,291
HD,112,0,416
HDB,193,0,434
HDE,133,0,413
HDG,256,0,444
HDR,125,0,239
HDRZ,124,0,239
HFD,43,0,25
HGL,191,0,496
HGLG,189,0,496
HGLO,193,0,515
HGV,199,0,427
HGZ,268,0,503
HIL,37,0,25
HK,64,0,140
HKS,112,0,152
HLG,272,0,445
HLGH,273,0,449
HLM,48,0,65
HLMS,49,0,102
HLO,78,0,144
HM,140,0,556
HMBH,141,0,560
HMBV,137,0,556
HMH,139,0,556
HMN,119,0,368
HN,102,0,96
HNK,103,0,152
HNO,163,0,427
HNP,288,0,447
HON,162,0,479
HOR,76,0,173
HR,217,0,427
HRL,223,0.03225806451612903,607
HRLW,225,0,624
HRN,251,0,480
HRT,167,0,588
HT,110,0,365
HTN,72,0,173
HTNC,73,0,201
HTO,111,0,438
HVL,91,0,413
HVS,82,0,173
HVSM,83,0,174
HVSP,81,0,173
HWD,90,0,220
HWZB,56,0,102
HZE,138,0,562
IJT,271,0,445
KBD,109,0,207
KBK,137,0,449
KLP,98,0,173
KMA,72,0,141
KMR,231,0,624
KMW,293,0,452
KPN,166,0,427
KPNZ,154,0,295
KRD,231,0,635
KRG,116,0,207
KTR,112,0,365
KW,265,0,501
KZ,71,0,99
LAA,5,0,15
LC,163,0,448
LDL,20,0,25
LDM,74,0,321
LEDN,19,0,15
LEER,326,0,519
LG,226,0,624
