Station Code,Distance from RTA,Services from/to RTA,Disruptions on path to RTA
AC,61,36.483870967741936,119
AH,104,0.0,158
AHP,105,0.0,415
AHPR,107,0.0,415
AHZ,112,0.0,415
AKL,58,0.0,200
AKM,210,0.0967741935483871,462
ALM,93,0.0,102
ALMB,99,0.0,233
ALMM,92,0.0,252
ALMO,101,0.0,233
ALMP,95,0.0,233
AMF,67,35.645161290322584,158
AMFS,70,0.5161290322580645,398
AML,164,0.0,464
AMPO,90,0.0,252
AMR,111,2.838709677419355,246
AMRI,166,0.0,534
AMRN,112,0.0,321
ANA,141,0.0,332
APD,110,0.5483870967741935,398
APDM,111,0.0,433
APDO,113,0.0,433
APG,273,0.0,492
APN,32,0.0,108
ARN,133,0.0,75
ASA,70,36.483870967741936,99
ASB,66,36.483870967741936,85
ASD,76,36.483870967741936,86
ASDL,83,0.0,344
ASDM,72,36.483870967741936,99
ASDZ,72,0.0,99
ASHD,65,36.483870967741936,246
ASN,211,17.161290322580644,412
ASS,80,36.193548387096776,344
ASSP,73,0.0,113
ATN,156,0.0,452
AVAT,73,0.0,404
BD,60,0.0,70
BDE,210,0.0,190
BDG,40,0.0,189
BDM,254,0.0,481
BDPB,55,0.0,192
BET,108,0.0,449
BF,258,0.0,481
BGN,81,0.0,191
BHDV,47,0.0,198
BHV,55,0.0,158
BK,203,0.0,507
BKF,134,0.0,429
BKG,133,0.0,425
BKL,49,36.483870967741936,86
BL,195,1.8064516129032255,412
BLL,79,0.0,206
BMN,126,0.0,418
BMR,148,0.0,450
BN,173,0.0,534
BNC,86,0.0,399
BNK,54,0.0,158
BNN,83,0.0,398
BNZ,88,0.0,415
BP,252,0.0,415
BR,168,0.0,487
BRD,21,0.0,76
BRN,70,0.0,182
BSD,72,0.0,218
BSK,26,0.0,85
BSKS,25,0.0,85
BSMZ,69,0.0,159
BTL,98,0.0,406
BV,89,0.0,208
BZL,113,0.0,222
CAS,99,2.838709677419355,243
CK,138,0.0,447
CL,64,0.0,186
CO,188,0.0,432
CPS,1,38.38709677419355,0
CVM,184,0.0,189
DA,175,0.0,534
DB,58,0.0,158
DDN,168,0.0,448
DDR,30,0.0,70
DDRS,33,0.0,187
DDZD,31,0.0,187
DEI,232,0.0,415
DID,123,0.0,415
DL,145,0.0,412
DLD,58,0.0,178
DLN,192,0.0,446
DMN,75,0.0,113
DMNZ,70,0.0,102
DN,140,0.0,459
DR,120,0.0,415
DRH,84,0.0,207
DRON,142,0.0,247
DRP,239,0.0,429
DT,24,0.0,70
DTC,134,0.0,435
DTCH,132,0.0,435
DTCP,23,0.0,70
DV,125,0.0,398
DVC,129,0.0,433
DVD,68,36.483870967741936,99
DVN,113,0.0,417
DVNK,45,0.0,189
DWE,245,0.0,415
DZ,277,0.0,510
DZW,276,0.0,510
EC,183,0.0,504
ED,87,0.0,158
EDC,89,0.0,180
EDN,213,0.0,190
EEM,284,0.0,509
EGH,183,0.0,188
EGHM,184,0.0,188
EHS,117,0.0,525
EHV,118,0.0,393
EKZ,137,0.0,437
EML,90,0.0,398
EMN,208,0.0,447
EMNZ,204,0.0,446
ES,181,0.0,500
ESK,177,0.0,500
EST,115,0.0,415
ETN,71,0.0,393
FN,245,0.0,415
FWD,242,0.0,415
GBG,181,0.0,432
GD,14,86.35483870967742,0
GDG,17,38.38709677419355,85
GDM,72,0.0,158
GDR,139,0.0,452
GERP,237,1.8387096774193548,465
GK,258,0.0,480
GLN,193,0.0,189
GN,239,17.161290322580644,465
GND,44,0.0,188
GNN,243,0.0,480
GO,158,0.0,440
GP,124,0.0,455
GR,53,0.0,198
GS,118,0.0,75
GV,32,0.0,171
GVC,33,2.225806451612903,186
GVM,37,0.0,186
GVMW,31,0.0,171
GW,215,0.0967741935483871,469
GZ,70,0.0,393
HAD,72,0.0,206
HB,182,0.0,188
HBZM,41,0.0,188
HD,94,0.0,401
HDB,175,0.0,419
HDE,115,0.032258064516129,398
HDG,238,0.0,415
HDR,153,0.0,341
HDRZ,152,0.0,341
HFD,71,0.0,206
HGL,173,0.0,481
HGLG,171,0.0,481
HGLO,175,0.0,500
HGV,181,2.0,412
HGZ,250,0.0,488
HIL,65,0.0,206
HK,92,0.0,226
HKS,129,0.0,421
HLG,254,0.0,416
HLGH,255,0.0,420
HLM,76,0.0,206
HLMS,77,0.0,206
HLO,106,2.838709677419355,226
HM,131,0.0,455
HMBH,132,0.0,459
HMBV,128,0.0,455
HMH,130,0.0,455
HMN,103,0.0,204
HN,119,0.0,365
HNK,120,0.0,421
HNO,145,0.0,412
HNP,270,0.0,418
HON,144,0.0,433
HOR,58,0.0,158
HR,199,16.35483870967742,469
HRL,178,0.0,171
HRLW,180,0.0,188
HRN,233,1.8064516129032255,465
HRT,158,0.0,487
HT,94,0.0,158
HTN,54,0.0,158
HTNC,55,0.0,186
HTO,95,0.0,231
HVL,73,0.0,398
HVS,64,0.0,158
HVSM,65,0.0,159
HVSP,63,0.0,158
HWD,118,0.0,322
HWZB,84,0.0,206
HZE,129,0.0,461
IJT,253,0.0,416
KBD,100,0.0,75
KBK,119,0.0,434
KLP,80,0.0,158
KMA,94,36.193548387096776,378
KMR,186,0.0,188
KMW,275,0.0,423
KPN,148,0.0,412
KPNZ,148,0.0,412
KRD,186,0.0,199
KRG,107,0.0,75
KTR,96,0.0,201
KW,247,0.0,486
KZ,88,36.193548387096776,368
LAA,34,0.0,186
LC,145,0.0,433
LDL,46,0.0,189
LDM,65,0.0,218
LEDN,47,0.0,196
LG,181,0.0,188
LLS,117,0.0,233
LLZM,27,0.0,85
LP,265,0.0,492
LTN,93,0.0,415
LTV,163,0.0,435
LUT,199,0.0,506
LW,228,16.35483870967742,398
LWC,231,0.0,415
MAS,53,0.0,158
MDB,137,0.0,102
MES,198,0.0,188
MG,238,0.0,415
MMLH,133,0.0,436
MP,161,18.193548387096776,412
MRB,167,0.0,419
MRN,66,0.0,190
MT,204,0.0,188
MTH,248,0.0,488
MTN,201,0.0,202
MTR,205,0.0,190
MZ,139,0.0,466
NDB,70,0.0,159
NH,185,0.0,188
NKK,78,0.0,398
NM,123,0.0,415
NMD,128,0.0,436
NMGO,126,0.0,436
NMH,126,0.0,436
NML,122,0.0,429
NS,106,0.032258064516129,398
NSCH,283,0.0,495
NVD,165,0.0,421
NVP,66,0.0,206
NWK,5,38.38709677419355,56
O,113,0.0,231
OBD,124,0.0,332
ODB,61,0.0,192
ODZ,184,0.0,500
OMN,156,0.0,419
OP,100,0.0,204
OST,135,0.0,464
OT,89,0.0,406
OTB,100,0.0,180
OVN,78,0.0,206
OW,112,0.0,231
PMO,101,0.0,344
PMR,100,0.0,365
PMW,99,0.0,368
PT,85,0.0,398
RAI,71,0.0,102
RAT,151,0.0,412
RB,97,0.0,192
RD,277,0.0,496
RH,114,0.0,416
RHN,89,0.0,193
RL,150,0.0,435
RLB,17,0.0,70
RM,170,0.0,455
RS,101,0.0,231
RSD,68,0.0,70
RSN,151,0.0,433
RSW,29,0.0,171
RTA,0,0.0,0
RTB,11,0.0,70
RTD,10,86.74193548387096,0
RTN,5,38.516129032258064,0
RTST,15,0.0,70
RTZ,14,0.0,70
RV,181,0.0,504
RVS,121,0.0,252
SBK,190,0.0,188
SD,66,0.0,182
SDA,266,0.0,486
SDM,14,0.0,70
SDT,40,0.0,187
SDTB,37,0.0,187
SGL,194,0.0,188
SGN,132,0.0,332
SHL,76,0.0,206
SK,250,0.0,415
SKND,249,0.0,415
SM,175,0.0,504
SN,188,0.0,188
SOG,188,0.0,188
SPTN,83,0.0,206
SPTZ,81,0.0,206
SRN,188,0.0,533
SSH,55,0.0,206
ST,65,0.0,182
STD,195,0.0,504
STM,261,0.0,492
STV,279,0.0,423
STZ,64,0.0,182
SWD,250,0.0,480
SWK,175,16.35483870967742,462
TB,81,0.0,393
TBG,140,0.0,452
TBR,76,0.0,412
TBU,80,0.0,414
TG,175,0.0,456
TL,84,0.0,201
TPSW,82,0.0,201
TWL,120,0.0,433
UHM,274,0.0,496
UHZ,271,0.0,496
UST,266,0.0,495
UT,46,47.64516129032258,85
UTG,95,36.193548387096776,226
UTLN,50,0.0,158
UTLR,43,1.870967741935484,100
UTO,49,0.0,158
UTT,41,1.870967741935484,95
UTVR,47,0.0,158
UTZL,48,0.0,158
VB,36,0.0,215
VD,140,0.0,433
VDL,182,0.0,188
VDM,266,0.0,493
VEM,124,0.0,435
VG,98,0.0,231
VH,55,0.0,206
VHP,173,0.0,422
VK,191,0.0,188
VL,170,0.0,455
VLB,155,0.0,478
VNDC,81,0.0,192
VNDW,80,0.0,192
VP,110,0.0,416
VRY,162,0.0,479
VS,143,0.0,102
VSS,142,0.0,75
VST,43,0.0,189
VSV,147,0.0,452
VTN,39,1.870967741935484,86
VZ,170,0.0,534
WAD,22,0.0,85
WADN,23,0.0,85
WADT,21,0.0,85
WC,128,0.0,255
WD,30,38.38709677419355,85
WDN,159,0.0,440
WF,96,0.0,180
WFM,263,0.0,495
WH,142,0.0,474
WK,266,0.0,418
WL,129,0.0,435
WM,92,36.193548387096776,368
WP,77,0.0,246
WR,293,0.0,504
WS,271,0.0,495
WSM,255,0.0,481
WT,146,0.0,455
WTV,109,0.0,417
WV,188,0.0967741935483871,412
WW,168,0.0,471
WWW,169,0.0,471
WZ,124,0.0,411
YPB,35,0.0,88
ZA,106,0.0,204
ZB,258,0.0,489
ZBM,81,0.0,201
ZD,86,36.193548387096776,365
ZDK,89,0.0,368
ZH,251,0.0,480
ZL,133,34.54838709677419,398
ZLSH,138,0.0,412
ZLW,45,0.0,187
ZP,128,0.0,433
ZTM,30,0.0,85
ZTMO,29,0.0,85
ZV,118,0.0,415
ZVB,53,0.0,192
ZVT,84,0.0,206
ZWD,28,0.0,175
ZZS,89,36.193548387096776,368
