Station Code,Distance from RTB,Services from/to RTB,Disruptions on path to RTB
AC,72,0.0,189
AH,115,0.0,228
AHP,116,0.0,485
AHPR,118,0.0,485
AHZ,116,0.0,209
AKL,47,0.0,130
AKM,221,0.0,532
ALM,104,6.387096774193548,172
ALMB,110,6.387096774193548,303
ALMM,103,0.0,322
ALMO,112,0.032258064516129,303
ALMP,106,0.0,303
AMF,78,0.0,228
AMFS,81,0.0,468
AML,175,0.0,534
AMPO,101,0.0,322
AMR,103,0.0,236
AMRI,177,0.0,604
AMRN,104,0.0,311
ANA,133,0.0,322
APD,121,0.0,468
APDM,122,0.0,503
APDO,124,0.0,503
APG,284,0.0,562
APN,43,0.0,178
ARN,122,22.83870967741936,122
ASA,81,0.0,169
ASB,77,0.0,155
ASD,87,30.548387096774192,70
ASDL,80,0.0,120
ASDM,83,0.0,169
ASDZ,79,7.096774193548387,120
ASHD,76,0.0,316
ASN,222,0.0,482
ASS,83,28.161290322580644,120
ASSP,84,0.0,183
ATN,167,0.0,522
AVAT,84,0.0,474
BD,49,0.0,0
BDE,199,0.0,436
BDG,51,0.0,259
BDM,265,0.0,551
BDPB,44,0.0,122
BET,97,0.0,379
BF,269,0.0,551
BGN,70,34.225806451612904,121
BHDV,36,0.0,128
BHV,66,0.0,228
BK,192,0.0,437
BKF,137,0.0,205
BKG,136,0.0,201
BKL,60,0.0,156
BL,206,0.0,482
BLL,71,0.0,196
BMN,137,0.0,488
BMR,146,0.0,244
BN,184,0.0,604
BNC,97,0.0,469
BNK,65,0.0,228
BNN,94,0.0,468
BNZ,99,0.0,485
BP,263,0.0,485
BR,157,0.0,417
BRD,10,60.03225806451613,6
BRN,81,0.0,252
BSD,61,0.0,148
BSK,37,0.0,155
BSKS,36,0.0,155
BSMZ,80,0.0,229
BTL,87,0.0,336
BV,81,0.0,198
BZL,102,22.83870967741936,152
CAS,91,0.0,233
CK,136,0.0,241
CL,75,0.0,256
CO,199,0.0,502
CPS,12,0.0,72
CVM,175,0.0,189
DA,186,0.0,604
DB,69,0.0,228
DDN,179,0.0,518
DDR,19,118.90322580645162,0
DDRS,22,0.0,117
DDZD,20,0.032258064516129,117
DEI,243,0.0,485
DID,134,0.0,485
DL,156,0.0,482
DLD,69,0.0,248
DLN,203,0.0,516
DMN,86,0.0,183
DMNZ,81,0.0,172
DN,129,0.0,389
DR,131,0.0,485
DRH,76,0.0,197
DRON,153,0.0,317
DRP,250,0.0,499
DT,15,127.19354838709675,70
DTC,145,0.0,505
DTCH,143,0.0,505
DTCP,14,59.935483870967744,70
DV,136,0.0,468
DVC,140,0.0,503
DVD,79,6.387096774193548,169
DVN,124,0.0,487
DVNK,36,0.0,189
DWE,256,0.0,485
DZ,288,0.0,580
DZW,287,0.0,580
EC,172,0.0,434
ED,98,0.0,228
EDC,100,0.0,250
EDN,204,0.0,190
EEM,295,0.0,579
EGH,174,0.0,188
EGHM,175,0.0,188
EHS,106,0.0,455
EHV,107,0.0,323
EKZ,140,0.0,213
EML,101,0.0,468
EMN,219,0.0,517
EMNZ,215,0.0,516
ES,192,0.0,570
ESK,188,0.0,570
EST,113,0.0,195
ETN,60,0.0,323
FN,256,0.0,485
FWD,253,0.0,485
GBG,192,0.0,502
GD,25,0.0,70
GDG,28,0.0,155
GDM,68,0.0,149
GDR,150,0.0,522
GERP,248,0.0,535
GK,269,0.0,550
GLN,184,0.0,189
GN,250,0.0,535
GND,33,0.0,118
GNN,254,0.0,550
GO,169,0.0,510
GP,113,0.0,385
GR,42,0.0,128
GS,107,33.483870967741936,122
GV,23,122.38709677419357,171
GVC,24,57.516129032258064,186
GVM,28,0.0,186
GVMW,22,57.516129032258064,171
GW,226,0.0,539
GZ,59,0.0,323
HAD,64,28.161290322580644,196
HB,173,0.0,188
HBZM,30,0.0,118
HD,105,0.0,471
HDB,186,0.0,489
HDE,126,0.0,468
HDG,249,0.0,485
HDR,145,0.0,331
HDRZ,144,0.0,331
HFD,63,0.064516129032258,70
HGL,184,0.0,551
HGLG,182,0.0,551
HGLO,186,0.0,570
HGV,192,0.0,482
HGZ,261,0.0,558
HIL,57,0.0,196
HK,84,0.0,216
HKS,132,0.0,197
HLG,265,0.0,486
