Station Code,Distance from RTD,Services from/to RTD,Disruptions on path to RTD
AC,71,36.483870967741936,119
AH,114,0.3870967741935484,158
AHP,115,0.0,415
AHPR,117,0.0,415
AHZ,117,0.0,209
AKL,48,0.0,130
AKM,220,0.0967741935483871,462
ALM,103,6.806451612903226,102
ALMB,109,6.806451612903226,233
ALMM,102,0.0,252
ALMO,111,0.032258064516129,233
ALMP,105,0.0,233
AMF,77,35.645161290322584,158
AMFS,80,0.5161290322580645,398
AML,174,0.0,464
AMPO,100,0.0,252
AMR,102,2.838709677419355,166
AMRI,176,0.0,534
AMRN,103,0.0,241
ANA,132,0.0,252
APD,120,0.5483870967741935,398
APDM,121,0.0,433
APDO,123,0.0,433
APG,283,0.0,492
APN,42,0.0,108
ARN,123,22.83870967741936,5
ASA,80,36.483870967741936,99
ASB,76,38.80645161290322,85
ASD,86,154.80645161290323,0
ASDL,79,0.0,50
ASDM,82,36.483870967741936,99
ASDZ,78,8.580645161290322,50
ASHD,75,36.483870967741936,246
ASN,221,17.161290322580644,412
ASS,82,66.03225806451613,50
ASSP,83,0.0,113
ATN,166,0.0,452
AVAT,83,0.0,404
BD,50,51.516129032258064,0
BDE,200,0.0,120
BDG,50,0.0,189
BDM,264,0.0,481
BDPB,45,0.0,122
BET,98,0.0,379
BF,268,0.0,481
BGN,71,34.225806451612904,121
BHDV,37,0.0,128
BHV,65,0.0,158
BK,193,0.0,437
BKF,136,0.0,135
BKG,135,0.0,131
BKL,59,36.483870967741936,86
BL,205,1.8064516129032255,412
BLL,70,0.0,126
BMN,136,0.0,418
BMR,147,0.0,244
BN,183,0.0,534
BNC,96,0.0,399
BNK,64,0.0,158
BNN,93,0.0,398
BNZ,98,0.0,415
BP,262,0.0,415
BR,158,0.6774193548387096,417
BRD,11,60.064516129032256,6
BRN,80,0.0,182
BSD,62,0.0,148
BSK,36,0.0,85
BSKS,35,0.0,85
BSMZ,79,0.0,159
BTL,88,0.0,336
BV,80,0.0,128
BZL,103,22.83870967741936,152
CAS,90,2.838709677419355,163
CK,137,0.0,241
CL,74,0.0,186
CO,198,0.0,432
CPS,11,38.38709677419355,2
CVM,174,0.0,119
DA,185,0.0,534
DB,68,0.0,158
DDN,178,0.0,448
DDR,20,119.4516129032258,0
DDRS,23,0.0,117
DDZD,21,0.032258064516129,117
DEI,242,0.0,415
DID,133,0.0,415
DL,155,0.0,412
DLD,68,0.0,178
DLN,202,0.0,446
DMN,85,0.0,113
DMNZ,80,0.0,102
DN,130,0.6774193548387096,389
DR,130,0.0,415
DRH,75,0.0,127
DRON,152,0.0,247
DRP,249,0.0,429
DT,14,169.09677419354838,0
DTC,144,0.0,435
DTCH,142,0.0,435
DTCP,13,59.96774193548387,0
DV,135,0.0,398
DVC,139,0.0,433
DVD,78,43.29032258064516,99
DVN,123,0.0,417
DVNK,35,0.0,119
DWE,255,0.0,415
DZ,287,0.0,510
DZW,286,0.0,510
EC,173,0.0,434
ED,97,0.3870967741935484,158
EDC,99,0.0,180
EDN,203,0.0,120
EEM,294,0.0,509
EGH,173,0.0,118
EGHM,174,0.0,118
EHS,107,0.0,455
EHV,108,35.935483870967744,323
EKZ,139,0.0,143
EML,100,0.0,398
EMN,218,0.0,447
EMNZ,214,0.0,446
ES,191,0.0,500
ESK,187,0.0,500
EST,114,0.0,195
ETN,61,0.0,323
FN,255,0.0,415
FWD,252,0.0,415
GBG,191,0.0,432
GD,24,86.87096774193549,0
GDG,27,38.38709677419355,85
GDM,69,0.0,149
GDR,149,0.0,452
GERP,247,1.8387096774193548,465
GK,268,0.0,480
GLN,183,0.0,119
GN,249,17.161290322580644,465
GND,34,0.0,118
GNN,253,0.0,480
GO,168,0.0,440
GP,114,0.0,385
GR,43,0.0,128
GS,108,33.483870967741936,5
GV,22,163.5483870967742,101
GVC,23,92.29032258064515,116
GVM,27,0.0,116
GVMW,21,57.516129032258064,101
GW,225,0.0967741935483871,469
GZ,60,0.0,323
HAD,63,29.61290322580645,126
HB,172,0.0,118
HBZM,31,0.0,118
HD,104,0.0,401
HDB,185,0.0,419
HDE,125,0.032258064516129,398
HDG,248,0.0,415
HDR,144,0.0,261
HDRZ,143,0.0,261
HFD,62,0.064516129032258,0
HGL,183,0.0,481
HGLG,181,0.0,481
HGLO,185,0.0,500
HGV,191,2.0,412
HGZ,260,0.0,488
HIL,56,0.0,126
HK,83,0.0,146
HKS,131,0.0,127
HLG,264,0.0,416
HLGH,265,0.0,420
HLM,67,29.61290322580645,126
HLMS,68,0.0,126
HLO,97,2.838709677419355,146
HM,121,0.6774193548387096,385
HMBH,122,0.0,389
HMBV,118,0.0,385
HMH,120,0.0,385
HMN,100,0.0,195
HN,121,0.0,71
HNK,122,0.0,127
HNO,155,0.0,412
HNP,280,0.0,418
HON,154,0.0,433
HOR,68,0.032258064516129,158
HR,209,16.35483870967742,469
HRL,168,0.0,101
HRLW,170,0.0,118
HRN,243,1.8064516129032255,465
HRT,148,0.6774193548387096,417
HT,91,0.6774193548387096,192
HTN,64,0.0,158
HTNC,65,0.0,186
HTO,92,0.0,265
HVL,83,0.0,398
HVS,74,0.0,158
HVSM,75,0.0,159
HVSP,73,0.0,158
HWD,109,0.0,242
HWZB,75,0.0,126
HZE,119,0.0,391
IJT,263,0.0,416
KBD,90,22.83870967741936,5
KBK,129,0.0,434
KLP,90,0.3870967741935484,158
KMA,91,36.193548387096776,147
KMR,176,0.0,118
KMW,285,0.0,423
KPN,158,0.0,412
KPNZ,158,0.0,412
KRD,176,0.0,129
KRG,97,22.90322580645161,5
KTR,93,0.0,192
KW,257,0.0,486
KZ,90,36.193548387096776,74
LAA,24,68.6774193548387,116
LC,155,0.0,433
LDL,39,0.0,126
LDM,55,0.0,148
LEDN,38,72.64516129032258,116
LG,171,0.0,118
LLS,127,6.806451612903226,233
LLZM,37,0.0,85
LP,275,0.0,492
LTN,103,0.0,415
LTV,173,0.0,435
LUT,189,0.0,436
LW,238,16.35483870967742,398
LWC,241,0.0,415
