Station Code,Distance from SBK,Services from/to SBK,Disruptions on path to SBK
AC,188,0.0,230
AH,136,0.0,231
AHP,137,0.0,488
AHPR,139,0.0,488
AHZ,128,0.0,245
AKL,159,0.0,241
AKM,289,0.0,631
ALM,213,0.0,283
ALMB,219,0.0,414
ALMM,212,0.0,282
ALMO,221,0.0,414
ALMP,215,0.0,414
AMF,185,0.0,270
AMFS,188,0.0,510
AML,220,0.0,557
AMPO,210,0.0,282
AMR,240,0.0,82
AMRI,222,0.0,627
AMRN,241,0.0,157
ANA,270,0.0,168
APD,183,0.0,491
APDM,182,0.0,492
APDO,186,0.0,526
APG,352,0.0,661
APN,191,0.0,49
ARN,231,0.0,471
ASA,197,0.0,270
ASB,193,0.0,270
ASD,203,0.0,270
ASDL,210,0.0,528
ASDM,199,0.0,307
ASDZ,199,0.0,284
ASHD,192,0.0,357
ASN,290,0.0,581
ASS,207,0.0,528
ASSP,200,0.0,321
ATN,188,0.0,525
AVAT,191,0.0,516
BD,142,0.0,143
BDE,22,0.0,32
BDG,191,0.0,271
BDM,333,0.0,650
BDPB,147,0.0,466
BET,94,0.0,143
BF,337,0.0,650
BGN,179,0.0,471
BHDV,170,0.0,261
BHV,173,0.0,270
BK,15,0.0,33
BKF,261,0.0,613
BKG,260,0.0,609
BKL,176,0.0,197
BL,274,0.0,581
BLL,208,0.0,42
BMN,158,0.0,491
BMR,92,0.0,168
BN,215,0.0,558
BNC,168,0.0,254
BNK,170,0.0,321
BNN,171,0.0,270
BNZ,166,0.0,254
BP,331,0.0,598
BR,57,0.0,115
BRD,181,0.0,583
BRN,188,0.0,294
BSD,145,0.0,240
BSK,197,0.0,130
BSKS,198,0.0,153
BSMZ,187,0.0,271
BTL,104,0.0,81
BV,218,0.0,44
BZL,211,0.0,502
CAS,228,0.0,79
CK,102,0.0,196
CL,146,0.0,240
CO,260,0.0,644
CPS,191,0.0,190
CVM,18,0.0,18
DA,231,0.0,627
DB,174,0.0,365
DDN,205,0.0,506
DDR,172,0.0,466
DDRS,175,0.0,583
DDZD,171,0.0,489
DEI,311,0.0,598
DID,155,0.0,488
DL,224,0.0,581
DLD,176,0.0,290
DLN,264,0.0,658
DMN,202,0.0,321
DMNZ,197,0.0,273
DN,85,0.0,115
DR,152,0.0,488
DRH,213,0.0,43
DRON,244,0.0,581
DRP,318,0.0,612
DT,166,0.0,17
DTC,166,0.0,508
DTCH,164,0.0,508
DTCP,167,0.0,118
DV,181,0.0,491
DVC,185,0.0,557
DVD,195,0.0,270
DVN,145,0.0,490
DVNK,173,0.0,35
DWE,324,0.0,598
DZ,356,0.0,679
DZW,355,0.0,679
EC,19,0.0,34
ED,153,0.0,231
EDC,155,0.0,253
EDN,37,0.0,34
EEM,363,0.0,678
EGH,17,0.0,17
EGHM,18,0.0,17
EHS,85,0.0,143
EHV,84,0.0,81
EKZ,264,0.0,621
EML,208,0.0,510
EMN,280,0.0,659
EMNZ,276,0.0,658
ES,218,0.0,558
ESK,214,0.0,558
EST,125,0.0,231
ETN,153,0.0,466
FN,324,0.0,598
FWD,321,0.0,598
GBG,253,0.0,644
GD,189,0.0,32
GDG,192,0.0,117
GDM,138,0.0,197
GDR,171,0.0,525
GERP,316,0.0,634
GK,337,0.0,649
GLN,3,26.64516129032258,0
GN,318,0.0,634
GND,173,0.0,261
GNN,322,0.0,649
GO,195,0.0,498
GP,78,0.0,88
GR,164,0.0,259
GS,216,0.0,471
GV,160,0.0,17
GVC,161,0.0,32
GVM,165,0.0,32
GVMW,159,0.0,17
GW,294,0.0,638
GZ,132,0.0,139
HAD,201,0.0,42
HB,8,26.61290322580645,0
HBZM,176,0.0,271
HD,212,0.0,513
HDB,247,0.0,631
HDE,230,0.0,581
HDG,317,0.0,598
HDR,282,0.0,177
HDRZ,281,0.0,177
HFD,200,0.0,32
HGL,210,0.0,539
HGLG,208,0.0,539
HGLO,212,0.0,558
HGV,260,0.0,581
HGZ,329,0.0,657
HIL,194,0.0,42
HK,221,0.0,62
HKS,256,0.0,605
HLG,333,0.0,599
HLGH,334,0.0,603
HLM,205,0.0,42
HLMS,206,0.0,42
HLO,235,0.0,62
HM,94,0.0,143
HMBH,93,0.0,143
HMBV,94,0.0,143
HMH,95,0.0,147
HMN,139,0.0,245
HN,246,0.0,549
HNK,247,0.0,605
HNO,224,0.0,581
HNP,349,0.0,601
HON,200,0.0,491
HOR,176,0.0,270
HR,278,0.0,638
HRL,12,26.61290322580645,0
HRLW,14,0.0,17
HRN,312,0.0,634
HRT,67,0.0,167
HT,116,0.0,124
HTN,156,0.0,293
HTNC,155,0.0,293
HTO,117,0.0,197
HVL,181,0.0,271
HVS,182,0.0,270
HVSM,183,0.0,271
HVSP,181,0.0,270
HWD,247,0.0,158
HWZB,213,0.0,42
HZE,73,0.0,83
IJT,332,0.0,599
KBD,198,0.0,471
KBK,174,0.0,491
KLP,160,0.0,253
KMA,221,0.0,562
KMR,20,0.0,17
KMW,354,0.0,606
KPN,227,0.0,581
KPNZ,227,0.0,581
KRD,20,0.0,28
KRG,205,0.0,471
KTR,146,0.0,245
KW,326,0.0,655
KZ,215,0.0,552
LAA,162,0.0,32
LC,182,0.0,491
LDL,177,0.0,42
LDM,152,0.0,241
LEDN,176,0.0,32
LG,15,0.0,17
LLS,237,0.0,414
LLZM,176,0.0,61
LP,344,0.0,661
LTN,161,0.0,254
LTV,200,0.0,493
LUT,11,0.0,32
LW,307,0.0,581
LWC,310,0.0,598
MAS,171,0.0,270
MDB,235,0.0,498
MES,32,0.0,17
MG,317,0.0,598
MMLH,107,0.0,199
MP,240,0.0,581
MRB,239,0.0,628
MRN,182,0.0,397
MT,28,0.0,32
MTH,327,0.0,657
MTN,31,0.0,34
MTR,29,0.0,34
MZ,63,0.0,81
NDB,188,0.0,271
NH,5,26.61290322580645,0
NKK,196,0.0,510
NM,117,0.0,210
NMD,122,0.0,231
NMGO,120,0.0,231
NMH,114,0.0,210
NML,118,0.0,231
NS,224,0.0,510
NSCH,362,0.0,664
NVD,223,0.0,498
NVP,195,0.0,42
NWK,195,0.0,246
O,135,0.0,197
OBD,253,0.0,168
ODB,173,0.0,471
ODZ,221,0.0,558
OMN,235,0.0,588
OP,142,0.0,245
OST,191,0.0,557
OT,113,0.0,124
OTB,140,0.0,488
OVN,207,0.0,42
OW,134,0.0,197
PMO,228,0.0,528
PMR,227,0.0,549
PMW,226,0.0,552
PT,203,0.0,510
RAI,198,0.0,273
RAT,230,0.0,581
RB,195,0.0,502
RD,356,0.0,665
RH,146,0.0,489
RHN,205,0.0,400
RL,187,0.0,493
RLB,185,0.0,682
RM,32,0.0,32
RS,123,0.0,197
RSD,166,0.0,466
RSN,207,0.0,491
