Station Code,Distance from SD,Services from/to SD,Disruptions on path to SD
AC,42,0.0,32
AH,64,0.0,294
AHP,65,0.0,551
AHPR,67,0.0,553
AHZ,72,0.0,551
AKL,67,0.0,222
AKM,156,0.0,318
ALM,42,0.0,27
ALMB,48,0.0,158
ALMM,41,0.0,26
ALMO,50,0.0,158
ALMP,44,0.0,158
AMF,13,0.0,14
AMFS,16,0.0,254
AML,110,0.0,320
AMPO,39,0.0,26
AMR,79,0.0,300
AMRI,112,0.0,390
AMRN,80,0.0,375
ANA,109,0.0,386
APD,56,0.0,254
APDM,57,0.0,289
APDO,59,0.0,289
APG,219,0.0,348
APN,55,0.0,107
ARN,198,0.0,408
ASA,37,0.0,18
ASB,37,0.0,18
ASD,0,0.0,0
ASDL,47,0.0,294
ASDM,36,0.0,33
ASDZ,39,0.0,18
ASHD,38,0.0,32
ASN,157,0.0,268
ASS,44,0.0,273
ASSP,35,0.0,33
ATN,116,0.0,588
AVAT,19,0.0,260
BD,111,0.0,183
BDE,192,0.0,284
BDG,47,0.0,98
BDM,200,0.0,337
BDPB,116,0.0,506
BET,90,0.0,213
BF,204,0.0,337
BGN,146,0.0,377
BHDV,78,0.0,242
BHV,11,28.225806451612904,4
BK,185,0.0,284
BKF,98,0.0,358
BKG,97,0.0,354
BKL,32,0.0,100
BL,141,0.0,273
BLL,62,0.0,310
BMN,81,0.0,289
BMR,108,0.0,586
BN,119,0.0,390
BNC,32,0.0,255
BNK,28,0.0,97
BNN,29,0.0,254
BNZ,34,0.0,271
BP,198,0.0,285
BR,143,0.0,615
BRD,87,0.0,267
BRN,4,31.193548387096776,0
BSD,0,0.0,0
BSK,61,0.0,188
BSKS,62,0.0,211
BSMZ,16,0.0,15
BTL,80,0.0,170
BV,69,0.0,333
BZL,178,0.0,408
CAS,67,0.0,297
CK,98,0.0,583
CL,38,0.0,125
CO,134,0.0,288
CPS,65,0.0,182
CVM,202,0.0,301
DA,121,0.0,390
DB,32,0.0,97
DDN,114,0.0,304
DDR,95,0.0,255
DDRS,92,0.0,253
DDZD,96,0.0,372
DEI,178,0.0,285
DID,83,0.0,551
DL,91,0.0,268
DLD,8,30.483870967741936,0
DLN,138,0.0,302
DMN,33,0.0,32
DMNZ,33,0.0,32
DN,122,0.0,236
DR,80,0.0,551
DRH,67,0.0,329
DRON,91,0.0,172
DRP,185,0.0,299
DT,89,0.0,197
DTC,94,0.0,571
DTCH,92,0.0,571
DTCP,89,0.0,252
DV,71,0.0,254
DVC,75,0.0,320
DVD,35,0.0,15
DVN,73,0.0,553
DVNK,73,0.0,205
DWE,191,0.0,285
DZ,223,0.0,366
DZW,222,0.0,366
EC,165,0.0,281
ED,47,0.0,272
EDC,45,0.0,271
EDN,207,0.0,285
EEM,230,0.0,365
EGH,201,0.0,300
EGHM,202,0.0,300
EHS,99,0.0,289
EHV,100,0.0,170
EKZ,101,0.0,366
EML,36,0.0,257
EMN,154,0.0,303
EMNZ,150,0.0,302
ES,127,0.0,356
ESK,123,0.0,356
EST,75,0.0,551
ETN,122,0.0,506
FN,191,0.0,285
FWD,188,0.0,285
GBG,127,0.0,288
GD,52,0.0,97
GDG,49,0.0,97
GDM,46,0.0,178
GDR,99,0.0,588
GERP,183,0.0,321
GK,204,0.0,336
GLN,181,0.0,283
GN,185,0.0,321
GND,81,0.0,242
GNN,189,0.0,336
GO,104,0.0,296
GP,106,0.0,232
GR,72,0.0,240
GS,183,0.0,408
GV,81,0.0,182
GVC,80,0.0,182
GVM,81,0.0,290
GVMW,82,0.0,197
GW,161,0.0,275
GZ,101,0.0,185
HAD,63,0.0,310
HB,192,0.0,314
HBZM,84,0.0,252
HD,40,0.0,257
HDB,121,0.0,275
HDE,61,0.0,254
HDG,184,0.0,285
HDR,121,0.0,395
HDRZ,120,0.0,395
HFD,55,0.0,142
HGL,119,0.0,337
HGLG,117,0.0,337
HGLO,121,0.0,356
HGV,127,0.0,268
HGZ,196,0.0,344
HIL,70,0.0,350
HK,66,0.0,333
HKS,93,0.0,350
HLG,200,0.0,286
HLGH,201,0.0,290
HLM,59,0.0,273
HLMS,58,0.0,294
HLO,74,0.0,300
HM,113,0.0,232
HMBH,114,0.0,236
HMBV,110,0.0,232
HMH,112,0.0,232
HMN,77,0.0,224
HN,83,0.0,294
HNK,84,0.0,350
HNO,91,0.0,268
HNP,216,0.0,288
HON,90,0.0,320
HOR,17,0.0,15
HR,145,0.0,268
HRL,196,0.0,283
HRLW,198,0.0,300
HRN,179,0.0,321
HRT,140,0.0,264
HT,68,0.0,97
HTN,28,0.0,97
HTNC,29,0.0,125
HTO,69,0.0,170
HVL,19,0.0,254
HVS,11,0.0,14
HVSM,12,0.0,15
HVSP,12,0.0,15
HWD,86,0.0,376
HWZB,51,0.0,294
HZE,111,0.0,238
IJT,199,0.0,286
KBD,165,0.0,408
KBK,65,0.0,290
KLP,54,0.0,97
KMA,58,0.0,307
KMR,204,0.0,300
KMW,221,0.0,293
KPN,94,0.0,268
KPNZ,94,0.0,268
KRD,204,0.0,311
KRG,172,0.0,408
KTR,70,0.0,221
KW,193,0.0,342
KZ,52,0.0,297
LAA,81,0.0,211
LC,91,0.0,289
LDL,69,0.0,188
LDM,60,0.0,222
LEDN,70,0.0,195
LG,199,0.0,300
LLS,66,0.0,158
LLZM,65,0.0,182
LP,211,0.0,348
LTN,39,0.0,271
LTV,109,0.0,291
LUT,181,0.0,283
LW,174,0.0,268
LWC,177,0.0,285
MAS,27,0.0,97
MDB,202,0.0,408
MES,204,0.0,285
MG,184,0.0,285
MMLH,93,0.0,572
MP,107,0.0,268
MRB,113,0.0,275
MRN,40,0.0,129
MT,198,0.0,283
MTH,194,0.0,344
MTN,201,0.0,285
MTR,199,0.0,285
MZ,121,0.0,243
NDB,17,0.0,15
NH,189,0.0,314
NKK,24,0.0,254
NM,83,0.0,551
NMD,88,0.0,572
NMGO,86,0.0,572
NMH,86,0.0,572
NML,82,0.0,565
NS,52,0.0,254
NSCH,229,0.0,351
NVD,111,0.0,268
NVP,60,0.0,270
NWK,61,0.0,182
O,87,0.0,170
OBD,92,0.0,386
ODB,126,0.0,377
ODZ,130,0.0,356
OMN,102,0.0,275
OP,74,0.0,224
OST,81,0.0,320
OT,89,0.0,213
OTB,60,0.0,294
OVN,61,0.0,310
OW,86,0.0,173
PMO,65,0.0,295
PMR,64,0.0,294
PMW,63,0.0,297
PT,31,0.0,257
RAI,38,0.0,18
RAT,97,0.0,268
RB,162,0.0,408
RD,223,0.0,352
RH,74,0.0,554
RHN,63,0.0,132
RL,96,0.0,291
RLB,83,0.0,261
RM,152,0.0,232
RS,75,0.0,173
RSD,0,0.0,0
RSN,97,0.0,320
RSW,84,0.0,197
RTA,66,0.0,182
RTB,77,0.0,252
RTD,76,0.0,182
RTN,71,0.0,184
RTST,81,0.0,261
RTZ,80,0.0,261
RV,157,0.0,687
RVS,95,0.0,191
SBK,184,0.0,313
SD,0,0.0,0
SDA,212,0.0,342
SDM,80,0.0,252
SDT,85,0.0,252
SDTB,88,0.0,253
SGL,208,0.0,299
SGN,100,0.0,386
SHL,50,0.0,92
SK,196,0.0,285
SKND,195,0.0,285
SM,157,0.0,281
SN,186,0.0,314
SOG,206,0.0,300
SPTN,66,0.0,328
SPTZ,64,0.0,328
SRN,170,0.0,310
SSH,71,0.0,270
ST,1,30.483870967741936,0
STD,177,0.0,281
STM,207,0.0,348
STV,225,0.0,293
STZ,2,30.483870967741936,0
SWD,196,0.0,336
SWK,121,0.0,318
TB,90,0.0,170
TBG,100,0.0,588
TBR,95,0.0,183
TBU,91,0.0,183
TG,150,0.0,668
TL,58,0.0,221
TPSW,56,0.0,221
TWL,66,0.0,289
UHM,220,0.0,352
UHZ,217,0.0,352
UST,212,0.0,351
UT,20,28.225806451612904,24
UTG,63,0.0,332
UTLN,24,0.0,97
UTLR,23,0.0,97
UTO,17,28.225806451612904,24
UTT,25,0.0,97
UTVR,21,0.0,97
UTZL,22,0.0,97
VB,77,0.0,182
VD,86,0.0,289
VDL,200,0.0,300
VDM,212,0.0,349
