Station Code,Distance from SDTB,Services from/to SDTB,Disruptions on path to SDTB
AC,92,0.0,181
AH,98,0.0,92
AHP,99,0.0,349
AHPR,101,0.0,349
AHZ,90,0.0,92
AKL,21,32.193548387096776,13
AKM,232,0.0,452
ALM,117,0.0,161
ALMB,123,0.0,292
ALMM,116,0.0,160
ALMO,125,0.0,292
ALMP,119,0.0,292
AMF,89,0.0,148
AMFS,92,0.0,388
AML,182,0.0,418
AMPO,114,0.0,160
AMR,129,0.0,283
AMRI,184,0.0,488
AMRN,130,0.0,358
ANA,159,0.0,369
APD,132,0.0,388
APDM,133,0.0,423
APDO,135,0.0,423
APG,295,0.0,482
APN,69,0.0,295
ARN,110,0.0,122
ASA,101,0.0,148
ASB,97,0.0,75
ASD,107,0.0,148
ASDL,106,0.0,312
ASDM,103,0.0,185
ASDZ,103,0.0,89
ASHD,96,0.0,308
ASN,233,0.0,402
ASS,109,0.0,243
ASSP,104,0.0,199
ATN,150,0.0,386
AVAT,95,0.0,394
BD,37,0.0,117
BDE,187,0.0,553
BDG,77,0.0,376
BDM,276,0.0,471
BDPB,32,0.0,122
BET,85,0.0,496
BF,280,0.0,471
BGN,58,0.0,121
BHDV,10,57.193548387096776,11
BHV,77,0.0,148
BK,180,0.0,554
BKF,163,0.0,328
BKG,162,0.0,324
BKL,80,0.0,148
BL,217,0.0,402
BLL,97,0.0,243
BMN,120,0.0,352
BMR,120,0.0,127
BN,177,0.0,419
BNC,108,0.0,389
BNK,74,0.0,156
BNN,105,0.0,388
BNZ,110,0.0,405
BP,274,0.0,405
BR,145,0.0,534
BRD,16,0.0,117
BRN,92,0.0,172
BSD,35,32.193548387096776,31
BSK,63,0.0,272
BSKS,62,0.0,272
BSMZ,91,0.0,149
BTL,75,0.0,453
BV,107,0.0,245
BZL,90,0.0,152
CAS,117,0.0,280
CK,110,0.0,124
CL,50,0.0,75
CO,210,0.0,422
CPS,38,0.0,189
CVM,197,0.0,571
DA,193,0.0,488
DB,78,0.0,200
DDN,167,0.0,367
DDR,7,56.32258064516129,0
DDRS,4,56.25806451612903,0
DDZD,8,0.0,117
DEI,254,0.0,405
DID,117,0.0,349
DL,167,0.0,402
DLD,80,0.0,168
DLN,214,0.0,436
DMN,106,0.0,199
DMNZ,101,0.0,151
DN,117,0.0,506
DR,114,0.0,349
DRH,102,0.0,244
DRON,166,0.0,306
DRP,261,0.0,419
DT,41,0.0,117
DTC,128,0.0,369
DTCH,126,0.0,369
DTCP,40,0.0,187
DV,143,0.0,352
DVC,147,0.0,418
DVD,99,0.0,148
DVN,107,0.0,351
DVNK,62,0.0,236
DWE,267,0.0,405
DZ,299,0.0,500
DZW,298,0.0,500
EC,160,0.0,551
ED,107,0.0,232
EDC,109,0.0,254
EDN,202,0.0,555
EEM,306,0.0,499
EGH,196,0.0,570
EGHM,197,0.0,570
EHS,94,0.0,572
EHV,95,0.0,440
EKZ,166,0.0,336
EML,112,0.0,388
EMN,230,0.0,437
EMNZ,226,0.0,436
ES,180,0.0,419
ESK,176,0.0,419
EST,87,0.0,78
ETN,48,0.0,440
FN,267,0.0,405
FWD,264,0.0,405
GBG,203,0.0,422
GD,51,0.0,187
GDG,54,0.0,272
GDM,42,32.193548387096776,32
GDR,133,0.0,386
GERP,259,0.0,455
GK,280,0.0,470
GLN,176,0.0,553
GN,261,0.0,455
GND,7,57.25806451612903,1
GNN,265,0.0,470
GO,157,0.0,359
GP,101,0.0,502
GR,16,57.25806451612903,11
GS,95,0.0,122
GV,49,0.0,218
GVC,50,0.0,233
GVM,54,0.0,233
GVMW,48,0.0,218
GW,237,0.0,459
GZ,47,0.0,440
HAD,90,0.0,243
HB,187,0.0,584
HBZM,4,33.96774193548387,1
HD,116,0.0,391
HDB,197,0.0,409
HDE,137,0.0,388
HDG,260,0.0,405
HDR,171,0.0,378
HDRZ,170,0.0,378
HFD,89,0.0,233
HGL,172,0.0,400
HGLG,170,0.0,400
HGLO,174,0.0,419
HGV,203,0.0,402
HGZ,272,0.0,478
HIL,83,0.0,243
HK,110,0.0,263
HKS,158,0.0,320
HLG,276,0.0,406
HLGH,277,0.0,410
HLM,94,0.0,243
HLMS,95,0.0,243
HLO,124,0.0,263
HM,108,0.0,502
HMBH,109,0.0,506
HMBV,105,0.0,502
HMH,107,0.0,502
HMN,73,0.0,78
HN,148,0.0,264
HNK,149,0.0,320
HNO,167,0.0,402
HNP,292,0.0,408
HON,162,0.0,352
HOR,80,0.0,148
HR,221,0.0,459
HRL,191,0.0,553
HRLW,193,0.0,570
HRN,255,0.0,455
HRT,135,0.0,534
HT,64,0.0,75
HTN,60,0.0,128
HTNC,59,0.0,128
HTO,65,0.0,148
HVL,95,0.0,388
HVS,86,0.0,148
HVSM,87,0.0,149
HVSP,85,0.0,148
HWD,136,0.0,359
HWZB,102,0.0,243
HZE,106,0.0,508
IJT,275,0.0,406
KBD,77,0.0,122
KBK,136,0.0,352
KLP,100,0.0,232
KMA,118,0.0,264
KMR,199,0.0,570
KMW,297,0.0,413
KPN,170,0.0,402
KPNZ,170,0.0,402
KRD,199,0.0,581
KRG,84,0.0,122
KTR,66,0.0,75
KW,269,0.0,476
KZ,117,0.0,267
LAA,51,0.0,233
LC,144,0.0,352
LDL,66,0.0,243
LDM,28,32.193548387096776,31
LEDN,65,0.0,233
LG,194,0.0,570
LLS,141,0.0,292
LLZM,64,0.0,272
LP,287,0.0,482
LTN,115,0.0,405
LTV,162,0.0,354
LUT,176,0.0,553
LW,250,0.0,388
LWC,253,0.0,405
MAS,75,0.0,148
MDB,114,0.0,149
MES,199,0.0,555
MG,260,0.0,405
MMLH,105,0.0,113
MP,183,0.0,402
MRB,189,0.0,409
MRN,86,0.0,232
MT,193,0.0,553
MTH,270,0.0,478
MTN,196,0.0,555
MTR,194,0.0,555
MZ,116,0.0,513
NDB,92,0.0,149
NH,184,0.0,584
NKK,100,0.0,388
NM,95,0.0,92
NMD,100,0.0,113
NMGO,98,0.0,113
NMH,98,0.0,113
NML,94,0.0,92
NS,128,0.0,388
NSCH,305,0.0,485
NVD,185,0.0,359
NVP,84,0.0,243
NWK,42,0.0,245
O,83,0.0,148
OBD,142,0.0,369
ODB,38,0.0,122
ODZ,183,0.0,419
OMN,178,0.0,409
OP,70,0.0,78
OST,153,0.0,418
OT,66,0.0,453
OTB,102,0.0,349
OVN,96,0.0,243
OW,82,0.0,148
PMO,130,0.0,264
PMR,129,0.0,264
PMW,128,0.0,267
PT,107,0.0,388
RAI,102,0.0,151
RAT,173,0.0,402
RB,74,0.0,122
RD,299,0.0,486
RH,108,0.0,350
RHN,109,0.0,235
RL,149,0.0,354
RLB,20,0.0,216
RM,147,0.0,502
RS,71,0.0,148
RSD,45,0.0,117
RSN,169,0.0,352
RSW,46,0.0,218
RTA,37,0.0,187
RTB,26,0.0,117
RTD,27,0.0,117
RTN,32,0.0,187
RTST,22,0.0,117
RTZ,23,0.0,117
RV,158,0.0,551
RVS,91,0.0,169
SBK,179,0.0,583
SD,88,0.0,172
SDA,288,0.0,476
SDM,31,0.0,187
SDT,3,57.32258064516129,0
SDTB,0,0.0,0
SGL,203,0.0,569
SGN,150,0.0,369
SHL,94,0.0,262
SK,272,0.0,405
SKND,271,0.0,405
SM,152,0.0,551
SN,181,0.0,584
SOG,201,0.0,570
SPTN,101,0.0,243
SPTZ,99,0.0,243
SRN,165,0.0,580
SSH,73,0.0,243
ST,87,0.0,172
STD,172,0.0,551
STM,283,0.0,482
STV,301,0.0,413
STZ,86,0.0,172
SWD,272,0.0,470
SWK,197,0.0,452
TB,58,0.0,440
TBG,134,0.0,386
TBR,53,0.0,459
TBU,57,0.0,461
TG,152,0.0,503
TL,54,0.0,75
TPSW,52,0.0,75
TWL,142,0.0,423
UHM,296,0.0,486
UHZ,293,0.0,486
UST,288,0.0,485
UT,68,0.0,75
UTG,113,0.0,263
UTLN,64,0.0,156
UTLR,71,0.0,148
UTO,71,0.0,148
UTT,73,0.0,148
UTVR,67,0.0,156
UTZL,70,0.0,148
VB,53,0.0,262
VD,139,0.0,352
VDL,195,0.0,570
VDM,288,0.0,483
VEM,131,0.0,352
VG,68,0.0,148
VH,73,0.0,243
VHP,195,0.0,412
VK,204,0.0,570
VL,147,0.0,502
VLB,127,0.0,155
VNDC,101,0.0,234
VNDW,100,0.0,234
VP,104,0.0,350
VRY,134,0.0,156
VS,120,0.0,149
VSS,119,0.0,122
VST,60,0.0,236
VSV,141,0.0,386
VTN,75,0.0,153
VZ,188,0.0,488
WAD,59,0.0,272
WADN,60,0.0,272
WADT,58,0.0,272
WC,98,0.0,172
WD,67,0.0,272
WDN,177,0.0,359
