station,distance,services_per_day,n_of_disruptions
AC,75,0,385
AH,156,0,652
AHP,157,0,909
AHPR,159,0,911
AHZ,164,0,909
AKL,146,0,569
AKM,248,0,523
ALM,90,0,371
ALMB,96,0,502
ALMM,89,0,392
ALMO,98,0,502
ALMP,92,0,502
AMF,105,0,372
AMFS,108,0,612
AML,202,0,678
AMPO,87,0,392
AMR,21,0,11
AMRI,204,0,748
AMRN,20,0,10
ANA,9,0,0
APD,148,0,612
APDM,149,0,647
APDO,151,0,647
APG,311,0,601
APN,100,0,222
ARN,246,0,437
ASA,66,0,371
ASB,70,0,371
ASD,60,0,113
ASDL,59,0,113
ASDM,64,0,371
ASDZ,72,0,371
ASHD,71,0,385
ASN,249,0,521
ASS,56,0,92
ASSP,65,0,385
ATN,208,0,946
AVAT,111,0,618
BD,173,0,401
BDE,271,0,631
BDG,108,0,303
BDM,292,0,590
BDPB,168,0,523
BET,169,0,560
BF,296,0,590
BGN,194,0,406
BHDV,157,0,589
BHV,108,0,444
BK,264,0,631
BKF,46,0,74
BKG,45,0,70
BKL,97,0,388
BL,233,0,521
BLL,53,0,110
BMN,173,0,647
BMR,200,0,944
BN,211,0,748
BNC,124,0,613
BNK,107,0,444
BNN,121,0,612
BNZ,126,0,629
BP,290,0,533
BR,229,0,611
BRD,134,0,416
BRN,96,0,372
BSD,132,0,568
BSK,106,0,303
BSKS,107,0,326
BSMZ,84,0,403
BTL,159,0,517
BV,43,0,90
BZL,226,0,437
CAS,33,0,86
CK,190,0,941
CL,117,0,472
CO,226,0,550
CPS,131,0,411
CVM,281,0,648
DA,213,0,748
DB,111,0,444
DDN,206,0,662
DDR,143,0,401
DDRS,146,0,518
DDZD,144,0,518
DEI,270,0,533
DID,175,0,909
DL,183,0,530
DLD,108,0,386
DLN,230,0,564
DMN,67,0,385
DMNZ,70,0,411
DN,201,0,583
DR,172,0,909
DRH,48,0,108
DRON,139,0,516
DRP,277,0,547
DT,109,0,230
DTC,186,0,929
DTCH,184,0,929
DTCP,110,0,331
DV,163,0,612
DVC,167,0,678
DVD,68,0,408
DVN,165,0,911
DVNK,88,0,215
DWE,283,0,533
DZ,315,0,619
DZW,314,0,619
EC,244,0,628
ED,139,0,630
EDC,137,0,629
EDN,286,0,632
EEM,322,0,618
EGH,280,0,647
EGHM,281,0,647
EHS,178,0,636
EHV,179,0,517
EKZ,49,0,82
EML,128,0,615
EMN,246,0,565
EMNZ,242,0,564
ES,219,0,714
ESE,225,0,743
ESK,215,0,714
EST,167,0,909
ETN,184,0,724
FN,283,0,533
FWD,280,0,533
GBG,219,0,550
GBR,228,0,743
GD,118,0,326
GDG,121,0,411
GDM,125,0,525
GDR,191,0,946
GERP,275,0,574
GK,296,0,589
GLN,260,0,630
GN,277,0,574
GND,157,0,521
GNN,281,0,589
GO,196,0,654
GP,185,0,579
GR,151,0,587
GS,231,0,437
GV,101,0,215
GVC,100,0,215
GVM,96,0,300
GVMW,102,0,230
GW,253,0,523
GZ,180,0,532
HAD,60,0,165
HB,271,0,661
HBZM,154,0,521
HD,132,0,615
HDB,213,0,537
HDE,153,0,612
HDG,276,0,533
HDR,21,0,9
