station,distance,services_per_day,n_of_disruptions
AC,22,0,14
AH,104,0,87
AHP,105,0,344
AHPR,107,0,346
AHZ,112,0,344
AKL,93,0,212
AKM,198,0,226
ALM,40,0,74
ALMB,46,0,205
ALMM,39,0,92
ALMO,48,0,205
ALMP,42,0,205
AMF,55,0,78
AMFS,58,0,318
AML,152,0,384
AMPO,37,0,92
AMR,50,0,27
AMRI,154,0,454
AMRN,51,0,102
ANA,80,0,113
APD,98,0,318
APDM,99,0,353
APDO,101,0,353
APG,261,0,304
APN,44,0,17
ARN,190,0,106
ASA,17,0,77
ASB,17,0,0
ASD,19,0,0
ASDL,12,0,0
ASDM,19,0,114
ASDZ,11,0,0
ASHD,18,0,14
ASN,199,0,224
ASS,15,0,0
ASSP,20,0,128
ATN,156,0,381
AVAT,61,0,324
BD,117,0,70
BDE,218,0,274
BDG,52,0,98
BDM,242,0,293
BDPB,112,0,192
BET,116,0,203
BF,246,0,293
BGN,138,0,75
BHDV,104,0,200
BHV,55,0,87
BK,211,0,274
BKF,69,0,85
BKG,68,0,81
BKL,44,0,17
BL,183,0,224
BLL,33,0,58
BMN,123,0,353
BMR,148,0,379
BN,161,0,454
BNC,74,0,319
BNK,54,0,87
BNN,71,0,318
BNZ,76,0,335
BP,240,0,236
BR,176,0,254
BRD,78,0,85
BRN,46,0,78
BSD,79,0,211
BSK,50,0,98
BSKS,51,0,121
BSMZ,34,0,103
BTL,106,0,160
BV,40,0,60
BZL,170,0,106
CAS,38,0,24
CK,138,0,376
CL,64,0,115
CO,176,0,253
CPS,75,0,206
CVM,228,0,291
DA,163,0,454
DB,58,0,87
DDN,156,0,368
DDR,87,0,70
DDRS,90,0,187
DDZD,88,0,187
DEI,220,0,236
DID,123,0,344
DL,133,0,233
DLD,58,0,107
DLN,180,0,267
DMN,22,0,128
DMNZ,17,0,77
DN,148,0,226
DR,120,0,344
DRH,38,0,77
DRON,89,0,219
DRP,227,0,250
DT,53,0,44
DTC,134,0,364
DTCH,132,0,364
DTCP,54,0,145
DV,113,0,318
DVC,117,0,384
DVD,15,0,74
DVN,113,0,346
DVNK,32,0,10
DWE,233,0,236
DZ,265,0,322
DZW,264,0,322
EC,191,0,271
ED,87,0,87
EDC,87,0,335
EDN,233,0,275
EEM,272,0,321
EGH,227,0,290
EGHM,228,0,290
EHS,125,0,279
EHV,126,0,160
EKZ,72,0,93
EML,78,0,321
EMN,196,0,268
EMNZ,192,0,267
ES,169,0,420
ESE,175,0,449
ESK,165,0,420
EST,115,0,344
ETN,128,0,393
FN,233,0,236
FWD,230,0,236
GBG,169,0,253
GBR,178,0,449
GD,62,0,121
GDG,65,0,206
GDM,72,0,168
GDR,139,0,381
GERP,225,0,277
GK,246,0,292
GLN,207,0,273
GN,227,0,277
GND,101,0,190
GNN,231,0,292
GO,146,0,360
GP,132,0,222
GR,98,0,230
GS,175,0,106
GV,45,0,29
GVC,44,0,0
GVM,40,0,95
GVMW,46,0,44
GW,203,0,226
GZ,127,0,393
HAD,34,0,58
HB,218,0,304
HBZM,98,0,190
HD,82,0,321
HDB,163,0,240
HDE,103,0,318
HDG,226,0,236
HDR,92,0,122
HDRZ,91,0,122
HFD,5,0,0
HGL,161,0,401
HGLG,159,0,401
HGLO,163,0,420
HGV,169,0,219
HGZ,238,0,300
HIL,41,0,98
HK,37,0,60
HKS,64,0,77
HLG,242,0,237
HLGH,243,0,241
HLM,30,0,21
HLMS,29,0,21
HLO,45,0,27
HM,139,0,222
HMBH,140,0,226
HMBV,136,0,222
HMH,138,0,222
HMN,103,0,214
HN,54,0,21
HNK,55,0,77
HNO,133,0,233
HNP,258,0,239
HON,132,0,384
HOR,45,0,78
HR,187,0,219
HRL,222,0,273
HRLW,224,0,290
HRN,221,0,277
HRT,166,0,254
HT,94,0,87
HTN,54,0,87
HTNC,55,0,115
HTO,95,0,160
HVL,61,0,318
HVS,39,0,77
HVSM,38,0,136
HVSP,40,0,78
HWD,57,0,103
HWZB,22,0,21
HZE,137,0,228
IJT,241,0,237
KBD,157,0,106
KBK,107,0,354
KLP,80,0,87
KMA,29,0,34
KMR,230,0,290
KMW,263,0,244
KPN,136,0,233
KPNZ,106,0,220
KRD,230,0,301
KRG,164,0,106
KTR,96,0,211
KW,235,0,298
KZ,23,0,24
LAA,43,0,10
LC,133,0,353
LDL,30,0,10
LDM,86,0,212
LEDN,29,0,0
LEER,296,0,316
LG,225,0,290
LLS,64,0,205
LLZM,59,0,32
LP,253,0,304
LTN,81,0,335
LTV,151,0,355
LUT,207,0,273
LW,216,0,219
LWC,219,0,236
MAS,39,0,14
MDB,194,0,106
MES,230,0,275
MG,226,0,236
MMLH,133,0,365
MP,149,0,233
MRB,155,0,240
MRN,66,0,119
MT,224,0,273
MTH,236,0,300
MTN,227,0,275
MTR,225,0,275
MZ,147,0,233
NDB,33,0,92
NH,215,0,304
NKK,66,0,318
NM,123,0,344
NMD,128,0,365
NMGO,126,0,365
NMH,126,0,365
NML,122,0,358
NS,94,0,318
NSCH,271,0,307
NVD,153,0,233
NVP,10,0,128
NWK,71,0,206
O,113,0,160
OBD,63,0,113
ODB,118,0,192
ODZ,172,0,420
OMN,144,0,240
OP,100,0,214
OST,123,0,384
OT,115,0,203
OTB,100,0,109
OVN,32,0,58
OW,112,0,163
PMO,36,0,22
PMR,35,0,21
PMW,34,0,24
PT,73,0,321
RAI,12,0,74
RAT,139,0,233
RB,154,0,106
RD,265,0,308
RH,114,0,347
RHN,89,0,122
RL,138,0,355
RLB,74,0,79
RM,178,0,222
RS,101,0,163
RSD,125,0,70
RSN,139,0,384
RSW,48,0,44
RTA,76,0,206
RTB,68,0,70
RTD,67,0,0
RTN,72,0,70
RTST,72,0,79
RTZ,71,0,79
RV,189,0,271
RVS,121,0,181
SBK,210,0,303
SD,50,0,92
SDA,254,0,298
SDM,63,0,145
SDT,97,0,189
SDTB,94,0,189
SGL,234,0,289
SGN,71,0,113
SK,238,0,236
SKND,237,0,236
SM,183,0,271
SN,212,0,304
SOG,232,0,290
SPTN,37,0,76
SPTZ,35,0,76
SRN,196,0,300
SSH,21,0,128
ST,51,0,92
STD,203,0,271
STM,249,0,310
STV,267,0,244
STZ,52,0,92
SWD,238,0,298
SWK,163,0,280
TB,116,0,160
TBG,140,0,381
TBR,121,0,173
TBU,117,0,173
TG,183,0,307
TL,84,0,211
TPSW,82,0,211
TWL,108,0,353
UHM,262,0,314
UHZ,259,0,314
UST,254,0,313
UT,46,0,14
UTG,34,0,59
UTLN,50,0,87
UTLR,49,0,87
UTM,54,0,87
UTO,49,0,87
UTT,51,0,87
UTVR,47,0,87
UTZL,44,0,17
VB,47,0,29
VD,128,0,353
VDL,226,0,290
VDM,254,0,311
VEM,112,0,355
VG,98,0,160
VH,37,0,10
VHP,161,0,240
VK,235,0,290
VL,178,0,306
VLB,155,0,407
VNDC,81,0,121
VNDW,80,0,121
VP,110,0,347
VRY,162,0,408
VS,200,0,108
VSS,199,0,108
VST,34,0,95
VSV,147,0,381
VTN,53,0,92
VZ,158,0,454
WAD,54,0,121
WADN,53,0,121
WADT,55,0,121
WC,128,0,184
WD,62,0,87
WDN,147,0,391
WF,96,0,109
WFM,251,0,313
WH,130,0,394
WK,254,0,239
WL,129,0,364
WM,27,0,24
WP,24,0,86
WR,281,0,322
WS,259,0,313
WSM,243,0,299
WT,154,0,222
WTV,109,0,346
WV,176,0,219
WW,161,0,367
WWW,160,0,367
WZ,112,0,331
YPB,51,0,32
ZA,106,0,214
ZB,246,0,307
ZBM,81,0,211
ZD,21,0,21
ZDK,24,0,24
ZH,239,0,298
ZL,121,0,216
ZLSH,126,0,230
ZLW,102,0,187
ZP,116,0,353
ZTM,56,0,29
ZTMO,57,0,32
ZV,118,0,344
ZVB,110,0,192
ZVT,38,0,59
ZWD,85,0,184
ZZS,24,0,24
