Station Code,Distance from SK,Services from/to SK,Disruptions on path to SK
AC,228,0.0,363
AH,193,0.0,110
AHP,192,0.0,114
AHPR,190,0.0,113
AHZ,201,0.0,367
AKL,251,0.0,374
AKM,40,0.0,19
ALM,198,0.0,42
ALMB,192,0.0,42
ALMM,199,0.0,173
ALMO,190,0.0,31
ALMP,196,0.0,47
AMF,183,0.0,17
AMFS,180,0.0,31
AML,162,0.0,52
AMPO,201,0.0,174
AMR,267,0.0,316
AMRI,164,0.0,122
AMRN,268,0.0,391
ANA,297,0.0,402
APD,163,0.0,31
APDM,164,0.0,66
APDO,160,0.0,107
APG,110,0.0,44
APN,239,0.0,267
ARN,382,0.0,527
ASA,225,0.0,35
ASB,225,0.0,35
ASD,228,0.0,31
ASDL,235,0.0,289
ASDM,224,0.0,257
ASDZ,227,0.0,32
ASHD,226,0.0,49
ASN,104,0.0,32
ASS,232,0.0,289
ASSP,223,0.0,50
ATN,221,0.0,121
AVAT,177,0.0,37
BD,295,0.0,416
BDE,337,0.0,568
BDG,231,0.0,258
BDM,91,0.0,33
BDPB,300,0.0,739
BET,274,0.0,330
BF,95,0.0,33
BGN,330,0.0,526
BHDV,262,0.0,394
BHV,195,0.0,261
BK,330,0.0,569
BKF,286,0.0,374
BKG,285,0.0,370
BKL,216,0.0,330
BL,120,0.0,85
BLL,250,0.0,326
BMN,171,0.0,107
BMR,237,0.0,402
BN,171,0.0,122
BNC,202,0.0,258
BNK,212,0.0,330
BNN,199,0.0,257
BNZ,204,0.0,274
BP,46,0.0,17
BR,272,0.0,431
BRD,271,0.0,491
BRN,192,0.0,257
BSD,237,0.0,373
BSK,245,0.0,348
BSKS,246,0.0,371
BSMZ,204,0.0,32
BTL,264,0.0,403
BV,257,0.0,310
BZL,362,0.0,557
CAS,255,0.0,313
CK,227,0.0,399
CL,222,0.0,358
CO,172,0.0,51
CPS,249,0.0,415
CVM,347,0.0,586
DA,159,0.0,41
DB,216,0.0,330
DDN,181,0.0,141
DDR,279,0.0,405
DDRS,276,0.0,405
DDZD,280,0.0,522
DEI,26,0.0,17
DID,210,0.0,119
DL,129,0.0,31
DLD,192,0.0,257
DLN,176,0.0,65
DMN,221,0.0,49
DMNZ,221,0.0,32
DN,300,0.0,483
DR,177,0.0,107
DRH,255,0.0,327
DRON,149,0.0,31
DRP,33,0.0,31
DT,273,0.0,430
DTC,221,0.0,139
DTCH,219,0.0,139
DTCP,273,0.0,485
DV,148,0.0,41
DVC,152,0.0,107
DVD,223,0.0,32
DVN,200,0.0,116
DVNK,257,0.0,365
DWE,39,0.0,17
DZ,114,0.0,62
DZW,113,0.0,62
EC,310,0.0,566
ED,210,0.0,367
EDC,212,0.0,389
EDN,352,0.0,570
EEM,121,0.0,61
EGH,346,0.0,585
EGHM,347,0.0,585
EHS,283,0.0,406
EHV,284,0.0,406
EKZ,289,0.0,382
EML,160,0.0,34
EMN,192,0.0,66
EMNZ,188,0.0,65
ES,184,0.0,141
ESK,180,0.0,141
EST,204,0.0,367
ETN,306,0.0,739
FN,39,0.0,17
FWD,36,0.0,17
GBG,165,0.0,51
GD,236,0.0,330
GDG,233,0.0,330
GDM,230,0.0,330
GDR,226,0.0,156
GERP,78,0.0,32
GK,57,0.0,40
GLN,326,0.0,568
GN,76,0.0,17
GND,265,0.0,394
GNN,80,0.0,32
GO,191,0.0,174
GP,290,0.0,468
GR,256,0.0,392
GS,367,0.0,527
GV,265,0.0,415
GVC,264,0.0,333
GVM,265,0.0,450
GVMW,266,0.0,430
GW,35,0.0,17
GZ,285,0.0,418
HAD,251,0.0,310
HB,337,0.0,599
HBZM,268,0.0,404
HD,156,0.0,31
HDB,159,0.0,38
HDE,135,0.0,31
HDG,32,0.0,17
HDR,309,0.0,411
HDRZ,308,0.0,411
HFD,243,0.0,106
HGL,176,0.0,122
HGLG,178,0.0,141
HGLO,178,0.0,141
HGV,109,0.0,74
HGZ,91,0.0,55
HIL,258,0.0,310
HK,254,0.0,349
HKS,281,0.0,366
HLG,48,0.0,18
HLGH,49,0.0,22
HLM,247,0.0,289
HLMS,246,0.0,310
HLO,262,0.0,316
HM,297,0.0,468
HMBH,298,0.0,472
HMBV,294,0.0,468
HMH,296,0.0,468
HMN,218,0.0,381
HN,271,0.0,310
HNK,272,0.0,366
HNO,129,0.0,31
HNP,20,21.096774193548388,2
HON,167,0.0,107
HOR,205,0.0,32
HR,51,0.0,17
HRL,341,0.0,568
HRLW,343,0.0,585
HRN,82,0.0,32
HRT,282,0.0,483
HT,252,0.0,330
HTN,212,0.0,330
HTNC,213,0.0,358
HTO,253,0.0,403
HVL,189,0.0,257
HVS,199,0.0,31
HVSM,200,0.0,32
HVSP,200,0.0,32
HWD,274,0.0,392
HWZB,239,0.0,310
HZE,295,0.0,474
IJT,3,21.096774193548388,0
KBD,349,0.0,527
KBK,172,0.0,67
KLP,217,0.0,389
KMA,246,0.0,323
KMR,349,0.0,585
KMW,25,21.096774193548388,7
KPN,132,0.0,31
KPNZ,132,0.0,31
KRD,349,0.0,596
KRG,356,0.0,527
KTR,225,0.0,381
KW,88,0.0,53
KZ,240,0.0,313
LAA,265,0.0,362
LC,181,0.0,107
LDL,253,0.0,348
LDM,244,0.0,374
LEDN,254,0.0,355
LG,344,0.0,585
LLS,174,0.0,17
LLZM,249,0.0,415
LP,102,0.0,44
LTN,209,0.0,274
LTV,199,0.0,109
LUT,326,0.0,568
LW,22,29.193548387096776,0
LWC,25,0.0,17
MAS,211,0.0,330
MDB,386,0.0,554
MES,349,0.0,570
MG,12,29.193548387096776,0
MMLH,222,0.0,388
MP,89,0.0,24
MRB,151,0.0,38
MRN,224,0.0,362
MT,343,0.0,568
MTH,89,0.0,55
MTN,346,0.0,570
MTR,344,0.0,570
MZ,305,0.0,479
NDB,205,0.0,32
NH,334,0.0,599
NKK,172,0.0,34
NM,212,0.0,367
NMD,217,0.0,388
NMGO,215,0.0,388
NMH,215,0.0,388
NML,211,0.0,381
NS,144,0.0,31
NSCH,124,0.0,62
NVD,149,0.0,40
NVP,248,0.0,234
NWK,245,0.0,415
O,236,0.0,388
OBD,280,0.0,310
ODB,310,0.0,527
ODZ,187,0.0,141
OMN,140,0.0,38
OP,221,0.0,381
OST,138,0.0,31
OT,273,0.0,446
OTB,197,0.0,367
OVN,249,0.0,326
OW,237,0.0,409
PMO,253,0.0,289
PMR,252,0.0,310
PMW,251,0.0,313
PT,165,0.0,31
RAI,226,0.0,35
RAT,135,0.0,31
RB,346,0.0,527
RD,114,0.0,48
RH,183,0.0,110
RHN,247,0.0,365
RL,186,0.0,109
RLB,267,0.0,485
RM,297,0.0,517
RS,248,0.0,409
RSD,317,0.0,522
RSN,165,0.0,52
RSW,268,0.0,430
RTA,250,0.0,415
RTB,261,0.0,485
RTD,260,0.0,415
RTN,255,0.0,417
RTST,265,0.0,485
RTZ,264,0.0,485
RV,286,0.0,503
RVS,228,0.0,367
SBK,329,0.0,598
SD,196,0.0,271
SDA,107,0.0,53
SDM,264,0.0,485
SDT,269,0.0,404
SDTB,272,0.0,405
SGL,353,0.0,584
SGN,288,0.0,402
SHL,238,0.0,106
SK,0,0.0,0
SKND,1,29.193548387096776,0
SM,292,0.0,517
SN,331,0.0,599
SOG,351,0.0,585
SPTN,254,0.0,326
SPTZ,252,0.0,326
SRN,315,0.0,595
SSH,259,0.0,234
ST,197,0.0,271
STD,322,0.0,566
STM,98,0.0,44
STV,29,21.096774193548388,7
STZ,198,0.0,261
SWD,87,0.0,32
SWK,75,0.0,17
TB,274,0.0,403
TBG,227,0.0,156
TBR,279,0.0,416
TBU,275,0.0,416
TG,279,0.0,484
TL,237,0.0,384
TPSW,239,0.0,384
TWL,153,0.0,107
UHM,111,0.0,48
UHZ,108,0.0,48
UST,103,0.0,47
UT,204,0.0,257
UTG,251,0.0,348
UTLN,208,0.0,330
UTLR,207,0.0,330
UTO,201,0.0,257
UTT,209,0.0,330
UTVR,205,0.0,330
UTZL,206,0.0,330
VB,261,0.0,415
VD,176,0.0,107
VDL,345,0.0,585
VDM,107,0.0,60
VEM,168,0.0,107
VG,256,0.0,403
VH,262,0.0,365
VHP,157,0.0,41
VK,354,0.0,585
VL,274,0.0,483
VLB,244,0.0,430
VNDC,239,0.0,364
VNDW,238,0.0,364
VP,187,0.0,113
VRY,251,0.0,431
VS,392,0.0,554
VSS,391,0.0,527
VST,259,0.0,450
VSV,230,0.0,140
VTN,211,0.0,335
VZ,164,0.0,42
WAD,244,0.0,415
WADN,245,0.0,415
WADT,243,0.0,415
WC,221,0.0,367
WD,220,0.0,257
WDN,157,0.0,52
WF,201,0.0,367
WFM,100,0.0,47
WH,131,0.0,31
WK,16,21.096774193548388,2
WL,216,0.0,139
WM,244,0.0,313
WP,214,0.0,43
WR,134,0.0,71
WS,112,0.0,62
WSM,92,0.0,33
WT,312,0.0,468
WTV,196,0.0,116
WV,62,0.0,17
WW,209,0.0,121
WWW,208,0.0,121
WZ,126,0.0,31
YPB,257,0.0,333
ZA,215,0.0,381
ZB,99,0.0,56
ZBM,239,0.0,373
ZD,238,0.0,310
ZDK,241,0.0,313
ZH,64,0.0,17
ZL,117,0.0,17
ZLSH,122,0.0,31
ZLW,294,0.0,522
ZP,164,0.0,107
ZTM,252,0.0,330
ZTMO,251,0.0,415
ZV,205,0.0,119
ZVB,302,0.0,527
ZVT,255,0.0,326
ZWD,278,0.0,590
ZZS,241,0.0,313
