Station Code,Distance from SKND,Services from/to SKND,Disruptions on path to SKND
AC,227,0.0,363
AH,192,0.0,110
AHP,191,0.0,114
AHPR,189,0.0,113
AHZ,200,0.0,367
AKL,250,0.0,374
AKM,39,0.0,19
ALM,197,0.0,42
ALMB,191,0.0,42
ALMM,198,0.0,173
ALMO,189,0.0,31
ALMP,195,0.0,47
AMF,182,0.0,17
AMFS,179,0.0,31
AML,161,0.0,52
AMPO,200,0.0,174
AMR,266,0.0,316
AMRI,163,0.0,122
AMRN,267,0.0,391
ANA,296,0.0,402
APD,162,0.0,31
APDM,163,0.0,66
APDO,159,0.0,107
APG,109,0.0,44
APN,238,0.0,267
ARN,381,0.0,527
ASA,224,0.0,35
ASB,224,0.0,35
ASD,227,0.0,31
ASDL,234,0.0,289
ASDM,223,0.0,257
ASDZ,226,0.0,32
ASHD,225,0.0,49
ASN,103,0.0,32
ASS,231,0.0,289
ASSP,222,0.0,50
ATN,220,0.0,121
AVAT,176,0.0,37
BD,294,0.0,416
BDE,336,0.0,568
BDG,230,0.0,258
BDM,90,0.0,33
BDPB,299,0.0,739
BET,273,0.0,330
BF,94,0.0,33
BGN,329,0.0,526
BHDV,261,0.0,394
BHV,194,0.0,261
BK,329,0.0,569
BKF,285,0.0,374
BKG,284,0.0,370
BKL,215,0.0,330
BL,119,0.0,85
BLL,249,0.0,326
BMN,170,0.0,107
BMR,236,0.0,402
BN,170,0.0,122
BNC,201,0.0,258
BNK,211,0.0,330
BNN,198,0.0,257
BNZ,203,0.0,274
BP,45,0.0,17
BR,271,0.0,431
BRD,270,0.0,491
BRN,191,0.0,257
BSD,236,0.0,373
BSK,244,0.0,348
BSKS,245,0.0,371
BSMZ,203,0.0,32
BTL,263,0.0,403
BV,256,0.0,310
BZL,361,0.0,557
CAS,254,0.0,313
CK,226,0.0,399
CL,221,0.0,358
CO,171,0.0,51
CPS,248,0.0,415
CVM,346,0.0,586
DA,158,0.0,41
DB,215,0.0,330
DDN,180,0.0,141
DDR,278,0.0,405
DDRS,275,0.0,405
DDZD,279,0.0,522
DEI,25,0.0,17
DID,209,0.0,119
DL,128,0.0,31
DLD,191,0.0,257
DLN,175,0.0,65
DMN,220,0.0,49
DMNZ,220,0.0,32
DN,299,0.0,483
DR,176,0.0,107
DRH,254,0.0,327
DRON,148,0.0,31
DRP,32,0.0,31
DT,272,0.0,430
DTC,220,0.0,139
DTCH,218,0.0,139
DTCP,272,0.0,485
DV,147,0.0,41
DVC,151,0.0,107
DVD,222,0.0,32
DVN,199,0.0,116
DVNK,256,0.0,365
DWE,38,0.0,17
DZ,113,0.0,62
DZW,112,0.0,62
EC,309,0.0,566
ED,209,0.0,367
EDC,211,0.0,389
EDN,351,0.0,570
EEM,120,0.0,61
EGH,345,0.0,585
EGHM,346,0.0,585
EHS,282,0.0,406
EHV,283,0.0,406
EKZ,288,0.0,382
EML,159,0.0,34
EMN,191,0.0,66
EMNZ,187,0.0,65
ES,183,0.0,141
ESK,179,0.0,141
EST,203,0.0,367
ETN,305,0.0,739
FN,38,0.0,17
FWD,35,0.0,17
GBG,164,0.0,51
GD,235,0.0,330
GDG,232,0.0,330
GDM,229,0.0,330
GDR,225,0.0,156
GERP,77,0.0,32
GK,56,0.0,40
GLN,325,0.0,568
GN,75,0.0,17
GND,264,0.0,394
GNN,79,0.0,32
GO,190,0.0,174
GP,289,0.0,468
GR,255,0.0,392
GS,366,0.0,527
GV,264,0.0,415
GVC,263,0.0,333
GVM,264,0.0,450
GVMW,265,0.0,430
GW,34,0.0,17
GZ,284,0.0,418
HAD,250,0.0,310
HB,336,0.0,599
HBZM,267,0.0,404
HD,155,0.0,31
HDB,158,0.0,38
HDE,134,0.0,31
HDG,31,0.0,17
HDR,308,0.0,411
HDRZ,307,0.0,411
HFD,242,0.0,106
HGL,175,0.0,122
HGLG,177,0.0,141
HGLO,177,0.0,141
HGV,108,0.0,74
HGZ,90,0.0,55
HIL,257,0.0,310
HK,253,0.0,349
HKS,280,0.0,366
HLG,47,0.0,18
HLGH,48,0.0,22
HLM,246,0.0,289
HLMS,245,0.0,310
HLO,261,0.0,316
HM,296,0.0,468
HMBH,297,0.0,472
HMBV,293,0.0,468
HMH,295,0.0,468
HMN,217,0.0,381
HN,270,0.0,310
HNK,271,0.0,366
HNO,128,0.0,31
HNP,21,21.096774193548388,3
HON,166,0.0,107
HOR,204,0.0,32
HR,50,0.0,17
HRL,340,0.0,568
HRLW,342,0.0,585
HRN,81,0.0,32
HRT,281,0.0,483
HT,251,0.0,330
HTN,211,0.0,330
HTNC,212,0.0,358
HTO,252,0.0,403
HVL,188,0.0,257
HVS,198,0.0,31
HVSM,199,0.0,32
HVSP,199,0.0,32
HWD,273,0.0,392
HWZB,238,0.0,310
HZE,294,0.0,474
IJT,4,21.096774193548388,1
KBD,348,0.0,527
KBK,171,0.0,67
KLP,216,0.0,389
KMA,245,0.0,323
KMR,348,0.0,585
KMW,26,21.096774193548388,8
KPN,131,0.0,31
KPNZ,131,0.0,31
KRD,348,0.0,596
KRG,355,0.0,527
KTR,224,0.0,381
KW,87,0.0,53
KZ,239,0.0,313
LAA,264,0.0,362
LC,180,0.0,107
LDL,252,0.0,348
LDM,243,0.0,374
LEDN,253,0.0,355
LG,343,0.0,585
LLS,173,0.0,17
LLZM,248,0.0,415
LP,101,0.0,44
LTN,208,0.0,274
LTV,198,0.0,109
LUT,325,0.0,568
LW,21,29.193548387096776,0
LWC,24,0.0,17
MAS,210,0.0,330
MDB,385,0.0,554
MES,348,0.0,570
MG,11,29.193548387096776,0
MMLH,221,0.0,388
MP,88,0.0,24
MRB,150,0.0,38
MRN,223,0.0,362
MT,342,0.0,568
MTH,88,0.0,55
MTN,345,0.0,570
MTR,343,0.0,570
MZ,304,0.0,479
NDB,204,0.0,32
NH,333,0.0,599
NKK,171,0.0,34
NM,211,0.0,367
NMD,216,0.0,388
NMGO,214,0.0,388
NMH,214,0.0,388
NML,210,0.0,381
NS,143,0.0,31
NSCH,123,0.0,62
NVD,148,0.0,40
NVP,247,0.0,234
NWK,244,0.0,415
O,235,0.0,388
OBD,279,0.0,310
ODB,309,0.0,527
ODZ,186,0.0,141
OMN,139,0.0,38
OP,220,0.0,381
OST,137,0.0,31
OT,272,0.0,446
OTB,196,0.0,367
OVN,248,0.0,326
OW,236,0.0,409
PMO,252,0.0,289
PMR,251,0.0,310
PMW,250,0.0,313
PT,164,0.0,31
RAI,225,0.0,35
RAT,134,0.0,31
RB,345,0.0,527
RD,113,0.0,48
RH,182,0.0,110
RHN,246,0.0,365
RL,185,0.0,109
RLB,266,0.0,485
RM,296,0.0,517
RS,247,0.0,409
RSD,316,0.0,522
RSN,164,0.0,52
RSW,267,0.0,430
RTA,249,0.0,415
RTB,260,0.0,485
RTD,259,0.0,415
RTN,254,0.0,417
RTST,264,0.0,485
RTZ,263,0.0,485
RV,285,0.0,503
RVS,227,0.0,367
SBK,328,0.0,598
SD,195,0.0,271
SDA,106,0.0,53
SDM,263,0.0,485
SDT,268,0.0,404
SDTB,271,0.0,405
SGL,352,0.0,584
SGN,287,0.0,402
SHL,237,0.0,106
SK,1,30.06451612903226,0
SKND,0,0.0,0
SM,291,0.0,517
SN,330,0.0,599
SOG,350,0.0,585
SPTN,253,0.0,326
SPTZ,251,0.0,326
SRN,314,0.0,595
SSH,258,0.0,234
ST,196,0.0,271
STD,321,0.0,566
STM,97,0.0,44
STV,30,21.096774193548388,8
STZ,197,0.0,261
SWD,86,0.0,32
SWK,74,0.0,17
TB,273,0.0,403
TBG,226,0.0,156
TBR,278,0.0,416
TBU,274,0.0,416
TG,278,0.0,484
TL,236,0.0,384
TPSW,238,0.0,384
TWL,152,0.0,107
UHM,110,0.0,48
UHZ,107,0.0,48
UST,102,0.0,47
UT,203,0.0,257
UTG,250,0.0,348
UTLN,207,0.0,330
UTLR,206,0.0,330
UTO,200,0.0,257
UTT,208,0.0,330
UTVR,204,0.0,330
UTZL,205,0.0,330
VB,260,0.0,415
VD,175,0.0,107
VDL,344,0.0,585
VDM,106,0.0,60
VEM,167,0.0,107
VG,255,0.0,403
VH,261,0.0,365
VHP,156,0.0,41
VK,353,0.0,585
VL,273,0.0,483
VLB,243,0.0,430
VNDC,238,0.0,364
VNDW,237,0.0,364
VP,186,0.0,113
VRY,250,0.0,431
VS,391,0.0,554
VSS,390,0.0,527
VST,258,0.0,450
VSV,229,0.0,140
VTN,210,0.0,335
VZ,163,0.0,42
WAD,243,0.0,415
WADN,244,0.0,415
WADT,242,0.0,415
WC,220,0.0,367
WD,219,0.0,257
WDN,156,0.0,52
WF,200,0.0,367
WFM,99,0.0,47
WH,130,0.0,31
WK,17,21.096774193548388,3
WL,215,0.0,139
WM,243,0.0,313
WP,213,0.0,43
WR,133,0.0,71
WS,111,0.0,62
WSM,91,0.0,33
WT,311,0.0,468
WTV,195,0.0,116
WV,61,0.0,17
WW,208,0.0,121
WWW,207,0.0,121
WZ,125,0.0,31
YPB,256,0.0,333
ZA,214,0.0,381
ZB,98,0.0,56
ZBM,238,0.0,373
ZD,237,0.0,310
ZDK,240,0.0,313
ZH,63,0.0,17
ZL,116,0.0,17
ZLSH,121,0.0,31
ZLW,293,0.0,522
ZP,163,0.0,107
ZTM,251,0.0,330
ZTMO,250,0.0,415
ZV,204,0.0,119
ZVB,301,0.0,527
ZVT,254,0.0,326
ZWD,277,0.0,590
ZZS,240,0.0,313
