Station Code,distance_SM,services_per_day_SM,n_of_disruptions_SM
AC,161,0,293
AH,99,0,150
AHP,100,0,407
AHPR,102,0,409
AHZ,91,0,164
AKL,132,0,228
AKM,252,0,550
ALM,186,0,270
ALMB,192,0,401
ALMM,185,0,269
ALMO,194,0,401
ALMP,188,0,401
AMF,150,0,447
AMFS,153,0,687
AML,183,0,476
AMPO,183,0,269
AMR,215,0,542
AMRI,185,0,546
AMRN,216,0,617
ANA,245,0,628
APD,146,0,410
APDM,145,0,411
APDO,149,0,445
APG,315,0,580
APN,172,0,267
ARN,204,0,470
ASA,170,0,257
ASB,166,0,257
ASD,176,0,257
ASDL,183,0,536
ASDM,172,0,294
ASDZ,172,0,260
ASHD,167,0,271
ASN,253,0,500
ASS,180,0,515
ASSP,173,0,308
ATN,151,0,444
AVAT,156,0,693
BD,115,0,111
BDE,45,0,52
BDG,164,0,258
BDM,296,0,569
BDPB,120,0,434
BET,67,0,111
BF,300,0,569
BGN,152,0,439
BHDV,143,0,248
BHV,146,0,257
BK,38,0,52
BKF,234,0,600
BKG,233,0,596
BKL,149,0,260
BL,237,0,505
BLL,198,0,552
BMN,121,0,410
BMR,55,35.32258064516129,87
BN,178,0,477
BNC,131,0,430
BNK,143,0,308
BNN,134,0,446
BNZ,129,0,430
BP,294,0,517
BR,20,35.32258064516129,34
BRD,154,0,551
BRN,159,0,687
BSD,118,0,227
BSK,178,0,348
BSKS,179,0,371
BSMZ,160,0,258
BTL,77,0,187
BV,205,0,575
BZL,184,0,470
CAS,203,0,539
CK,65,35.32258064516129,115
CL,119,0,227
CO,223,0,563
CPS,176,0,506
CVM,55,0,69
DA,194,0,546
DB,145,0,429
DDN,168,0,425
DDR,145,0,434
DDRS,148,0,551
DDZD,144,0,457
DEI,274,0,517
DID,118,0,407
DL,187,0,500
DLD,149,0,277
DLN,227,0,577
DMN,175,0,308
DMNZ,170,0,260
DN,48,0,86
DR,115,0,407
DRH,203,0,571
DRON,207,0,500
DRP,281,0,531
DT,179,0,504
DTC,129,0,427
DTCH,127,0,427
DTCP,178,0,504
DV,144,0,410
DVC,148,0,476
DVD,168,0,257
DVN,108,0,409
DVNK,190,0,365
DWE,287,0,517
DZ,319,0,598
DZW,318,0,598
EC,18,0,49
ED,116,0,407
EDC,118,0,429
EDN,60,0,53
EEM,326,0,597
EGH,54,0,68
EGHM,55,0,68
EHS,58,0,111
EHV,57,0,49
EKZ,237,0,608
EML,173,0,690
EMN,243,0,578
EMNZ,239,0,577
ES,181,0,477
ESK,177,0,477
EST,88,0,150
ETN,126,0,434
FN,287,0,517
FWD,284,0,517
GBG,216,0,563
GD,169,0,257
GDG,166,0,257
GDM,111,0,184
GDR,134,0,444
GERP,279,0,553
GK,300,0,568
GLN,34,0,51
GN,281,0,553
GND,146,0,248
GNN,285,0,568
GO,158,0,417
GP,51,0,56
GR,137,0,246
GS,189,0,470
GV,187,0,605
GVC,188,0,620
GVM,192,0,620
GVMW,186,0,605
GW,257,0,507
GZ,105,0,126
HAD,199,0,552
HB,45,0,82
HBZM,149,0,258
HD,177,0,690
HDB,210,0,550
HDE,193,0,500
HDG,280,0,517
HDR,257,0,637
HDRZ,256,0,637
HFD,188,0,321
HGL,173,0,458
HGLG,171,0,458
HGLO,175,0,477
HGV,223,0,500
HGZ,292,0,576
HIL,205,0,365
HK,202,0,575
HKS,229,0,592
HLG,296,0,518
HLGH,297,0,522
HLM,195,0,515
