Station Code,Distance from SPTN,Services from/to SPTN,Disruptions on path to SPTN
AC,41,0.0,309
AH,122,0.0,589
AHP,123,0.0,846
AHPR,125,0.0,846
AHZ,130,0.0,846
AKL,112,0.0,412
AKM,214,0.0,359
ALM,56,0.0,295
ALMB,62,0.0,426
ALMM,55,0.0,302
ALMO,64,0.0,426
ALMP,58,0.0,426
AMF,71,0.0,309
AMFS,74,0.0,549
AML,168,0.0,615
AMPO,53,0.0,302
AMR,28,34.935483870967744,22
AMRI,170,0.0,685
AMRN,29,29.06451612903226,97
ANA,58,0.0,108
APD,114,0.0,549
APDM,115,0.0,584
APDO,117,0.0,584
APG,277,0.0,389
APN,51,0.0,17
ARN,197,0.0,201
ASA,32,0.0,295
ASB,36,0.0,295
ASD,26,35.29032258064516,37
ASDL,25,0.0,58
ASDM,30,0.0,295
ASDZ,38,0.0,295
ASHD,37,0.0,309
ASN,215,0.0,309
ASS,22,35.29032258064516,37
ASSP,31,0.0,295
ATN,174,0.0,883
AVAT,77,0.0,555
BD,124,0.0,196
BDE,232,0.0,44
BDG,59,0.0,98
BDM,258,0.0,378
BDPB,119,0.0,248
BET,135,0.0,368
BF,262,0.0,378
BGN,145,0.0,247
BHDV,111,0.0,254
BHV,74,0.0,368
BK,227,0.0,45
BKF,67,0.0,172
BKG,66,0.0,168
BKL,53,0.0,436
BL,199,0.0,309
BLL,4,42.935483870967744,0
BMN,139,0.0,584
BMR,166,0.0,624
BN,177,0.0,685
BNC,90,0.0,550
BNK,73,0.0,368
BNN,87,0.0,549
BNZ,92,0.0,566
BP,256,0.0,566
BR,195,0.0,538
BRD,85,0.0,202
BRN,62,0.0,296
BSD,98,0.0,411
BSK,57,0.0,98
BSKS,58,0.0,121
BSMZ,50,0.0,313
BTL,125,0.0,441
BV,6,37.935483870967744,1
BZL,177,0.0,278
CAS,16,34.935483870967744,19
CK,156,0.0,621
CL,83,0.0,396
CO,192,0.0,329
CPS,82,0.0,206
CVM,206,0.0,43
DA,179,0.0,319
DB,77,0.0,368
DDN,172,0.0,599
DDR,94,0.0,126
DDRS,97,0.0,243
DDZD,95,0.0,243
DEI,236,0.0,566
DID,141,0.0,846
DL,149,0.0,309
DLD,74,0.0,310
DLN,196,0.0,343
DMN,33,0.0,295
DMNZ,36,0.0,335
DN,167,0.0,510
DR,138,0.0,846
DRH,1,37.935483870967744,0
DRON,105,0.0,440
DRP,243,0.0,580
DT,60,0.0,25
DTC,152,0.0,866
DTCH,150,0.0,866
DTCP,61,0.0,126
DV,129,0.0,549
DVC,133,0.0,584
DVD,34,0.0,332
DVN,131,0.0,848
DVNK,39,0.0,10
DWE,249,0.0,566
DZ,281,0.0,407
DZW,280,0.0,407
EC,210,0.0,555
ED,105,0.0,567
EDC,103,0.0,566
EDN,235,0.0,44
EEM,288,0.0,406
EGH,205,0.0,42
EGHM,206,0.0,42
EHS,144,0.0,444
EHV,145,0.0,444
EKZ,70,0.0,180
EML,94,0.0,549
EMN,212,0.0,344
EMNZ,208,0.0,343
ES,185,0.0,651
ESK,181,0.0,651
EST,133,0.0,846
ETN,135,0.0,519
FN,249,0.0,566
FWD,246,0.0,566
GBG,185,0.0,329
GD,69,0.0,121
GDG,72,0.0,206
GDM,91,0.0,368
GDR,157,0.0,883
GERP,241,0.0,362
GK,262,0.0,377
GLN,215,0.0,43
GN,243,0.0,362
GND,108,0.0,244
GNN,247,0.0,377
GO,162,0.0,591
GP,151,0.0,506
GR,117,0.0,430
GS,182,0.0,201
GV,52,0.0,10
GVC,51,0.0,10
GVM,47,0.0,95
GVMW,53,0.0,25
GW,219,0.0,366
GZ,134,0.0,519
HAD,11,0.967741935483871,0
HB,204,0.0,42
HBZM,105,0.0,244
HD,98,0.0,552
HDB,179,0.0,316
HDE,119,0.0,549
HDG,242,0.0,566
HDR,70,0.0,117
HDRZ,69,0.0,117
HFD,42,0.0,108
HGL,177,0.0,632
HGLG,175,0.0,632
HGLO,179,0.0,651
HGV,185,0.0,309
HGZ,254,0.0,385
HIL,18,0.967741935483871,0
HK,9,37.935483870967744,19
HKS,62,0.0,164
HLG,258,0.0,567
HLGH,259,0.0,571
HLM,7,42.935483870967744,0
HLMS,8,35.29032258064516,37
HLO,23,34.935483870967744,19
HM,158,0.0,506
HMBH,159,0.0,510
HMBV,155,0.0,506
HMH,157,0.0,506
HMN,122,0.0,414
HN,52,29.06451612903226,108
HNK,53,0.0,164
HNO,149,0.0,309
HNP,274,0.0,569
HON,148,0.0,584
HOR,61,0.0,295
HR,203,0.0,366
HRL,200,0.0,25
HRLW,202,0.0,42
HRN,237,0.0,362
HRT,185,0.0,538
HT,113,0.0,368
HTN,73,0.0,368
HTNC,74,0.0,396
HTO,114,0.0,441
HVL,77,0.0,549
HVS,55,0.0,295
HVSM,54,0.0,346
HVSP,56,0.0,296
HWD,35,29.06451612903226,98
HWZB,15,35.29032258064516,37
HZE,156,0.0,512
IJT,257,0.0,567
KBD,164,0.0,201
KBK,123,0.0,585
KLP,99,0.0,368
KMA,17,0.0,20
KMR,208,0.0,42
KMW,279,0.0,574
KPN,152,0.0,309
KPNZ,122,0.0,441
KRD,208,0.0,53
KRG,171,0.0,201
KTR,115,0.0,411
KW,251,0.0,383
KZ,23,0.0,55
LAA,50,0.0,10
LC,149,0.0,584
LDL,37,0.0,10
LDM,105,0.0,412
LEDN,36,0.9032258064516128,0
LG,203,0.0,42
LLS,80,0.0,426
LLZM,66,0.0,39
LP,269,0.0,389
LTN,97,0.0,566
LTV,167,0.0,586
LUT,223,0.0,44
LW,232,0.0,549
LWC,235,0.0,566
MAS,58,0.0,309
MDB,201,0.0,228
MES,220,0.0,42
MG,242,0.0,566
MMLH,151,0.0,610
MP,165,0.0,309
MRB,171,0.0,316
MRN,85,0.0,400
MT,226,0.0,42
MTH,252,0.0,385
MTN,223,0.0,56
MTR,227,0.0,44
