Station Code,Distance from SPTZ,Services from/to SPTZ,Disruptions on path to SPTZ
AC,39,0.0,309
AH,120,0.0,589
AHP,121,0.0,846
AHPR,123,0.0,846
AHZ,128,0.0,846
AKL,110,0.0,412
AKM,212,0.0,359
ALM,54,0.0,295
ALMB,60,0.0,426
ALMM,53,0.0,302
ALMO,62,0.0,426
ALMP,56,0.0,426
AMF,69,0.0,309
AMFS,72,0.0,549
AML,166,0.0,615
AMPO,51,0.0,302
AMR,30,32.61290322580645,23
AMRI,168,0.0,685
AMRN,31,27.193548387096776,98
ANA,60,0.0,109
APD,112,0.0,549
APDM,113,0.0,584
APDO,115,0.0,584
APG,275,0.0,389
APN,49,0.0,17
ARN,195,0.0,201
ASA,30,0.0,295
ASB,34,0.0,295
ASD,24,35.29032258064516,37
ASDL,23,0.0,58
ASDM,28,0.0,295
ASDZ,36,0.0,295
ASHD,35,0.0,309
ASN,213,0.0,309
ASS,20,35.29032258064516,37
ASSP,29,0.0,295
ATN,172,0.0,883
AVAT,75,0.0,555
BD,122,0.0,196
BDE,230,0.0,44
BDG,57,0.0,98
BDM,256,0.0,378
BDPB,117,0.0,248
BET,133,0.0,368
BF,260,0.0,378
BGN,143,0.0,247
BHDV,109,0.0,254
BHV,72,0.0,368
BK,225,0.0,45
BKF,69,0.0,173
BKG,68,0.0,169
BKL,51,0.0,436
BL,197,0.0,309
BLL,2,42.935483870967744,0
BMN,137,0.0,584
BMR,164,0.0,624
BN,175,0.0,685
BNC,88,0.0,550
BNK,71,0.0,368
BNN,85,0.0,549
BNZ,90,0.0,566
BP,254,0.0,566
BR,193,0.0,538
BRD,83,0.0,202
BRN,60,0.0,296
BSD,96,0.0,411
BSK,55,0.0,98
BSKS,56,0.0,121
BSMZ,48,0.0,313
BTL,123,0.0,441
BV,8,35.61290322580645,2
BZL,175,0.0,278
CAS,18,32.61290322580645,20
CK,154,0.0,621
CL,81,0.0,396
CO,190,0.0,329
CPS,80,0.0,206
CVM,204,0.0,43
DA,177,0.0,319
DB,75,0.0,368
DDN,170,0.0,599
DDR,92,0.0,126
DDRS,95,0.0,243
DDZD,93,0.0,243
DEI,234,0.0,566
DID,139,0.0,846
DL,147,0.0,309
DLD,72,0.0,310
DLN,194,0.0,343
DMN,31,0.0,295
DMNZ,34,0.0,335
DN,165,0.0,510
DR,136,0.0,846
DRH,3,35.61290322580645,1
DRON,103,0.0,440
DRP,241,0.0,580
DT,58,0.0,25
DTC,150,0.0,866
DTCH,148,0.0,866
DTCP,59,0.0,126
DV,127,0.0,549
DVC,131,0.0,584
DVD,32,0.0,332
DVN,129,0.0,848
DVNK,37,0.0,10
DWE,247,0.0,566
DZ,279,0.0,407
DZW,278,0.0,407
EC,208,0.0,555
ED,103,0.0,567
EDC,101,0.0,566
EDN,233,0.0,44
EEM,286,0.0,406
EGH,203,0.0,42
EGHM,204,0.0,42
EHS,142,0.0,444
EHV,143,0.0,444
EKZ,72,0.0,181
EML,92,0.0,549
EMN,210,0.0,344
EMNZ,206,0.0,343
ES,183,0.0,651
ESK,179,0.0,651
EST,131,0.0,846
ETN,133,0.0,519
FN,247,0.0,566
FWD,244,0.0,566
GBG,183,0.0,329
GD,67,0.0,121
GDG,70,0.0,206
GDM,89,0.0,368
GDR,155,0.0,883
GERP,239,0.0,362
GK,260,0.0,377
GLN,213,0.0,43
GN,241,0.0,362
GND,106,0.0,244
GNN,245,0.0,377
GO,160,0.0,591
GP,149,0.0,506
GR,115,0.0,430
GS,180,0.0,201
GV,50,0.0,10
GVC,49,0.0,10
GVM,45,0.0,95
GVMW,51,0.0,25
GW,217,0.0,366
GZ,132,0.0,519
HAD,9,0.967741935483871,0
HB,202,0.0,42
HBZM,103,0.0,244
HD,96,0.0,552
HDB,177,0.0,316
HDE,117,0.0,549
HDG,240,0.0,566
HDR,72,0.0,118
HDRZ,71,0.0,118
HFD,40,0.0,108
HGL,175,0.0,632
HGLG,173,0.0,632
HGLO,177,0.0,651
HGV,183,0.0,309
HGZ,252,0.0,385
HIL,16,0.9032258064516128,0
HK,11,35.61290322580645,20
HKS,64,0.0,165
HLG,256,0.0,567
HLGH,257,0.0,571
HLM,5,42.935483870967744,0
HLMS,6,35.29032258064516,37
HLO,25,32.61290322580645,20
HM,156,0.0,506
HMBH,157,0.0,510
HMBV,153,0.0,506
HMH,155,0.0,506
HMN,120,0.0,414
HN,54,27.193548387096776,109
HNK,55,0.0,165
HNO,147,0.0,309
HNP,272,0.0,569
HON,146,0.0,584
HOR,59,0.0,295
HR,201,0.0,366
HRL,198,0.0,25
HRLW,200,0.0,42
HRN,235,0.0,362
HRT,183,0.0,538
HT,111,0.0,368
HTN,71,0.0,368
HTNC,72,0.0,396
HTO,112,0.0,441
HVL,75,0.0,549
HVS,53,0.0,295
HVSM,52,0.0,346
HVSP,54,0.0,296
HWD,37,27.193548387096776,99
HWZB,13,35.29032258064516,37
HZE,154,0.0,512
IJT,255,0.0,567
KBD,162,0.0,201
KBK,121,0.0,585
KLP,97,0.0,368
KMA,19,0.0,21
KMR,206,0.0,42
KMW,277,0.0,574
KPN,150,0.0,309
KPNZ,120,0.0,441
KRD,206,0.0,53
KRG,169,0.0,201
KTR,113,0.0,411
KW,249,0.0,383
KZ,25,0.0,56
LAA,48,0.0,10
LC,147,0.0,584
LDL,35,0.0,10
LDM,103,0.0,412
LEDN,34,0.7419354838709677,0
LG,201,0.0,42
LLS,78,0.0,426
LLZM,64,0.0,39
LP,267,0.0,389
LTN,95,0.0,566
LTV,165,0.0,586
LUT,221,0.0,44
LW,230,0.0,549
LWC,233,0.0,566
MAS,56,0.0,309
MDB,199,0.0,228
MES,218,0.0,42
MG,240,0.0,566
MMLH,149,0.0,610
MP,163,0.0,309
MRB,169,0.0,316
MRN,83,0.0,400
MT,224,0.0,42
MTH,250,0.0,385
MTN,221,0.0,56
MTR,225,0.0,44
MZ,164,0.0,517
NDB,47,0.0,302
NH,205,0.0,42
NKK,80,0.0,549
NM,139,0.0,589
NMD,144,0.0,610
NMGO,142,0.0,610
NMH,142,0.0,610
NML,138,0.0,860
NS,108,0.0,549
NSCH,285,0.0,392
NVD,167,0.0,318
NVP,45,0.0,108
NWK,76,0.0,206
O,130,0.0,441
OBD,43,27.193548387096776,109
ODB,123,0.0,248
ODZ,186,0.0,651
OMN,158,0.0,316
OP,117,0.0,414
OST,137,0.0,615
OT,132,0.0,484
OTB,116,0.0,589
OVN,7,7.193548387096774,37
OW,129,0.0,441
PMO,41,0.0,40
PMR,40,0.0,58
PMW,39,0.0,40
