Station Code,Distance from STD,Services from/to STD,Disruptions on path to STD
AC,181,0.0,198
AH,129,0.0,199
AHP,130,0.0,456
AHPR,132,0.0,456
AHZ,121,0.0,213
AKL,152,0.0,209
AKM,282,0.0,599
ALM,206,0.0,251
ALMB,212,0.0,382
ALMM,205,0.0,250
ALMO,214,0.0,382
ALMP,208,0.0,382
AMF,178,0.0,238
AMFS,181,0.0,478
AML,213,0.0,525
AMPO,203,0.0,250
AMR,235,14.806451612903226,523
AMRI,215,0.0,595
AMRN,236,1.3548387096774193,598
ANA,265,1.3548387096774193,609
APD,176,0.0,459
APDM,175,0.0,460
APDO,179,0.0,494
APG,345,0.0,629
APN,192,0.0,248
ARN,224,0.0,439
ASA,190,47.80645161290322,238
ASB,186,5.451612903225806,238
ASD,196,47.80645161290322,238
ASDL,203,0.0,496
ASDM,192,0.0,275
ASDZ,192,0.0967741935483871,252
ASHD,185,0.0,325
ASN,283,0.0,549
ASS,200,37.096774193548384,496
ASSP,193,0.0,289
ATN,181,0.0,493
AVAT,184,0.0,484
BD,135,0.0,111
BDE,15,37.74193548387097,0
BDG,184,0.0,239
BDM,326,0.0,618
BDPB,140,0.0,434
BET,87,0.0,111
BF,330,0.0,618
BGN,172,0.0,439
BHDV,163,0.0,229
BHV,166,0.0,238
BK,8,37.67741935483871,1
BKF,254,22.29032258064516,581
BKG,253,22.29032258064516,577
BKL,169,0.032258064516129,165
BL,267,0.0,549
BLL,215,0.0,42
BMN,151,0.0,459
BMR,85,0.0,136
BN,208,0.0,526
BNC,161,0.0,222
BNK,163,0.0,289
BNN,164,0.0,238
BNZ,159,0.0,222
BP,324,0.0,566
BR,50,0.0,83
BRD,174,0.0,551
BRN,181,0.0,262
BSD,138,0.0,208
BSK,198,0.0,329
BSKS,199,0.0,352
BSMZ,180,0.0,239
BTL,97,0.064516129032258,49
BV,225,0.0,517
BZL,204,0.0,470
CAS,223,14.806451612903226,520
CK,95,0.0,164
CL,139,0.0,208
CO,253,0.0,612
CPS,196,0.0,506
CVM,25,0.0,18
DA,224,0.0,595
DB,167,0.0,333
DDN,198,0.0,474
DDR,165,0.0,434
DDRS,168,0.0,551
DDZD,164,0.0,457
DEI,304,0.0,566
DID,148,0.0,456
DL,217,0.0,549
DLD,169,0.0,258
DLN,257,0.0,626
DMN,195,0.0,289
DMNZ,190,0.0,241
DN,78,0.0,83
DR,145,0.0,456
DRH,220,0.0,43
DRON,237,0.0,549
DRP,311,0.0,580
DT,173,0.0,17
DTC,159,0.0,476
DTCH,157,0.0,476
DTCP,174,0.0,118
DV,174,0.0,459
DVC,178,0.0,525
DVD,188,0.0,238
DVN,138,0.0,458
DVNK,180,0.0,35
DWE,317,0.0,566
DZ,349,0.0,647
DZW,348,0.0,647
EC,12,36.64516129032258,2
ED,146,0.0,199
EDC,148,0.0,221
EDN,30,0.0,2
EEM,356,0.0,646
EGH,24,0.0,17
EGHM,25,0.0,17
EHS,78,0.0,111
EHV,77,66.12903225806451,49
EKZ,257,22.29032258064516,589
EML,201,0.0,478
EMN,273,0.0,627
EMNZ,269,0.0,626
ES,211,0.0,526
ESK,207,0.0,526
EST,118,0.0,199
ETN,146,0.0,434
FN,317,0.0,566
FWD,314,0.0,566
GBG,246,0.0,612
GD,189,0.0,238
GDG,186,0.0,238
GDM,131,0.1290322580645161,165
GDR,164,0.0,493
GERP,309,0.0,602
GK,330,0.0,617
GLN,4,26.61290322580645,0
GN,311,0.0,602
GND,166,0.0,229
GNN,315,0.0,617
GO,188,0.0,466
GP,71,0.0,56
GR,157,0.0,227
GS,209,0.0,439
