station,distance,services_per_day,n_of_disruptions
AC,239,0,443
AH,204,0,173
AHP,203,0,177
AHPR,201,0,176
AHZ,212,0,430
AKL,262,0,532
AKM,94,0,69
ALM,209,0,105
ALMB,203,0,105
ALMM,210,0,236
ALMO,201,0,94
ALMP,207,0,110
AMF,194,0,94
AMFS,191,0,94
AML,173,0,106
AMPO,212,0,237
AMR,278,0,521
AMRI,175,0,176
AMRN,279,0,596
ANA,308,0,607
APD,174,0,94
APDM,175,0,129
APDO,171,0,170
APG,12,0,0
APN,250,0,344
ARN,393,0,718
ASA,236,0,239
ASB,236,0,239
ASD,239,0,236
ASDL,246,0,515
ASDM,235,0,353
ASDZ,238,0,236
ASHD,237,0,253
ASN,50,0,27
ASS,243,0,494
ASSP,234,0,353
ATN,232,0,184
AVAT,188,0,100
BD,306,0,493
BDE,348,0,632
BDG,242,0,335
BDM,7,0,0
BDPB,311,0,816
BET,285,0,523
BF,19,0,12
BGN,341,0,687
BHDV,273,0,552
BHV,206,0,338
BK,341,0,632
BKF,297,0,579
BKG,296,0,575
BKL,227,0,410
BL,66,0,80
BLL,261,0,531
BMN,182,0,170
BMR,248,0,465
BN,182,0,176
BNC,213,0,335
BNK,223,0,407
BNN,210,0,334
BNZ,215,0,351
BP,52,0,27
BR,283,0,494
BRD,282,0,577
BRN,203,0,334
BSD,248,0,531
BSK,256,0,425
BSKS,257,0,448
BSMZ,215,0,335
BTL,275,0,480
BV,268,0,554
BZL,373,0,718
CAS,266,0,518
CK,238,0,462
CL,233,0,435
CO,183,0,114
CPS,260,0,492
CVM,358,0,649
DA,170,0,104
DB,227,0,407
DDN,192,0,195
DDR,290,0,565
DDRS,287,0,563
DDZD,291,0,682
DEI,80,0,67
DID,221,0,182
DL,140,0,94
DLD,203,0,334
DLN,187,0,128
DMN,232,0,352
DMNZ,232,0,352
DN,311,0,546
DR,188,0,170
DRH,266,0,550
DRON,160,0,94
DRP,87,0,81
DT,284,0,507
DTC,232,0,202
DTCH,230,0,202
DTCP,284,0,562
DV,159,0,104
DVC,163,0,170
DVD,234,0,236
DVN,211,0,179
DVNK,268,0,442
DWE,59,0,50
DZ,16,0,18
DZW,15,0,18
EC,321,0,629
ED,221,0,430
EDC,223,0,452
EDN,363,0,633
EEM,45,0,40
EGH,357,0,648
EGHM,358,0,648
EHS,294,0,599
EHV,295,0,480
EKZ,300,0,587
EML,171,0,97
EMN,203,0,129
EMNZ,199,0,128
ES,195,0,195
ESE,201,0,224
ESK,191,0,195
EST,215,0,430
ETN,317,0,816
FN,93,0,67
FWD,62,0,50
GBG,176,0,114
GBR,204,0,224
GD,247,0,407
GDG,244,0,335
GDM,241,0,488
GDR,237,0,219
GERP,24,0,27
GK,41,0,27
GLN,337,0,631
GN,22,0,12
GND,276,0,552
GNN,18,0,12
GO,202,0,228
GP,301,0,542
GR,267,0,550
GS,378,0,718
GV,276,0,492
GVC,275,0,492
GVM,276,0,527
GVMW,277,0,507
GW,89,0,67
GZ,296,0,495
HAD,262,0,531
HB,348,0,662
HBZM,279,0,562
HD,167,0,94
HDB,170,0,101
HDE,146,0,94
HDG,66,0,50
HDR,320,0,616
HDRZ,319,0,616
HFD,254,0,360
HGL,187,0,176
HGLG,189,0,195
HGLO,189,0,195
HGV,80,0,80
HGZ,37,0,50
HIL,269,0,571
HK,265,0,554
HKS,292,0,571
HLG,102,0,68
HLGH,103,0,72
HLM,258,0,494
HLMS,257,0,515
HLO,273,0,521
HM,308,0,542
HMBH,309,0,546
HMBV,305,0,542
HMH,307,0,542
HMN,229,0,444
HN,282,0,515
HNK,283,0,571
HNO,140,0,94
HNP,118,0,70
HON,178,0,170
HOR,216,0,335
HR,105,0,67
HRL,352,0,631
HRLW,354,0,648
HRN,28,0,27
HRT,293,0,546
HT,263,0,407
HTN,223,0,407
HTNC,224,0,435
HTO,264,0,480
HVL,200,0,334
HVS,210,0,334
HVSM,211,0,335
HVSP,211,0,335
HWD,285,0,597
HWZB,250,0,515
HZE,306,0,548
IJT,101,0,68
KBD,360,0,718
KBK,183,0,130
KLP,228,0,452
KMA,257,0,528
KMR,360,0,648
KMW,123,0,75
KPN,143,0,94
KPNZ,143,0,94
KRD,360,0,659
KRG,367,0,718
KTR,236,0,444
KW,34,0,48
KZ,251,0,518
LAA,276,0,521
LC,192,0,170
LDL,264,0,425
LDM,255,0,532
LEDN,265,0,432
LEER,95,0,27
LG,355,0,648
LLS,185,0,94
LLZM,260,0,492
LP,4,0,0
LTN,220,0,351
LTV,210,0,172
LUT,337,0,631
LW,76,0,50
LWC,73,0,60
MAS,222,0,407
MDB,397,0,718
MES,360,0,633
MG,86,0,67
MMLH,233,0,451
MP,100,0,80
MRB,162,0,101
MRN,235,0,439
MT,354,0,631
MTH,35,0,50
MTN,357,0,633
MTR,355,0,633
MZ,316,0,553
NDB,216,0,335
NH,345,0,662
NKK,183,0,97
NM,223,0,430
NMD,228,0,451
NMGO,226,0,451
NMH,226,0,451
NML,222,0,444
NS,155,0,94
NSCH,70,0,57
NVD,160,0,94
NVP,259,0,488
NWK,256,0,492
O,247,0,451
OBD,291,0,607
ODB,321,0,687
ODZ,198,0,195
OMN,151,0,101
OP,232,0,444
OST,149,0,94
OT,284,0,523
OTB,208,0,430
OVN,260,0,531
OW,248,0,472
PMO,264,0,516
PMR,263,0,515
PMW,262,0,518
PT,176,0,111
RAI,237,0,239
RAT,146,0,94
RB,357,0,718
RD,38,0,27
RH,194,0,173
RHN,258,0,442
RL,197,0,172
RLB,278,0,571
RM,308,0,580
RS,259,0,472
RSD,328,0,682
RSN,176,0,106
RSW,279,0,507
RTA,261,0,492
RTB,272,0,562
RTD,271,0,492
RTN,266,0,494
RTST,276,0,571
RTZ,275,0,571
RV,297,0,566
RVS,239,0,430
SBK,340,0,661
SD,207,0,348
SDA,53,0,48
SDM,275,0,562
SDT,280,0,562
SDTB,283,0,563
SGL,364,0,647
SGN,299,0,607
SHL,249,0,310
SK,98,0,67
SKND,97,0,67
SM,303,0,580
SN,342,0,662
SOG,362,0,648
SPTN,265,0,549
SPTZ,263,0,549
SRN,326,0,658
SSH,270,0,488
ST,208,0,348
STD,333,0,629
STV,127,0,52
STZ,209,0,338
SWD,11,0,11
SWK,114,0,130
TB,285,0,480
TBG,238,0,219
TBR,290,0,493
TBU,286,0,493
TG,290,0,547
TL,248,0,447
TPSW,250,0,447
TWL,164,0,170
UHM,35,0,27
UHZ,32,0,27
UST,27,0,26
UT,215,0,334
UTG,262,0,547
UTLN,219,0,407
UTLR,218,0,407
UTM,223,0,407
UTO,212,0,358
UTT,220,0,407
UTVR,216,0,407
UTZL,217,0,407
VB,272,0,492
VD,187,0,170
VDL,356,0,648
VDM,53,0,55
VEM,179,0,170
VG,267,0,480
VH,273,0,442
VHP,168,0,104
VK,365,0,648
VL,285,0,546
VLB,255,0,493
VNDC,250,0,441
VNDW,249,0,441
VP,198,0,176
VRY,262,0,494
VS,403,0,720
VSS,402,0,720
VST,270,0,527
VSV,241,0,203
VTN,222,0,412
VZ,175,0,105
WAD,255,0,492
WADN,256,0,492
WADT,254,0,492
WC,232,0,430
WD,231,0,334
WDN,168,0,106
WF,212,0,430
WFM,24,0,26
WH,142,0,94
WK,114,0,47
WL,227,0,202
WM,255,0,512
WP,225,0,346
WR,80,0,66
WS,58,0,57
WSM,16,0,12
WT,323,0,542
WTV,207,0,179
WV,116,0,44
WW,220,0,184
WWW,219,0,184
WZ,137,0,94
YPB,268,0,492
ZA,226,0,444
ZB,45,0,51
ZBM,250,0,531
ZD,249,0,509
ZDK,252,0,512
ZH,34,0,27
ZL,128,0,80
ZLSH,133,0,94
ZLW,305,0,682
ZP,175,0,170
ZTM,263,0,492
ZTMO,262,0,492
ZV,216,0,182
ZVB,313,0,687
ZVT,266,0,526
ZWD,289,0,676
ZZS,252,0,512
