Station Code,Distance from STV,Services from/to STV,Disruptions on path to STV
AC,257,0.0,371
AH,222,0.0,118
AHP,221,0.0,122
AHPR,219,0.0,121
AHZ,230,0.0,375
AKL,280,0.0,382
AKM,69,0.0,27
ALM,227,0.0,50
ALMB,221,0.0,50
ALMM,228,0.0,181
ALMO,219,0.0,39
ALMP,225,0.0,55
AMF,212,0.0,25
AMFS,209,0.0,39
AML,191,0.0,60
AMPO,230,0.0,182
AMR,296,0.0,324
AMRI,193,0.0,130
AMRN,297,0.0,399
ANA,326,0.0,410
APD,192,0.0,39
APDM,193,0.0,74
APDO,189,0.0,115
APG,139,0.0,52
APN,268,0.0,275
ARN,411,0.0,535
ASA,254,0.0,43
ASB,254,0.0,43
ASD,257,0.0,39
ASDL,264,0.0,297
ASDM,253,0.0,265
ASDZ,256,0.0,40
ASHD,255,0.0,57
ASN,133,0.0,40
ASS,261,0.0,297
ASSP,252,0.0,58
ATN,250,0.0,129
AVAT,206,0.0,45
BD,324,0.0,424
BDE,366,0.0,576
BDG,260,0.0,266
BDM,120,0.0,41
BDPB,329,0.0,747
BET,303,0.0,338
BF,124,0.0,41
BGN,359,0.0,534
BHDV,291,0.0,402
BHV,224,0.0,269
BK,359,0.0,577
BKF,315,0.0,382
BKG,314,0.0,378
BKL,245,0.0,338
BL,149,0.0,93
BLL,279,0.0,334
BMN,200,0.0,115
BMR,266,0.0,410
BN,200,0.0,130
BNC,231,0.0,266
BNK,241,0.0,338
BNN,228,0.0,265
BNZ,233,0.0,282
BP,75,0.0,25
BR,301,0.0,439
BRD,300,0.0,499
BRN,221,0.0,265
BSD,266,0.0,381
BSK,274,0.0,356
BSKS,275,0.0,379
BSMZ,233,0.0,40
BTL,293,0.0,411
BV,286,0.0,318
BZL,391,0.0,565
CAS,284,0.0,321
CK,256,0.0,407
CL,251,0.0,366
CO,201,0.0,59
CPS,278,0.0,423
CVM,376,0.0,594
DA,188,0.0,49
DB,245,0.0,338
DDN,210,0.0,149
DDR,308,0.0,413
DDRS,305,0.0,413
DDZD,309,0.0,530
DEI,55,0.0,25
DID,239,0.0,127
DL,158,0.0,39
DLD,221,0.0,265
DLN,205,0.0,73
DMN,250,0.0,57
DMNZ,250,0.0,40
DN,329,0.0,491
DR,206,0.0,115
DRH,284,0.0,335
DRON,178,0.0,39
DRP,62,0.0,39
DT,302,0.0,438
DTC,250,0.0,147
DTCH,248,0.0,147
DTCP,302,0.0,493
DV,177,0.0,49
DVC,181,0.0,115
DVD,252,0.0,40
DVN,229,0.0,124
DVNK,286,0.0,373
DWE,68,0.0,25
DZ,143,0.0,70
DZW,142,0.0,70
EC,339,0.0,574
ED,239,0.0,375
EDC,241,0.0,397
EDN,381,0.0,578
EEM,150,0.0,69
EGH,375,0.0,593
EGHM,376,0.0,593
EHS,312,0.0,414
EHV,313,0.0,414
EKZ,318,0.0,390
EML,189,0.0,42
EMN,221,0.0,74
EMNZ,217,0.0,73
ES,213,0.0,149
ESK,209,0.0,149
EST,233,0.0,375
ETN,335,0.0,747
FN,68,0.0,25
FWD,65,0.0,25
GBG,194,0.0,59
GD,265,0.0,338
GDG,262,0.0,338
GDM,259,0.0,338
GDR,255,0.0,164
GERP,107,0.0,40
GK,86,0.0,48
GLN,355,0.0,576
GN,105,0.0,25
GND,294,0.0,402
GNN,109,0.0,40
GO,220,0.0,182
GP,319,0.0,476
GR,285,0.0,400
GS,396,0.0,535
GV,294,0.0,423
