Station Code,distance_SWK,services_per_day_SWK,n_of_disruptions_SWK
AC,153,0,413
AH,118,0,143
AHP,117,0,147
AHPR,115,0,146
AHZ,126,0,400
AKL,176,0,502
AKM,35,29.64516129032258,0
ALM,123,17.70967741935484,75
ALMB,117,0,75
ALMM,124,0,206
ALMO,115,0.03225806451612903,64
ALMP,121,0,80
AMF,108,17.29032258064516,64
AMFS,105,0,64
AML,87,0,76
AMPO,126,0,207
AMR,192,0,491
AMRI,89,0,146
AMRN,193,0,566
ANA,222,0,577
APD,88,0,64
APDM,89,0,99
APDO,85,0,140
APG,126,0,130
APN,164,0,314
ARN,307,0,688
ASA,150,0,209
ASB,150,0,209
ASD,153,1.096774193548387,206
ASDL,160,0,485
ASDM,149,0,323
ASDZ,152,16.548387096774192,206
ASHD,151,0,223
ASN,64,0,50
ASS,157,0,464
ASSP,148,0,323
ATN,146,0,154
AVAT,102,0,70
BD,220,0,463
BDE,262,0,602
BDG,156,0,305
BDM,107,0,119
BDPB,225,0,786
BET,199,0,493
BF,111,0,119
BGN,255,0,657
BHDV,187,0,522
BHV,120,0,308
BK,255,0,602
BKF,211,0,549
BKG,210,0,545
BKL,141,0,380
BL,48,0,55
BLL,175,0,501
BMN,96,0,140
BMR,162,0,435
BN,96,0,146
BNC,127,0,305
BNK,137,0,377
BNN,124,0,304
BNZ,129,0,321
BP,77,0,19
BR,197,0,464
BRD,196,0,547
BRN,117,0,304
BSD,162,0,501
BSK,170,0,395
BSKS,171,0,418
BSMZ,129,0,305
BTL,189,0,450
BV,182,0,524
BZL,287,0,688
CAS,180,0,488
CK,152,0,432
CL,147,0,405
CO,97,0,84
CPS,174,0,462
CVM,272,0,619
DA,84,0,74
DB,141,0,377
DDN,106,0,165
DDR,204,0,535
DDRS,201,0,533
DDZD,205,0,652
DEI,57,0,19
DID,135,0,152
DL,54,0,64
DLD,117,0,304
DLN,101,0,98
DMN,146,0,322
DMNZ,146,0,322
DN,225,0,516
DR,102,0,140
DRH,180,0,520
DRON,74,0.7096774193548387,64
DRP,64,0,33
DT,198,0,477
DTC,146,0,172
DTCH,144,0,172
DTCP,198,0,532
DV,73,0,74
DVC,77,0,140
DVD,148,0,206
DVN,125,0,149
DVNK,182,0,412
DWE,70,0,19
DZ,130,0,148
DZW,129,0,148
EC,235,0,599
ED,135,0,400
EDC,137,0,422
EDN,277,0,603
EEM,137,0,147
EGH,271,0,618
EGHM,272,0,618
EHS,208,0,569
EHV,209,0,450
EKZ,214,0,557
EML,85,0,67
EMN,117,0,99
EMNZ,113,0,98
ES,109,0,165
ESK,105,0,165
EST,129,0,400
ETN,231,0,786
FN,70,0,19
FWD,67,0,19
GBG,90,0,84
GD,161,15.483870967741936,377
GDG,158,0,305
GDM,155,0,458
GDR,151,0,189
GERP,90,0,103
GK,88,0,42
