station,distance,services_per_day,n_of_disruptions
AC,94,0,182
AH,84,0,115
AHP,85,0,372
AHPR,87,0,374
AHZ,76,0,129
AKL,65,0,117
AKM,234,0,450
ALM,119,0,159
ALMB,125,0,290
ALMM,118,0,158
ALMO,127,0,290
ALMP,121,0,290
AMF,91,0,146
AMFS,94,0,386
AML,168,0,441
AMPO,116,0,158
AMR,148,0,431
AMRI,170,0,511
AMRN,149,0,506
ANA,178,0,517
APD,131,0,375
APDM,130,0,376
APDO,134,0,410
APG,297,0,480
APN,105,0,156
ARN,110,0,359
ASA,103,0,146
ASB,99,0,146
ASD,109,0,146
ASDL,116,0,425
ASDM,105,0,183
ASDZ,105,0,149
ASHD,100,0,160
ASN,235,0,400
ASS,113,0,404
ASSP,106,0,197
ATN,136,0,409
AVAT,97,0,392
BD,21,0,0
BDE,129,0,114
BDG,97,0,147
BDM,278,0,469
BDPB,26,0,323
BET,27,0,43
BF,282,0,469
BGN,58,0,328
BHDV,68,0,453
BHV,79,0,146
BK,122,0,114
BKF,167,0,489
BKG,166,0,485
BKL,82,0,149
BL,219,0,405
BLL,131,0,441
BMN,106,0,375
BMR,90,0,129
BN,163,0,442
BNC,110,0,387
BNK,76,0,197
BNN,107,0,386
BNZ,112,0,403
BP,276,0,417
BR,87,0,94
BRD,60,0,440
BRN,94,0,170
BSD,51,0,116
BSK,107,0,478
BSKS,106,0,478
BSMZ,93,0,147
BTL,17,0,0
BV,138,0,464
BZL,90,0,359
CAS,136,0,428
CK,80,0,126
CL,52,0,116
CO,208,0,528
CPS,82,0,395
CVM,139,0,131
DA,179,0,511
DB,80,0,241
DDN,153,0,390
DDR,51,0,323
DDRS,54,0,440
DDZD,50,0,346
DEI,256,0,417
DID,103,0,372
DL,169,0,400
DLD,82,0,166
DLN,212,0,542
DMN,108,0,197
DMNZ,103,0,149
DN,59,0,66
DR,100,0,372
DRH,136,0,460
DRON,168,0,304
DRP,263,0,431
DT,85,0,393
DTC,114,0,392
DTCH,112,0,392
DTCP,84,0,393
DV,129,0,375
DVC,133,0,441
DVD,101,0,146
DVN,93,0,374
DVNK,106,0,512
DWE,269,0,417
DZ,301,0,498
DZW,300,0,498
EC,102,0,111
ED,101,0,372
EDC,103,0,394
EDN,144,0,115
EEM,308,0,497
EGH,138,0,130
EGHM,139,0,130
EHS,36,0,119
EHV,37,0,0
EKZ,170,0,497
EML,114,0,389
EMN,228,0,543
EMNZ,224,0,542
ES,166,0,442
ESE,172,0,471
ESK,162,0,442
EST,73,0,115
ETN,32,0,323
FN,269,0,417
FWD,266,0,417
GBG,201,0,528
GBR,175,0,471
GD,95,0,393
GDG,98,0,478
GDM,44,0,73
GDR,119,0,409
GERP,261,0,453
GK,282,0,468
GLN,118,0,113
GN,263,0,453
GND,65,0,443
GNN,267,0,468
GO,143,0,382
GP,43,0,62
GR,70,0,135
GS,95,0,359
GV,93,0,494
GVC,94,0,509
GVM,98,0,509
GVMW,92,0,494
GW,239,0,407
GZ,11,0,2
HAD,132,0,441
HB,129,0,144
HBZM,62,0,443
HD,118,0,389
HDB,195,0,515
HDE,139,0,386
HDG,262,0,417
HDR,190,0,526
HDRZ,189,0,526
HFD,121,0,210
HGL,158,0,423
HGLG,156,0,423
HGLO,160,0,442
HGV,205,0,400
HGZ,274,0,476
HIL,127,0,519
HK,135,0,464
HKS,162,0,481
HLG,278,0,418
HLGH,279,0,422
HLM,128,0,404
HLMS,127,0,425
HLO,143,0,431
HM,50,0,62
HMBH,51,0,66
HMBV,47,0,62
HMH,49,0,62
HMN,75,0,119
HN,152,0,425
HNK,153,0,481
HNO,169,0,400
HNP,294,0,420
HON,148,0,441
HOR,82,0,146
HR,223,0,400
HRL,133,0,113
HRLW,135,0,130
HRN,257,0,453
HRT,77,0,94
HT,22,0,0
HTN,62,0,169
