Station Code,Distance from TG,Services from/to TG,Disruptions on path to TG
AC,161,0.0,107
AH,86,0.0,117
AHP,87,0.0,374
AHPR,89,0.0,374
AHZ,78,0.0,131
AKL,132,0.0,118
AKM,239,0.0,517
ALM,184,0.0,410
ALMB,190,0.0,541
ALMM,183,0.0,409
ALMO,192,0.0,541
ALMP,186,0.0,541
AMF,137,0.0,157
AMFS,140,0.0,397
AML,170,0.0,443
AMPO,181,0.0,409
AMR,215,0.0,432
AMRI,172,0.0,513
AMRN,216,0.0,507
ANA,245,0.0,518
APD,133,0.0,377
APDM,132,0.0,378
APDO,136,0.0,412
APG,302,0.0,547
APN,172,0.0,157
ARN,204,0.0,391
ASA,170,0.0,147
ASB,166,0.0,147
ASD,176,0.0,147
ASDL,183,0.0,405
ASDM,172,0.0,184
ASDZ,172,0.0,161
ASHD,165,0.0,234
ASN,240,0.0,467
ASS,180,0.0,405
ASSP,173,0.0,198
ATN,138,0.0,411
AVAT,143,0.0,403
BD,115,0.0,63
BDE,58,0.0,65
BDG,164,0.0,148
BDM,283,0.0,536
BDPB,120,0.0,386
BET,67,0.0,63
BF,287,0.0,536
BGN,152,0.0,391
BHDV,143,0.0,138
BHV,146,0.0,147
BK,51,0.0,66
BKF,234,0.0,490
BKG,233,0.0,486
BKL,149,0.0,74
BL,224,0.0,467
BLL,198,0.0,442
BMN,108,0.0,377
BMR,42,35.32258064516129,54
BN,165,0.0,444
BNC,118,0.0,140
BNK,136,0.0,171
BNN,121,0.0,156
BNZ,116,0.0,140
BP,281,0.0,484
BR,7,35.32258064516129,1
BRD,154,0.0,503
BRN,146,0.0,397
BSD,118,0.0,117
BSK,178,0.0,238
BSKS,179,0.0,261
BSMZ,158,0.0,398
BTL,77,0.0,63
BV,205,0.0,426
BZL,184,0.0,422
CAS,203,0.0,429
CK,52,35.32258064516129,82
CL,119,0.0,117
CO,210,0.0,530
CPS,176,0.0,458
CVM,68,0.0,83
DA,181,0.0,513
DB,132,0.0,139
DDN,155,0.0,392
DDR,145,0.0,386
DDRS,148,0.0,503
DDZD,144,0.0,409
DEI,261,0.0,484
DID,105,0.0,374
DL,174,0.0,467
DLD,146,0.0,397
DLN,214,0.0,544
DMN,175,0.0,198
DMNZ,170,0.0,150
DN,35,0.0,1
DR,102,0.0,374
DRH,203,0.0,443
DRON,194,0.0,467
DRP,268,0.0,498
DT,179,0.0,503
DTC,116,0.0,394
DTCH,114,0.0,394
DTCP,178,0.0,456
DV,131,0.0,377
DVC,135,0.0,443
