Station Code,Distance from TL,Services from/to TL,Disruptions on path to TL
AC,62,0.0,149
AH,44,28.032258064516128,17
AHP,45,0.0,274
AHPR,47,0.0,274
AHZ,36,0.0,17
AKL,33,0.0,44
AKM,197,0.0,417
ALM,87,0.0,129
ALMB,93,0.0,260
ALMM,86,0.0,128
ALMO,95,0.0,260
ALMP,89,0.0,260
AMF,59,0.0,116
AMFS,62,0.0,356
AML,128,0.0,343
AMPO,84,0.0,128
AMR,116,0.0,401
AMRI,130,0.0,413
AMRN,117,0.0,476
ANA,146,0.0,487
APD,91,0.0,277
APDM,90,0.0,278
APDO,94,0.0,312
APG,260,0.0,447
APN,73,0.0,126
ARN,164,0.0,197
ASA,71,0.0,116
ASB,67,0.0,43
ASD,77,0.0,116
ASDL,84,0.0,374
ASDM,73,0.0,153
ASDZ,73,0.0,57
ASHD,66,0.0,276
ASN,198,0.0,367
ASS,81,0.0,374
ASSP,74,0.0,167
ATN,96,0.0,311
AVAT,65,0.0,362
BD,77,0.0,129
BDE,158,0.0,210
BDG,65,0.0,117
BDM,241,0.0,436
BDPB,82,0.0,452
BET,56,0.0,116
BF,245,0.0,436
BGN,112,0.0,196
BHDV,44,0.0,64
BHV,47,0.0,116
BK,151,0.0,211
BKF,135,0.0,459
BKG,134,0.0,455
BKL,50,0.0,116
BL,182,0.0,367
BLL,99,0.0,411
BMN,66,0.0,277
BMR,66,0.0,52
BN,123,0.0,344
BNC,76,0.0,297
BNK,44,0.0,124
BNN,75,0.0,356
BNZ,74,0.0,297
BP,239,0.0,384
BR,101,0.0,81
BRD,70,0.0,192
BRN,62,0.0,140
BSD,19,0.0,43
BSK,79,0.0,207
BSKS,80,0.0,230
BSMZ,61,0.0,117
BTL,46,0.0,116
BV,106,0.0,395
BZL,144,0.0,227
CAS,104,0.0,398
CK,56,0.0,49
CL,20,36.64516129032258,43
CO,168,0.0,430
CPS,83,0.0,201
CVM,168,0.0,228
DA,139,0.0,413
DB,48,0.0,168
DDN,113,0.0,292
DDR,61,0.0,75
DDRS,58,0.0,75
DDZD,62,0.0,192
DEI,219,0.0,384
DID,63,0.0,274
DL,132,0.0,367
DLD,50,0.0,136
DLN,172,0.0,444
DMN,76,0.0,167
DMNZ,71,0.0,119
DN,88,0.0,163
DR,60,0.0,274
DRH,104,0.0,412
DRON,136,0.0,274
DRP,226,0.0,398
DT,95,0.0,192
DTC,74,0.0,294
DTCH,72,0.0,294
DTCP,94,0.0,262
DV,89,0.0,277
DVC,93,0.0,343
DVD,69,0.0,116
DVN,53,0.0,276
DVNK,91,0.0,224
DWE,232,0.0,384
DZ,264,0.0,465
DZW,263,0.0,465
EC,131,0.0,208
ED,61,0.0,274
EDC,63,0.0,296
EDN,173,0.0,212
EEM,271,0.0,464
EGH,167,0.0,227
EGHM,168,0.0,227
EHS,65,0.0,192
EHV,66,0.0,116
EKZ,138,0.0,467
EML,82,0.0,356
EMN,188,0.0,445
EMNZ,184,0.0,444
ES,126,0.0,344
ESK,122,0.0,344
EST,33,28.032258064516128,3
ETN,88,0.0,452
FN,232,0.0,384
FWD,229,0.0,384
GBG,161,0.0,430
GD,70,34.41935483870968,116
GDG,67,34.41935483870968,116
GDM,12,36.64516129032258,0
GDR,79,0.0,311
GERP,224,0.0,420
GK,245,0.0,435
GLN,147,0.0,210
GN,226,0.0,420
GND,47,0.0,64
GNN,230,0.0,435
GO,103,0.0,284
GP,72,0.0,178
GR,38,0.0,62
GS,149,0.0,197
GV,99,0.0,201
GVC,98,34.41935483870968,119
GVM,99,0.0,309
GVMW,100,0.0,216
GW,202,0.0,424
GZ,67,0.0,131
HAD,100,0.0,395
HB,158,0.0,241
HBZM,50,0.0,74
HD,86,0.0,359
HDB,155,0.0,417
HDE,107,0.0,356
HDG,225,0.0,384
HDR,158,0.0,496
HDRZ,157,0.0,496
HFD,89,0.0,131
HGL,118,0.0,325
HGLG,116,0.0,325
HGLO,120,0.0,344
HGV,168,0.0,367
HGZ,237,0.0,443
HIL,106,0.0,224
HK,103,0.0,434
HKS,130,0.0,451
HLG,241,0.0,385
HLGH,242,0.0,389
HLM,96,0.0,374
HLMS,95,0.0,395
HLO,111,0.0,401
HM,79,0.0,159
HMBH,80,0.0,163
HMBV,76,0.0,178
HMH,78,0.0,178
HMN,19,28.032258064516128,3
HN,120,0.0,395
HNK,121,0.0,451
HNO,132,0.0,367
HNP,257,0.0,387
HON,108,0.0,277
HOR,50,0.0,116
HR,186,0.0,424
HRL,162,0.0,210
HRLW,164,0.0,227
HRN,220,0.0,420
HRT,106,0.0,191
HT,34,0.0,43
HTN,30,36.64516129032258,96
HTNC,29,36.64516129032258,96
HTO,35,0.0,116
HVL,65,0.0,356
HVS,56,0.0,116
HVSM,57,0.0,117
HVSP,55,0.0,116
HWD,123,0.0,477
HWZB,88,0.0,395
HZE,77,0.0,184
IJT,240,0.0,385
KBD,131,0.0,197
KBK,82,0.0,277
KLP,68,0.0,296
KMA,95,0.0,408
KMR,170,0.0,227
KMW,262,0.0,392
KPN,135,0.0,367
KPNZ,135,0.0,367
KRD,170,0.0,238
KRG,138,0.0,197
KTR,12,28.032258064516128,0
KW,234,0.0,441
KZ,89,0.0,398
LAA,99,0.0,148
LC,90,0.0,277
LDL,87,0.0,207
LDM,26,0.0,44
LEDN,88,0.0,214
LG,165,0.0,227
LLS,111,0.0,260
LLZM,83,34.41935483870968,201
LP,252,0.0,447
LTN,69,0.0,297
LTV,108,0.0,279
LUT,147,0.0,210
LW,215,0.0,367
LWC,218,0.0,384
MAS,45,0.0,116
MDB,168,0.0,224
MES,170,0.0,212
MG,225,0.0,384
MMLH,51,0.0,38
MP,148,0.0,367
MRB,147,0.0,414
MRN,56,0.0,200
MT,164,0.0,210
MTH,235,0.0,443
MTN,167,0.0,212
MTR,165,0.0,212
MZ,87,0.0,189
NDB,62,0.0,117
NH,155,0.0,241
NKK,70,0.0,356
NM,41,0.0,17
NMD,46,0.0,38
NMGO,44,0.0,38
NMH,44,0.0,38
NML,40,0.0,17
NS,98,0.0,356
NSCH,270,0.0,450
NVD,131,0.0,284
NVP,94,0.0,259
NWK,79,0.0,201
O,53,0.0,116
OBD,129,0.0,395
ODB,92,0.0,197
ODZ,129,0.0,344
OMN,143,0.0,374
OP,16,28.032258064516128,3
OST,99,0.0,343
OT,55,0.0,159
OTB,48,0.0,274
OVN,98,0.0,411
OW,52,0.0,116
PMO,102,0.0,374
PMR,101,0.0,395
PMW,100,0.0,398
PT,77,0.0,356
RAI,72,0.0,119
RAT,138,0.0,367
RB,128,0.0,197
RD,264,0.0,451
RH,54,0.0,275
RHN,79,0.0,203
RL,95,0.0,279
RLB,74,0.0,291
RM,118,0.0,159
RS,41,0.0,116
RSD,99,0.0,192
RSN,115,0.0,277
RSW,100,0.0,293
RTA,84,0.0,201
RTB,80,0.0,192
RTD,81,0.0,192
RTN,86,0.0,262
RTST,76,0.0,192
RTZ,77,0.0,192
RV,115,0.0,153
RVS,57,0.0,38
SBK,150,0.0,240
SD,58,0.0,140
SDA,253,0.0,441
SDM,85,0.0,262
SDT,51,0.0,74
SDTB,54,0.0,75
SGL,174,0.0,226
SGN,137,0.0,487
SHL,84,0.0,57
SK,237,0.0,384
SKND,236,0.0,384
SM,121,0.0,167
SN,152,0.0,241
SOG,172,0.0,227
SPTN,103,0.0,411
SPTZ,101,0.0,411
SRN,136,0.0,237
SSH,96,0.0,224
ST,57,0.0,140
STD,143,0.0,208
STM,248,0.0,447
STV,266,0.0,392
STZ,56,0.0,140
SWD,237,0.0,435
SWK,162,0.0,417
TB,56,0.0,116
TBG,80,0.0,311
TBR,61,0.0,129
TBU,57,0.0,129
TG,108,0.0,134
TL,0,0.0,0
TPSW,2,36.64516129032258,0
TWL,94,0.0,343
UHM,261,0.0,451
UHZ,258,0.0,451
UST,253,0.0,450
UT,38,36.64516129032258,43
UTG,100,0.0,433
UTLN,34,36.64516129032258,124
UTLR,41,34.41935483870968,116
UTO,41,0.0,116
UTT,43,34.41935483870968,116
UTVR,37,36.64516129032258,124
UTZL,40,0.0,116
VB,95,34.41935483870968,201
VD,85,0.0,277
VDL,166,0.0,227
VDM,253,0.0,448
VEM,77,0.0,277
VG,38,0.0,116
VH,96,0.0,224
VHP,141,0.0,414
VK,175,0.0,227
VL,103,0.0,133
VLB,73,0.0,80
VNDC,71,0.0,202
VNDW,70,0.0,202
VP,50,0.0,275
VRY,80,0.0,81
VS,174,0.0,224
VSS,173,0.0,197
VST,93,0.0,309
VSV,87,0.0,311
VTN,45,34.41935483870968,121
VZ,134,0.0,413
WAD,78,0.0,201
WADN,79,0.0,201
WADT,77,0.0,201
WC,50,0.0,38
WD,54,34.41935483870968,116
WDN,123,0.0,284
WF,52,0.0,274
WFM,250,0.0,450
WH,106,0.0,353
WK,253,0.0,387
WL,69,0.0,294
WM,93,0.0,398
WP,71,0.0,128
WR,280,0.0,459
WS,258,0.0,450
WSM,242,0.0,436
WT,94,0.0,159
WTV,49,0.0,276
WV,175,0.0,367
WW,108,0.0,330
WWW,109,0.0,330
WZ,116,0.0,369
YPB,91,34.41935483870968,119
ZA,22,28.032258064516128,3
ZB,245,0.0,444
ZBM,21,0.0,43
ZD,87,0.0,395
ZDK,90,0.0,398
ZH,238,0.0,435
ZL,120,0.0,353
ZLSH,125,0.0,367
ZLW,76,0.0,192
ZP,73,0.0,277
ZTM,86,26.451612903225808,116
ZTMO,85,34.41935483870968,201
ZV,58,0.0,274
ZVB,84,0.0,197
ZVT,104,0.0,411
ZWD,63,0.0,192
ZZS,90,0.0,398
