Station Code,Distance from UHZ,Services from/to UHZ,Disruptions on path to UHZ
AC,249,0.0,447
AH,214,0.0,177
AHP,213,0.0,181
AHPR,211,0.0,180
AHZ,222,0.0,434
AKL,272,0.0,536
AKM,104,0.0,73
ALM,219,0.0,109
ALMB,213,0.0,109
ALMM,220,0.0,240
ALMO,211,0.0,98
ALMP,217,0.0,114
AMF,204,0.0,98
AMFS,201,0.0,98
AML,183,0.0,110
AMPO,222,0.0,241
AMR,288,0.0,525
AMRI,185,0.0,180
AMRN,289,0.0,600
ANA,318,0.0,611
APD,184,0.0,98
APDM,185,0.0,133
APDO,181,0.0,174
APG,44,0.0,27
APN,260,0.0,348
ARN,403,0.0,722
ASA,246,0.0,243
ASB,246,0.0,243
ASD,249,0.0,240
ASDL,256,0.0,519
ASDM,245,0.0,357
ASDZ,248,0.0,240
ASHD,247,0.0,257
ASN,60,0.0,31
ASS,253,0.0,498
ASSP,244,0.0,357
ATN,242,0.0,188
AVAT,198,0.0,104
BD,316,0.0,497
BDE,358,0.0,636
BDG,252,0.0,339
BDM,25,0.0,16
BDPB,321,0.0,820
BET,295,0.0,527
BF,13,34.03225806451613,1
BGN,351,0.0,691
BHDV,283,0.0,556
BHV,216,0.0,342
BK,351,0.0,636
BKF,307,0.0,583
BKG,306,0.0,579
BKL,237,0.0,414
BL,76,0.0,84
BLL,271,0.0,535
BMN,192,0.0,174
BMR,258,0.0,469
BN,192,0.0,180
BNC,223,0.0,339
BNK,233,0.0,411
BNN,220,0.0,338
BNZ,225,0.0,355
BP,62,0.0,31
BR,293,0.0,498
BRD,292,0.0,581
BRN,213,0.0,338
BSD,258,0.0,535
BSK,266,0.0,429
BSKS,267,0.0,452
BSMZ,225,0.0,339
BTL,285,0.0,484
BV,278,0.0,558
BZL,383,0.0,722
CAS,276,0.0,522
CK,248,0.0,466
CL,243,0.0,439
CO,193,0.0,118
CPS,270,0.0,496
CVM,368,0.0,653
DA,180,0.0,108
DB,237,0.0,411
DDN,202,0.0,199
DDR,300,0.0,569
DDRS,297,0.0,567
DDZD,301,0.0,686
DEI,90,0.0,71
DID,231,0.0,186
DL,150,0.0,98
DLD,213,0.0,338
DLN,197,0.0,132
DMN,242,0.0,356
DMNZ,242,0.0,356
DN,321,0.0,550
DR,198,0.0,174
DRH,276,0.0,554
DRON,170,0.0,98
DRP,97,0.0,85
DT,294,0.0967741935483871,511
DTC,242,0.0,206
DTCH,240,0.0,206
DTCP,294,0.0,566
DV,169,0.0,108
DVC,173,0.0,174
DVD,244,0.0,240
DVN,221,0.0,183
DVNK,278,0.0,446
DWE,69,0.0,54
DZ,48,0.0,45
DZW,47,0.0,45
EC,331,0.0,633
ED,231,0.0,434
EDC,233,0.0,456
EDN,373,0.0,637
EEM,13,4.709677419354839,13
EGH,367,0.0,652
EGHM,368,0.0,652
EHS,304,0.0,603
EHV,305,0.0,484
EKZ,310,0.0,591
EML,181,0.0,101
EMN,213,0.0,133
EMNZ,209,0.0,132
ES,205,0.0,199
ESK,201,0.0,199
EST,225,0.0,434
ETN,327,0.0,820
FN,103,0.0,71
FWD,72,0.0,54
GBG,186,0.0,118
GD,257,0.0,411
GDG,254,0.0,339
GDM,251,0.0,492
GDR,247,0.0,223
GERP,34,0.0,31
GK,51,0.0,31
GLN,347,0.0,635
GN,32,34.03225806451613,16
GND,286,0.0,556
GNN,28,34.0,16
GO,212,0.0,232
GP,311,0.0,546
GR,277,0.0,554
GS,388,0.0,722
GV,286,0.064516129032258,496
GVC,285,0.064516129032258,496
GVM,286,0.0,531
GVMW,287,0.0967741935483871,511
GW,99,0.0,71
GZ,306,0.0,499
HAD,272,0.0,535
HB,358,0.0,666
HBZM,289,0.0,566
HD,177,0.0,98
HDB,180,0.0,105
HDE,156,0.0,98
HDG,76,0.0,54
HDR,330,0.0,620
HDRZ,329,0.0,620
HFD,264,0.0,364
HGL,197,0.0,180
HGLG,199,0.0,199
HGLO,199,0.0,199
HGV,90,0.0,84
HGZ,47,0.0,54
HIL,279,0.0,575
HK,275,0.0,558
HKS,302,0.0,575
HLG,112,0.0,72
HLGH,113,0.0,76
HLM,268,0.0,498
HLMS,267,0.0,519
HLO,283,0.0,525
HM,318,0.0,546
HMBH,319,0.0,550
HMBV,315,0.0,546
HMH,317,0.0,546
HMN,239,0.0,448
HN,292,0.0,519
HNK,293,0.0,575
HNO,150,0.0,98
HNP,128,0.0,74
HON,188,0.0,174
HOR,226,0.0,339
HR,115,0.0,71
HRL,362,0.0,635
HRLW,364,0.0,652
HRN,38,0.0,31
HRT,303,0.0,550
HT,273,0.0,411
HTN,233,0.0,411
HTNC,234,0.0,439
HTO,274,0.0,484
HVL,210,0.0,338
HVS,220,0.0,338
HVSM,221,0.0,339
HVSP,221,0.0,339
HWD,295,0.0,601
HWZB,260,0.0,519
HZE,316,0.0,552
IJT,111,0.0,72
KBD,370,0.0,722
KBK,193,0.0,134
KLP,238,0.0,456
KMA,267,0.0,532
KMR,370,0.0,652
KMW,133,0.0,79
KPN,153,0.0,98
KPNZ,153,0.0,98
KRD,370,0.0,663
KRG,377,0.0,722
KTR,246,0.0,448
KW,44,0.0,52
KZ,261,0.0,522
LAA,286,0.0,525
LC,202,0.0,174
LDL,274,0.0,429
LDM,265,0.0,536
LEDN,275,0.0,436
LG,365,0.0,652
LLS,195,0.0,98
LLZM,270,0.0,496
LP,36,0.0,27
LTN,230,0.0,355
LTV,220,0.0,176
LUT,347,0.0,635
LW,86,0.0,54
LWC,83,0.0,64
MAS,232,0.0,411
MDB,407,0.0,722
MES,370,0.0,637
MG,96,0.0,71
MMLH,243,0.0,455
MP,110,0.0,84
MRB,172,0.0,105
MRN,245,0.0,443
MT,364,0.0,635
MTH,45,0.0,54
MTN,367,0.0,637
MTR,365,0.0,637
MZ,326,0.0,557
NDB,226,0.0,339
NH,355,0.0,666
NKK,193,0.0,101
NM,233,0.0,434
NMD,238,0.0,455
NMGO,236,0.0,455
