Station Code,Distance from UTO,Services from/to UTO,Disruptions on path to UTO
AC,27,0.0,106
AH,61,0.0,73
AHP,62,0.0,330
AHPR,64,0.0,330
AHZ,69,0.0,330
AKL,50,0.0,117
AKM,161,0.0,304
ALM,46,29.806451612903224,13
ALMB,52,0.0,144
ALMM,45,29.806451612903224,12
ALMO,54,0.0,144
ALMP,48,0.0,144
AMF,18,37.58064516129032,0
AMFS,21,36.67741935483871,240
AML,115,0.0,306
AMPO,43,29.806451612903224,12
AMR,81,0.0,358
AMRI,117,0.0,376
AMRN,82,0.0,433
ANA,111,0.0,444
APD,61,0.0,240
APDM,62,0.0,275
APDO,64,0.0,275
APG,224,0.0,334
APN,38,0.0,83
ARN,181,0.0,270
ASA,36,0.0,73
ASB,32,0.0,73
ASD,42,0.064516129032258,73
ASDL,49,0.0,331
ASDM,38,0.0,110
ASDZ,38,15.064516129032258,87
ASHD,31,0.0,233
ASN,162,0.0,254
ASS,46,0.0,331
ASSP,39,0.0,124
ATN,113,0.0,367
AVAT,24,36.67741935483871,246
BD,94,0.0,159
BDE,175,0.0,262
BDG,30,0.0,74
BDM,205,0.0,323
BDPB,99,0.0,482
BET,73,0.0,73
BF,209,0.0,323
BGN,129,0.0,269
BHDV,61,0.0,137
BHV,6,66.51612903225806,0
BK,168,0.0,263
BKF,100,0.0,416
BKG,99,0.0,412
BKL,15,0.0,73
BL,146,0.0,254
BLL,64,0.0,368
BMN,83,0.0,333
BMR,105,0.0,365
BN,124,0.0,376
BNC,37,0.0,241
BNK,11,0.0,73
BNN,34,0.0,240
BNZ,39,0.0,257
BP,203,0.0,257
BR,133,0.0,243
BRD,70,0.0,234
BRN,21,28.93548387096774,24
BSD,36,0.0,116
BSK,44,0.0,164
BSKS,45,0.0,187
BSMZ,20,15.580645161290322,1
BTL,63,0.0,146
BV,71,0.0,352
BZL,161,0.0,300
CAS,69,0.0,355
CK,95,0.0,362
CL,21,0.0,101
CO,139,0.0,274
CPS,48,0.0,158
CVM,185,0.0,280
DA,126,0.0,376
DB,15,0.0,73
DDN,119,0.0,290
