Station Code,Distance from VDL,Services from/to VDL,Disruptions on path to VDL
AC,204,0.0,312
AH,152,0.0,218
AHP,153,0.0,475
AHPR,155,0.0,477
AHZ,144,0.0,232
AKL,175,0.0,247
AKM,305,0.0,618
ALM,229,0.0,289
ALMB,235,0.0,420
ALMM,228,0.0,288
ALMO,237,0.0,420
ALMP,231,0.0,420
AMF,201,0.0,276
AMFS,204,0.0,516
AML,236,0.0,544
AMPO,226,0.0,288
AMR,258,0.0,561
AMRI,238,0.0,614
AMRN,259,0.0,636
ANA,288,0.0,647
APD,199,0.0,478
APDM,198,0.0,479
APDO,202,0.0,513
APG,368,0.0,648
APN,215,0.0,286
ARN,247,0.0,489
ASA,213,0.0,276
ASB,209,0.0,276
ASD,219,0.0,276
ASDL,226,0.0,555
ASDM,215,0.0,313
ASDZ,215,0.0,279
ASHD,210,0.0,290
ASN,306,0.0,568
ASS,223,0.0,534
ASSP,216,0.0,327
ATN,204,0.0,512
AVAT,207,0.0,522
BD,158,0.0,130
BDE,28,0.0,16
BDG,207,0.0,277
BDM,349,0.0,637
BDPB,163,0.0,453
BET,110,0.0,130
BF,353,0.0,637
BGN,195,0.0,458
BHDV,186,0.0,267
BHV,189,0.0,276
BK,31,0.0,20
BKF,277,0.0,619
BKG,276,0.0,615
BKL,192,0.0,279
BL,290,0.0,573
BLL,241,0.0,571
BMN,174,0.0,478
BMR,108,0.0,155
BN,231,0.0,545
BNC,184,0.0,498
BNK,186,0.0,327
BNN,187,0.0,514
BNZ,182,0.0,498
BP,347,0.0,585
BR,73,0.0,102
BRD,197,0.0,570
BRN,204,0.0,300
BSD,161,0.0,246
BSK,221,0.0,367
BSKS,222,0.0,390
BSMZ,203,0.0,277
BTL,120,0.0,206
BV,248,0.0,594
BZL,227,0.0,489
CAS,246,0.0,558
CK,118,0.0,183
CL,162,0.0,246
CO,276,0.0,631
CPS,219,0.0,525
CVM,10,36.54838709677419,18
DA,247,0.0,614
DB,190,0.0,371
DDN,221,0.0,493
DDR,188,0.0,453
DDRS,191,0.0,570
DDZD,187,0.0,476
DEI,327,0.0,585
DID,171,0.0,475
DL,240,0.0,568
DLD,192,0.0,296
DLN,280,0.0,645
DMN,218,0.0,327
DMNZ,213,0.0,279
DN,101,0.0,154
DR,168,0.0,475
DRH,246,0.0,590
DRON,260,0.0,568
DRP,334,0.0,599
DT,222,0.0,523
DTC,182,0.0,495
DTCH,180,0.0,495
DTCP,221,0.0,523
DV,197,0.0,478
DVC,201,0.0,544
DVD,211,0.0,276
DVN,161,0.0,477
DVNK,233,0.0,384
DWE,340,0.0,585
DZ,372,0.0,666
DZW,371,0.0,666
EC,35,0.0,21
ED,169,0.0,475
EDC,171,0.0,497
EDN,31,0.0,16
EEM,379,0.0,665
EGH,9,36.54838709677419,17
EGHM,10,0.0,17
EHS,101,0.0,130
EHV,100,0.0,68
EKZ,280,0.0,627
EML,224,0.0,519
EMN,296,0.0,646
EMNZ,292,0.0,645
ES,234,0.0,545
ESK,230,0.0,545
EST,141,0.0,218
ETN,169,0.0,453
FN,340,0.0,585
FWD,337,0.0,585
GBG,269,0.0,631
GD,212,0.0,276
GDG,209,0.0,276
GDM,154,0.0,203
GDR,187,0.0,512
GERP,332,0.0,621
GK,353,0.0,636
GLN,19,0.0,18
GN,334,0.0,621
GND,189,0.0,267
GNN,338,0.0,636
GO,211,0.0,485
GP,94,0.0,75
GR,180,0.0,265
GS,232,0.0,489
GV,230,0.0,624
GVC,231,0.0,639
GVM,235,0.0,639
GVMW,229,0.0,624
GW,310,0.0,575
GZ,148,0.0,145
HAD,242,0.0,571
HB,8,0.0,17
HBZM,192,0.0,277
HD,228,0.0,519
HDB,263,0.0,618
HDE,246,0.0,568
HDG,333,0.0,585
HDR,300,0.0,656
HDRZ,299,0.0,656
HFD,231,0.0,340
HGL,226,0.0,526
HGLG,224,0.0,526
HGLO,228,0.0,545
HGV,276,0.0,568
HGZ,345,0.0,644
HIL,248,0.0,384
HK,245,0.0,594
HKS,272,0.0,611
HLG,349,0.0,586
