station,distance,services_per_day,n_of_disruptions
AC,244,0,444
AH,209,0,174
AHP,208,0,178
AHPR,206,0,177
AHZ,217,0,431
AKL,267,0,533
AKM,103,0,85
ALM,214,0,106
ALMB,208,0,106
ALMM,215,0,237
ALMO,206,0,95
ALMP,212,0,111
AMF,199,0,95
AMFS,196,0,95
AML,178,0,107
AMPO,217,0,238
AMR,283,0,522
AMRI,180,0,177
AMRN,284,0,597
ANA,313,0,608
APD,179,0,95
APDM,180,0,130
APDO,176,0,171
APG,65,0,55
APN,255,0,345
ARN,398,0,719
ASA,241,0,240
ASB,241,0,240
ASD,244,0,237
ASDL,251,0,516
ASDM,240,0,354
ASDZ,243,0,237
ASHD,242,0,254
ASN,55,0,28
ASS,248,0,495
ASSP,239,0,354
ATN,237,0,185
AVAT,193,0,101
BD,311,0,494
BDE,353,0,633
BDG,247,0,336
BDM,46,0,44
BDPB,316,0,817
BET,290,0,524
BF,50,0,44
BGN,346,0,688
BHDV,278,0,553
BHV,211,0,339
BK,346,0,633
BKF,302,0,580
BKG,301,0,576
BKL,232,0,411
BL,71,0,81
BLL,266,0,532
BMN,187,0,171
BMR,253,0,466
BN,187,0,177
BNC,218,0,336
BNK,228,0,408
BNN,215,0,335
BNZ,220,0,352
BP,61,0,43
BR,288,0,495
BRD,287,0,578
BRN,208,0,335
BSD,253,0,532
BSK,261,0,426
BSKS,262,0,449
BSMZ,220,0,336
BTL,280,0,481
BV,273,0,555
BZL,378,0,719
CAS,271,0,519
CK,243,0,463
CL,238,0,436
CO,188,0,115
CPS,265,0,493
CVM,363,0,650
DA,175,0,105
DB,232,0,408
DDN,197,0,196
DDR,295,0,566
DDRS,292,0,564
DDZD,296,0,683
DEI,89,0,83
DID,226,0,183
DL,145,0,95
DLD,208,0,335
DLN,192,0,129
DMN,237,0,353
DMNZ,237,0,353
DN,316,0,547
DR,193,0,171
DRH,271,0,551
DRON,165,0,95
DRP,96,0,97
DT,289,0,508
DTC,237,0,203
DTCH,235,0,203
DTCP,289,0,563
DV,164,0,105
DVC,168,0,171
DVD,239,0,237
DVN,216,0,180
DVNK,273,0,443
DWE,68,0,66
DZ,69,0,73
DZW,68,0,73
EC,326,0,630
ED,226,0,431
EDC,228,0,453
EDN,368,0,634
EEM,76,0,72
EGH,362,0,649
EGHM,363,0,649
EHS,299,0,600
EHV,300,0,481
EKZ,305,0,588
EML,176,0,98
EMN,208,0,130
EMNZ,204,0,129
ES,200,0,196
ESE,206,0,225
ESK,196,0,196
EST,220,0,431
ETN,322,0,817
FN,102,0,83
FWD,71,0,66
GBG,181,0,115
GBR,209,0,225
GD,252,0,408
GDG,249,0,336
GDM,246,0,489
GDR,242,0,220
GERP,29,0,7
GK,50,0,43
GLN,342,0,632
GN,31,0,28
GND,281,0,553
GNN,35,0,43
GO,207,0,229
GP,306,0,543
GR,272,0,551
GS,383,0,719
GV,281,0,493
GVC,280,0,493
GVM,281,0,528
GVMW,282,0,508
GW,98,0,83
GZ,301,0,496
HAD,267,0,532
HB,353,0,663
HBZM,284,0,563
HD,172,0,95
HDB,175,0,102
HDE,151,0,95
HDG,75,0,66
HDR,325,0,617
HDRZ,324,0,617
HFD,259,0,361
HGL,192,0,177
HGLG,194,0,196
HGLO,194,0,196
HGV,85,0,81
HGZ,16,0,4
HIL,274,0,572
HK,270,0,555
HKS,297,0,572
HLG,111,0,84
HLGH,112,0,88
HLM,263,0,495
HLMS,262,0,516
HLO,278,0,522
HM,313,0,543
HMBH,314,0,547
HMBV,310,0,543
HMH,312,0,543
HMN,234,0,445
HN,287,0,516
HNK,288,0,572
HNO,145,0,95
HNP,127,0,86
HON,183,0,171
HOR,221,0,336
HR,114,0,83
HRL,357,0,632
HRLW,359,0,649
HRN,33,0,28
HRT,298,0,547
HT,268,0,408
HTN,228,0,408
HTNC,229,0,436
HTO,269,0,481
HVL,205,0,335
HVS,215,0,335
HVSM,216,0,336
HVSP,216,0,336
HWD,290,0,598
HWZB,255,0,516
HZE,311,0,549
IJT,110,0,84
KBD,365,0,719
KBK,188,0,131
KLP,233,0,453
KMA,262,0,529
KMR,365,0,649
KMW,132,0,91
KPN,148,0,95
KPNZ,148,0,95
KRD,365,0,660
KRG,372,0,719
KTR,241,0,445
KW,19,0,5
KZ,256,0,519
LAA,281,0,522
LC,197,0,171
LDL,269,0,426
LDM,260,0,533
LEDN,270,0,433
LEER,58,0,22
LG,360,0,649
LLS,190,0,95
LLZM,265,0,493
LP,57,0,55
LTN,225,0,352
LTV,215,0,173
LUT,342,0,632
LW,85,0,66
LWC,82,0,76
MAS,227,0,408
MDB,402,0,719
MES,365,0,634
MG,95,0,83
MMLH,238,0,452
MP,105,0,81
MRB,167,0,102
MRN,240,0,440
MT,359,0,632
MTH,18,0,5
MTN,362,0,634
MTR,360,0,634
MZ,321,0,554
NDB,221,0,336
NH,350,0,663
NKK,188,0,98
NM,228,0,431
NMD,233,0,452
NMGO,231,0,452
NMH,231,0,452
NML,227,0,445
NS,160,0,95
NSCH,33,0,13
NVD,165,0,95
NVP,264,0,489
NWK,261,0,493
O,252,0,452
OBD,296,0,608
ODB,326,0,688
ODZ,203,0,196
OMN,156,0,102
OP,237,0,445
OST,154,0,95
OT,289,0,524
OTB,213,0,431
OVN,265,0,532
OW,253,0,473
PMO,269,0,517
PMR,268,0,516
PMW,267,0,519
PT,181,0,112
RAI,242,0,240
RAT,151,0,95
RB,362,0,719
RD,69,0,59
RH,199,0,174
RHN,263,0,443
RL,202,0,173
RLB,283,0,572
RM,313,0,581
RS,264,0,473
RSD,333,0,683
RSN,181,0,107
RSW,284,0,508
RTA,266,0,493
RTB,277,0,563
RTD,276,0,493
RTN,271,0,495
RTST,281,0,572
RTZ,280,0,572
RV,302,0,567
RVS,244,0,431
SBK,345,0,662
SD,212,0,349
SDA,16,0,4
SDM,280,0,563
SDT,285,0,563
SDTB,288,0,564
SGL,369,0,648
SGN,304,0,608
SHL,254,0,311
SK,107,0,83
SKND,106,0,83
SM,308,0,581
SN,347,0,663
SOG,367,0,649
SPTN,270,0,550
SPTZ,268,0,550
SRN,331,0,659
SSH,275,0,489
ST,213,0,349
STD,338,0,630
STM,53,0,55
STV,136,0,91
STZ,214,0,339
SWD,42,0,43
SWK,119,0,131
TB,290,0,481
TBG,243,0,220
TBR,295,0,494
TBU,291,0,494
TG,295,0,548
TL,253,0,448
TPSW,255,0,448
TWL,169,0,171
UHM,66,0,59
UHZ,63,0,59
UST,58,0,58
UT,220,0,335
UTG,267,0,554
UTLN,224,0,408
UTLR,223,0,408
UTM,228,0,408
UTO,217,0,359
UTT,225,0,408
UTVR,221,0,408
UTZL,222,0,408
VB,277,0,493
VD,192,0,171
VDL,361,0,649
VEM,184,0,171
VG,272,0,481
VH,278,0,443
VHP,173,0,105
VK,370,0,649
VL,290,0,547
VLB,260,0,494
VNDC,255,0,442
VNDW,254,0,442
VP,203,0,177
VRY,267,0,495
VS,408,0,721
VSS,407,0,721
VST,275,0,528
VSV,246,0,204
VTN,227,0,413
VZ,180,0,106
WAD,260,0,493
WADN,261,0,493
WADT,259,0,493
WC,237,0,431
WD,236,0,335
WDN,173,0,107
WF,217,0,431
WFM,55,0,58
WH,147,0,95
WK,123,0,63
WL,232,0,203
WM,260,0,513
WP,230,0,347
WR,43,0,22
WS,21,0,13
WSM,47,0,44
WT,328,0,543
WTV,212,0,180
WV,125,0,60
WW,225,0,185
WWW,224,0,185
