Station Code,Distance from VG,Services from/to VG,Disruptions on path to VG
AC,76,0.0,106
AH,66,0.0,97
AHP,67,0.0,354
AHPR,69,0.0,354
AHZ,58,0.0,129
AKL,47,0.0,117
AKM,216,0.0,450
ALM,101,0.0,159
ALMB,107,0.0,290
ALMM,100,0.0,158
ALMO,109,0.0,290
ALMP,103,0.0,290
AMF,73,0.0,146
AMFS,76,0.0,386
AML,150,0.0,423
AMPO,98,0.0,158
AMR,130,0.0,431
AMRI,152,0.0,493
AMRN,131,0.0,506
ANA,160,0.0,517
APD,113,0.0,357
APDM,112,0.0,358
APDO,116,0.0,392
APG,279,0.0,480
APN,87,0.0,156
ARN,135,0.0,384
ASA,85,0.0,146
ASB,81,0.0,146
ASD,91,0.0,146
ASDL,98,0.0,404
ASDM,87,0.0,183
ASDZ,87,0.0,160
ASHD,80,0.0,233
ASN,217,0.0,400
ASS,95,0.0,404
ASSP,88,0.0,197
ATN,118,0.0,391
AVAT,79,0.0,392
BD,46,0.0,56
BDE,120,0.0,94
BDG,79,0.0,147
BDM,260,0.0,469
BDPB,51,0.0,379
BET,18,30.41935483870968,43
BF,264,0.0,469
BGN,83,0.0,384
BHDV,58,0.0,137
BHV,61,0.0,146
BK,113,0.0,95
BKF,149,0.0,489
BKG,148,0.0,485
BKL,64,0.0,73
BL,201,0.0,400
BLL,113,0.0,441
BMN,88,0.0,357
BMR,72,0.0,129
BN,145,0.0,424
BNC,92,0.0,387
BNK,58,0.0,197
BNN,89,0.0,386
BNZ,94,0.0,403
BP,258,0.0,403
BR,78,0.0,75
BRD,84,0.0,265
BRN,76,0.0,170
BSD,33,0.0,116
BSK,93,0.0,237
BSKS,94,0.0,260
BSMZ,75,0.0,147
BTL,8,30.41935483870968,0
BV,120,0.0,425
BZL,115,0.0,415
CAS,118,0.0,428
CK,62,0.0,126
CL,34,0.0,116
CO,190,0.0,510
CPS,97,0.0,231
CVM,130,0.0,112
DA,161,0.0,493
DB,62,0.0,241
DDN,135,0.0,372
DDR,75,0.0,148
DDRS,72,0.0,148
DDZD,75,0.0,402
DEI,238,0.0,403
DID,85,0.0,354
DL,151,0.0,400
DLD,64,0.0,166
DLN,194,0.0,524
DMN,90,0.0,197
DMNZ,85,0.0,149
DN,50,28.70967741935484,47
DR,82,0.0,354
DRH,118,0.0,442
DRON,150,0.0,304
DRP,245,0.0,417
DT,109,0.0,265
DTC,96,0.0,374
DTCH,94,0.0,374
DTCP,108,0.0,335
DV,111,0.0,357
DVC,115,0.0,423
DVD,83,0.0,146
DVN,75,0.0,356
DVNK,105,0.0,254
DWE,251,0.0,403
DZ,283,0.0,498
DZW,282,0.0,498
EC,93,0.0,92
ED,83,0.0,354
EDC,85,0.0,376
EDN,135,0.0,96
EEM,290,0.0,497
EGH,129,0.0,111
EGHM,130,0.0,111
EHS,27,30.41935483870968,119
EHV,28,30.41935483870968,43
EKZ,152,0.0,497
EML,96,0.0,386
EMN,210,0.0,525
EMNZ,206,0.0,524
ES,148,0.0,424
ESK,144,0.0,424
EST,55,0.0,115
ETN,57,0.0,379
FN,251,0.0,403
FWD,248,0.0,403
GBG,183,0.0,510
GD,84,0.0,146
GDG,81,0.0,146
GDM,26,0.0,73
GDR,101,0.0,391
GERP,243,0.0,453
GK,264,0.0,468
GLN,109,0.0,94
GN,245,0.0,453
GND,61,0.0,137
GNN,249,0.0,468
GO,125,0.0,364
GP,34,0.0,105
GR,52,0.0,135
GS,120,0.0,384
GV,113,0.0,231
GVC,112,0.0,149
GVM,113,0.0,339
GVMW,114,0.0,246
GW,221,0.0,457
GZ,36,0.0,58
HAD,114,0.0,425
HB,120,0.0,125
HBZM,64,0.0,147
HD,100,0.0,389
HDB,177,0.0,497
HDE,121,0.0,386
HDG,244,0.0,403
HDR,172,0.0,526
HDRZ,171,0.0,526
HFD,103,0.0,234
HGL,140,0.0,405
HGLG,138,0.0,405
HGLO,142,0.0,424
HGV,187,0.0,400
HGZ,256,0.0,476
HIL,120,0.0,254
HK,117,0.0,464
HKS,144,0.0,481
HLG,260,0.0,404
HLGH,261,0.0,408
HLM,110,0.0,404
HLMS,109,0.0,425
HLO,125,0.0,431
HM,41,28.70967741935484,43
HMBH,42,28.70967741935484,47
HMBV,38,28.70967741935484,105
HMH,40,28.70967741935484,105
HMN,57,0.0,119
HN,134,0.0,425
HNK,135,0.0,481
HNO,151,0.0,400
HNP,276,0.0,406
HON,130,0.0,357
HOR,64,0.0,146
HR,205,0.0,457
HRL,124,0.0,94
HRLW,126,0.0,111
HRN,239,0.0,453
HRT,68,0.0,75
HT,4,30.93548387096774,0
HTN,44,0.0,169
HTNC,43,0.0,169
HTO,5,0.935483870967742,73
HVL,79,0.0,386
HVS,70,0.0,146
HVSM,71,0.0,147
HVSP,69,0.0,146
HWD,137,0.0,507
HWZB,102,0.0,425
HZE,39,0.0,111
IJT,259,0.0,404
KBD,102,0.0,384
KBK,104,0.0,357
KLP,84,0.0,273
KMA,109,0.0,438
KMR,132,0.0,111
KMW,281,0.0,411
KPN,154,0.0,400
KPNZ,154,0.0,400
KRD,132,0.0,122
KRG,109,0.0,384
KTR,50,0.0,116
KW,253,0.0,474
KZ,103,0.0,428
LAA,113,0.0,178
LC,112,0.0,357
LDL,101,0.0,237
LDM,40,0.0,117
LEDN,102,0.0,244
LG,127,0.0,111
LLS,125,0.0,290
LLZM,97,0.0,231
LP,271,0.0,480
LTN,91,0.0,377
LTV,130,0.0,359
LUT,109,0.0,94
LW,234,0.0,386
LWC,237,0.0,403
MAS,59,0.0,146
MDB,139,0.0,411
MES,132,0.0,96
MG,244,0.0,403
MMLH,57,0.0,115
MP,167,0.0,400
MRB,169,0.0,494
MRN,70,0.0,273
MT,126,0.0,94
MTH,254,0.0,476
MTN,129,0.0,96
MTR,127,0.0,96
MZ,49,0.0,116
NDB,76,0.0,147
NH,117,0.0,125
NKK,84,0.0,386
NM,47,0.0,94
NMD,42,0.0,97
NMGO,44,0.0,98
NMH,50,0.0,115
NML,48,0.0,115
NS,112,0.0,386
NSCH,289,0.0,483
NVD,153,0.0,364
NVP,108,0.0,362
NWK,93,0.0,231
O,23,0.935483870967742,73
OBD,143,0.0,425
ODB,77,0.0,384
ODZ,151,0.0,424
OMN,162,0.0,407
OP,54,0.0,119
OST,121,0.0,423
OT,17,0.0,43
OTB,70,0.0,354
OVN,112,0.0,441
OW,22,0.935483870967742,73
PMO,116,0.0,404
PMR,115,0.0,425
PMW,114,0.0,428
PT,91,0.0,386
RAI,86,0.0,149
RAT,157,0.0,400
RB,99,0.0,415
RD,283,0.0,484
RH,76,0.0,355
RHN,93,0.0,276
RL,117,0.0,359
RLB,88,0.0,364
RM,80,0.0,43
RS,11,0.935483870967742,73
RSD,70,0.0,379
RSN,137,0.0,357
RSW,114,0.0,366
RTA,98,0.0,231
RTB,94,0.0,265
RTD,95,0.0,265
RTN,100,0.0,335
RTST,90,0.0,265
RTZ,91,0.0,265
RV,91,0.0,92
RVS,31,0.0,94
SBK,112,0.0,124
SD,72,0.0,170
SDA,272,0.0,474
SDM,99,0.0,335
SDT,65,0.0,147
SDTB,68,0.0,148
SGL,136,0.0,110
SGN,151,0.0,517
SHL,98,0.0,160
SK,256,0.0,403
SKND,255,0.0,403
SM,85,0.0,92
SN,114,0.0,125
SOG,134,0.0,111
SPTN,117,0.0,441
SPTZ,115,0.0,441
SRN,98,0.0,121
SSH,110,0.0,254
ST,71,0.0,170
STD,105,0.0,92
STM,267,0.0,480
STV,285,0.0,411
STZ,70,0.0,170
SWD,256,0.0,468
SWK,181,0.0,450
TB,25,0.0,43
TBG,102,0.0,391
TBR,30,0.0,56
TBU,26,0.0,56
TG,85,0.0,106
TL,38,0.0,116
TPSW,36,0.0,116
TWL,116,0.0,423
UHM,280,0.0,484
