Station Code,Distance from VNDC,Services from/to VNDC,Disruptions on path to VNDC
AC,59,0.0,140
AH,69,0.0,56
AHP,70,0.0,313
AHPR,72,0.0,313
AHZ,77,0.0,313
AKL,80,0.0,203
AKM,199,0.0,411
ALM,84,0.0,120
ALMB,90,0.0,251
ALMM,83,0.0,119
ALMO,92,0.0,251
ALMP,86,0.0,251
AMF,56,0.0,107
AMFS,59,0.0,347
AML,153,0.0,413
AMPO,81,0.0,119
AMR,113,0.0,392
AMRI,155,0.0,483
AMRN,114,0.0,467
ANA,143,0.0,478
APD,99,0.0,347
APDM,100,0.0,382
APDO,102,0.0,382
APG,262,0.0,441
APN,70,0.0,117
ARN,211,0.0,356
ASA,68,0.0,107
ASB,64,0.0,34
ASD,74,0.0,107
ASDL,81,0.0,365
ASDM,70,0.0,144
ASDZ,70,0.0,48
ASHD,63,0.0,267
ASN,200,0.0,361
ASS,78,0.0,365
ASSP,71,0.0,158
ATN,121,0.0,350
AVAT,62,0.0,353
BD,124,0.0,288
BDE,205,0.0,369
BDG,62,0.0,108
BDM,243,0.0,430
BDPB,129,0.0,611
BET,103,0.0,275
BF,247,0.0,430
BGN,159,0.0,355
BHDV,91,0.0,223
BHV,44,0.0,107
BK,198,0.0,370
BKF,132,0.0,450
BKG,131,0.0,446
BKL,47,35.67741935483871,107
BL,184,0.0,361
BLL,96,0.0,402
BMN,91,0.0,316
BMR,113,0.0,91
BN,148,0.0,383
BNC,67,0.0,57
BNK,27,36.54838709677419,34
BNN,70,0.0,73
BNZ,65,0.0,57
BP,241,0.0,364
BR,148,0.0,120
BRD,102,0.0,268
BRN,59,0.0,131
BSD,66,0.0,202
BSK,76,0.0,198
BSKS,77,0.0,221
BSMZ,58,0.0,108
BTL,93,0.0,275
BV,103,0.0,386
BZL,191,0.0,386
CAS,101,0.0,389
CK,103,0.0,88
CL,51,0.0,106
CO,177,0.0,381
CPS,80,0.0,192
CVM,215,0.0,387
DA,164,0.0,483
DB,23,36.54838709677419,2
DDN,138,0.0,331
DDR,108,0.0,234
DDRS,105,0.0,234
DDZD,109,0.0,351
DEI,221,0.0,364
DID,88,0.0,313
DL,134,0.0,361
DLD,47,0.0,127
DLN,181,0.0,395
DMN,73,0.0,158
DMNZ,68,0.0,110
DN,135,0.0,322
DR,85,0.0,313
DRH,101,0.0,403
DRON,133,0.0,265
DRP,228,0.0,378
DT,104,0.0,207
DTC,99,0.0,333
DTCH,97,0.0,333
DTCP,104,0.0,262
DV,114,0.0,347
DVC,118,0.0,382
DVD,66,0.0,107
DVN,78,0.0,315
DVNK,88,0.0,215
DWE,234,0.0,364
DZ,266,0.0,459
DZW,265,0.0,459
EC,178,0.0,367
ED,52,0.0,34
EDC,54,0.0,56
EDN,220,0.0,371
EEM,273,0.0,458
EGH,214,0.0,386
EGHM,215,0.0,386
EHS,112,0.0,351
EHV,113,0.0,275
EKZ,135,0.0,458
EML,79,0.0,347
EMN,197,0.0,396
EMNZ,193,0.0,395
ES,151,0.0,383
ESK,147,0.0,383
EST,80,0.0,313
ETN,135,0.0,611
FN,234,0.0,364
FWD,231,0.0,364
GBG,170,0.0,381
GD,67,0.0,107
GDG,64,0.0,107
GDM,59,0.0,159
GDR,104,0.0,350
GERP,226,0.0,414
GK,247,0.0,429
GLN,194,0.0,369
GN,228,0.0,414
GND,94,0.0,223
GNN,232,0.0,429
GO,128,0.0,323
GP,119,0.0,337
GR,85,0.0,221
GS,196,0.0,356
GV,96,0.0,192
GVC,95,0.0,110
GVM,96,0.0,300
GVMW,97,0.0,207
GW,204,0.0,418
GZ,114,0.0,290
HAD,97,0.0,386
HB,205,0.0,400
HBZM,97,0.0,233
HD,83,0.0,350
HDB,164,0.0,368
HDE,104,0.0,347
HDG,227,0.0,364
HDR,155,0.0,487
HDRZ,154,0.0,487
HFD,86,0.0,122
HGL,143,0.0,364
HGLG,141,0.0,364
HGLO,145,0.0,383
HGV,170,0.0,361
HGZ,239,0.0,437
HIL,103,0.0,215
HK,100,0.0,425
HKS,127,0.0,442
HLG,243,0.0,365
HLGH,244,0.0,369
HLM,93,0.0,365
HLMS,92,0.0,386
HLO,108,0.0,392
HM,126,0.0,318
HMBH,127,0.0,322
HMBV,123,0.0,337
HMH,125,0.0,337
HMN,90,0.0,205
HN,117,0.0,386
HNK,118,0.0,442
HNO,134,0.0,361
HNP,259,0.0,367
HON,133,0.0,382
HOR,47,0.0,107
HR,188,0.0,418
HRL,209,0.0,369
HRLW,211,0.0,386
HRN,222,0.0,414
HRT,153,0.0,350
HT,81,0.0,202
HTN,41,0.0,78
HTNC,42,0.0,106
HTO,82,0.0,275
HVL,62,0.0,347
HVS,53,0.0,107
HVSM,54,0.0,108
HVSP,52,0.0,107
HWD,120,0.0,468
HWZB,85,0.0,386
HZE,124,0.0,343
IJT,242,0.0,365
KBD,178,0.0,356
KBK,107,0.0,316
KLP,45,0.0,34
KMA,92,0.0,399
KMR,217,0.0,386
KMW,264,0.0,372
KPN,137,0.0,361
KPNZ,137,0.0,361
KRD,217,0.0,397
KRG,185,0.0,356
KTR,83,0.0,202
KW,236,0.0,435
KZ,86,0.0,389
LAA,96,0.0,139
LC,115,0.0,316
LDL,84,0.0,198
LDM,73,0.0,203
LEDN,85,0.0,205
LG,212,0.0,386
LLS,108,0.0,251
LLZM,80,0.0,192
LP,254,0.0,441
LTN,60,0.0,57
LTV,133,0.0,318
LUT,194,0.0,369
LW,217,0.0,347
LWC,220,0.0,364
MAS,42,35.67741935483871,107
MDB,215,0.0,383
MES,217,0.0,371
MG,227,0.0,364
MMLH,98,0.0,77
MP,150,0.0,361
MRB,156,0.0,368
MRN,15,36.58064516129032,0
MT,211,0.0,369
MTH,237,0.0,437
MTN,214,0.0,371
MTR,212,0.0,371
MZ,134,0.0,348
NDB,59,0.0,108
NH,202,0.0,400
NKK,67,0.0,347
NM,88,0.0,56
NMD,93,0.0,77
NMGO,91,0.0,77
NMH,91,0.0,77
NML,87,0.0,327
NS,95,0.0,347
NSCH,272,0.0,444
NVD,154,0.0,370
NVP,91,0.0,250
NWK,76,0.0,192
O,100,0.0,275
OBD,126,0.0,386
ODB,139,0.0,356
ODZ,154,0.0,383
OMN,145,0.0,368
OP,87,0.0,205
OST,124,0.0,413
OT,102,0.0,318
OTB,65,0.0,56
OVN,95,0.0,402
OW,99,0.0,275
PMO,99,0.0,365
PMR,98,0.0,386
PMW,97,0.0,389
PT,74,0.0,347
RAI,69,0.0,110
RAT,140,0.0,361
RB,175,0.0,356
RD,266,0.0,445
RH,79,0.0,314
RHN,8,36.96774193548387,0
RL,120,0.0,318
RLB,98,0.0,262
RM,165,0.0,318
RS,88,0.0,275
RSD,146,0.0,351
RSN,140,0.0,382
RSW,99,0.0,207
RTA,81,0.0,192
RTB,92,0.0,262
RTD,91,0.0,192
RTN,86,0.0,194
RTST,96,0.0,262
RTZ,95,0.0,262
RV,162,0.0,192
RVS,104,0.0,313
SBK,197,0.0,399
SD,55,0.0,131
SDA,255,0.0,435
SDM,95,0.0,262
SDT,98,0.0,233
SDTB,101,0.0,234
SGL,221,0.0,385
SGN,134,0.0,478
SHL,81,0.0,48
SK,239,0.0,364
SKND,238,0.0,364
SM,168,0.0,206
SN,199,0.0,400
SOG,219,0.0,386
SPTN,100,0.0,402
SPTZ,98,0.0,402
SRN,183,0.0,396
SSH,93,0.0,215
ST,54,0.0,131
STD,190,0.0,367
STM,250,0.0,441
STV,268,0.0,372
STZ,53,0.0,131
SWD,239,0.0,429
SWK,164,0.0,411
TB,103,0.0,275
TBG,105,0.0,350
TBR,108,0.0,288
TBU,104,0.0,288
TG,155,0.0,173
TL,71,0.0,202
TPSW,69,0.0,202
TWL,109,0.0,382
UHM,263,0.0,445
UHZ,260,0.0,445
UST,255,0.0,444
UT,35,36.54838709677419,34
UTG,97,0.0,424
UTLN,37,0.0,78
UTLR,38,0.0,107
UTO,38,0.0,107
UTT,40,0.0,107
UTVR,34,36.54838709677419,78
UTZL,37,35.67741935483871,107
VB,92,0.0,192
VD,110,0.0,316
VDL,213,0.0,386
VDM,255,0.0,442
VEM,102,0.0,316
VG,85,0.0,275
VH,93,0.0,215
VHP,162,0.0,371
VK,222,0.0,386
VL,150,0.0,172
VLB,120,0.0,119
VNDC,0,0.0,0
VNDW,1,36.58064516129032,0
VP,75,0.0,314
VRY,127,0.0,120
VS,221,0.0,383
VSS,220,0.0,356
VST,90,0.0,300
VSV,112,0.0,350
VTN,42,0.0,112
VZ,159,0.0,483
WAD,75,0.0,192
WADN,76,0.0,192
WADT,74,0.0,192
WC,97,0.0,313
WD,51,0.0,107
WDN,148,0.0,389
WF,61,0.0,56
WFM,252,0.0,444
WH,131,0.0,423
WK,255,0.0,367
WL,94,0.0,333
WM,90,0.0,389
WP,68,0.0,119
WR,282,0.0,453
WS,260,0.0,444
WSM,244,0.0,430
WT,141,0.0,318
WTV,74,0.0,315
WV,177,0.0,361
WW,133,0.0,369
WWW,134,0.0,369
WZ,113,0.0,360
YPB,88,0.0,110
ZA,91,0.0,327
ZB,247,0.0,438
ZBM,68,0.0,202
ZD,84,0.0,386
ZDK,87,0.0,389
ZH,240,0.0,429
ZL,122,0.0,347
ZLSH,127,0.0,361
ZLW,123,0.0,351
ZP,98,0.0,316
ZTM,83,0.0,107
ZTMO,82,0.0,192
ZV,83,0.0,313
ZVB,131,0.0,356
ZVT,101,0.0,402
ZWD,109,0.0,367
ZZS,87,0.0,389
