Station Code,Distance from VP,Services from/to VP,Disruptions on path to VP
AC,88,0.0,364
AH,6,32.645161290322584,1
AHP,5,32.645161290322584,1
AHPR,3,32.645161290322584,0
AHZ,14,31.774193548387096,258
AKL,83,0.0,319
AKM,147,0.0,146
ALM,104,0.0,551
ALMB,110,0.0,682
ALMM,103,0.0,550
ALMO,112,0.0,682
ALMP,106,0.0,682
AMF,57,0.0,298
AMFS,60,0.0,538
AML,78,0.0,72
AMPO,101,0.0,550
AMR,141,0.0,837
AMRI,80,0.0,142
AMRN,142,0.0,912
ANA,171,0.0,923
APD,41,0.0,6
APDM,40,0.0,7
APDO,44,0.0,41
APG,210,0.0,176
APN,99,0.0,341
ARN,200,0.0,714
ASA,97,0.0,331
ASB,93,0.0,331
ASD,102,0.0,552
ASDL,109,0.0,810
ASDM,98,0.0,538
ASDZ,99,0.0,345
ASHD,92,0.0,491
ASN,148,0.0,96
ASS,106,0.0,810
ASSP,97,0.0,557
ATN,56,0.0,43
AVAT,63,0.0,544
BD,111,0.032258064516129,386
BDE,150,0.0,459
BDG,91,0.0,332
BDM,191,0.0,165
BDPB,116,0.0,709
BET,90,0.0,373
BF,195,0.0,165
BGN,148,0.0,714
BHDV,94,0.0,339
BHV,69,0.0,542
BK,143,0.0,460
BKF,160,0.0,895
BKG,159,0.0,891
BKL,76,0.0,331
BL,132,0.0,96
BLL,124,0.0,847
BMN,16,32.516129032258064,6
BMR,50,0.0,293
BN,73,0.0,73
BNC,38,0.0,281
BNK,56,0.0,312
BNN,41,0.0,297
BNZ,36,0.0,281
BP,189,0.0,113
BR,85,0.0,322
BRD,120,0.0,467
BRN,66,0.0,538
BSD,69,0.0,318
BSK,105,0.0,422
BSKS,106,0.0,445
BSMZ,78,0.0,539
BTL,80,0.0,373
BV,131,0.0,831
BZL,180,0.0,745
CAS,129,0.0,834
CK,40,0.0,290
CL,70,0.0,318
CO,118,0.0,159
CPS,109,0.0,416
CVM,160,0.0,477
DA,89,0.0,142
DB,52,0.0,280
DDN,63,0.0,21
DDR,111,0.0,350
DDRS,108,0.0,350
DDZD,112,0.0,467
DEI,169,0.0,113
DID,23,0.0,6
DL,82,0.0,96
DLD,66,0.0,538
DLN,122,0.0,173
DMN,95,0.0,556
DMNZ,95,0.0,539
DN,113,0.0,374
DR,10,32.516129032258064,3
DRH,129,0.0,848
DRON,102,0.0,96
DRP,176,0.0,127
DT,133,0.0,431
DTC,34,0.0,26
DTCH,32,0.0,26
DTCP,133,0.0,486
DV,39,0.0,6
DVC,43,0.0,72
DVD,95,0.0,331
DVN,13,0.0,3
DVNK,117,0.0,439
DWE,182,0.0,113
DZ,214,0.0,194
DZW,213,0.0,194
EC,123,0.0,457
ED,23,0.0,258
EDC,25,0.0,280
EDN,165,0.0,461
EEM,221,0.0,193
EGH,159,0.0,476
EGHM,160,0.0,476
EHS,99,0.0,449
EHV,100,0.0,373
EKZ,163,0.0,903
EML,80,0.0,538
EMN,138,0.0,174
EMNZ,134,0.0,173
ES,76,0.0,73
ESK,72,0.0,73
EST,17,31.774193548387096,258
ETN,122,0.032258064516129,709
FN,182,0.0,113
FWD,179,0.0,113
GBG,111,0.0,159
GD,96,0.0,331
GDG,93,0.0,331
GDM,62,0.0,275
GDR,39,0.0,43
GERP,174,0.0,149
GK,195,0.0,164
GLN,139,0.0,459
GN,176,0.0,149
GND,97,0.0,339
GNN,180,0.0,164
GO,53,0.0,13
GP,106,0.0,435
GR,88,0.0,337
GS,185,0.0,714
GV,125,0.0,416
GVC,124,0.0,334
GVM,125,0.0,524
GVMW,126,0.0,431
GW,152,0.0,153
GZ,101,0.0,388
