station,distance,services_per_day,n_of_disruptions
AC,140,0,430
AH,58,0,64
AHP,59,0,321
AHPR,61,0,323
AHZ,50,0,78
AKL,113,0,125
AKM,211,0,464
ALM,156,0,614
ALMB,162,0,745
ALMM,155,0,613
ALMO,164,0,745
ALMP,158,0,745
AMF,109,0,361
AMFS,112,0,601
AML,142,0,390
AMPO,153,0,613
AMR,193,0,887
AMRI,144,0,460
AMRN,194,0,962
ANA,223,0,973
APD,105,0,324
APDM,104,0,325
APDO,108,0,359
APG,274,0,494
APN,151,0,404
ARN,214,0,530
ASA,149,0,394
ASB,145,0,394
ASD,154,0,602
ASDL,161,0,881
ASDM,150,0,620
ASDZ,151,0,397
ASHD,146,0,408
ASN,212,0,414
ASS,158,0,860
ASSP,149,0,620
ATN,110,0,358
AVAT,115,0,607
BD,125,0,171
BDE,86,0,138
BDG,143,0,395
BDM,255,0,483
BDPB,130,0,494
BET,81,0,146
BF,259,0,483
BGN,162,0,499
BHDV,124,0,145
BHV,121,0,605
BK,79,0,138
BKF,212,0,945
BKG,211,0,941
BKL,128,0,397
BL,196,0,419
BLL,176,0,897
BMN,80,0,324
BMR,14,0,1
BN,137,0,391
BNC,90,0,344
BNK,108,0,375
BNN,93,0,360
BNZ,88,0,344
BP,253,0,431
BR,21,0,0
BRD,150,0,275
BRN,118,0,601
BSD,99,0,124
BSK,157,0,485
BSKS,158,0,508
BSMZ,130,0,602
BTL,91,0,222
BV,183,0,920
BZL,194,0,530
CAS,181,0,884
CK,24,0,29
CL,100,0,124
CO,182,0,477
CPS,161,0,479
CVM,96,0,155
DA,153,0,460
DB,104,0,343
DDN,127,0,339
DDR,141,0,158
DDRS,138,0,156
DDZD,142,0,275
DEI,233,0,431
DID,77,0,321
DL,146,0,414
DLD,118,0,601
DLN,186,0,491
DMN,147,0,619
DMNZ,147,0,619
DN,49,0,52
DR,74,0,321
DRH,181,0,916
DRON,166,0,414
DRP,240,0,445
DT,175,0,345
DTC,88,0,341
DTCH,86,0,341
DTCP,174,0,345
DV,103,0,324
DVC,107,0,390
DVD,147,0,394
DVN,67,0,323
DVNK,169,0,502
DWE,246,0,431
DZ,278,0,512
DZW,277,0,512
EC,59,0,135
ED,75,0,321
EDC,77,0,343
EDN,101,0,139
EEM,285,0,511
EGH,95,0,154
EGHM,96,0,154
EHS,72,0,146
EHV,71,0,84
EKZ,215,0,953
EML,132,0,604
EMN,202,0,492
EMNZ,198,0,491
ES,140,0,391
ESE,146,0,420
ESK,136,0,391
EST,47,0,64
ETN,136,0,494
FN,246,0,431
FWD,243,0,431
GBG,175,0,477
GBR,149,0,420
GD,148,0,394
GDG,145,0,394
GDM,92,0,81
GDR,93,0,358
GERP,238,0,467
GK,259,0,482
GLN,75,0,137
GN,240,0,467
GND,127,0,145
GNN,244,0,482
GO,117,0,331
GP,77,0,146
GR,118,0,143
GS,199,0,530
GV,177,0,479
GVC,176,0,479
GVM,177,0,587
GVMW,178,0,494
GW,216,0,421
GZ,115,0,173
HAD,177,0,897
HB,86,0,168
HBZM,130,0,155
HD,136,0,604
HDB,169,0,464
HDE,152,0,414
HDG,239,0,431
HDR,235,0,982
HDRZ,234,0,982
HFD,167,0,458
HGL,132,0,372
HGLG,130,0,372
HGLO,134,0,391
HGV,182,0,414
HGZ,251,0,490
HIL,184,0,502
HK,180,0,920
HKS,207,0,937
HLG,255,0,432
HLGH,256,0,436
HLM,173,0,860
HLMS,172,0,881
HLO,188,0,887
HM,58,0,80
HMBH,57,0,80
HMBV,61,0,84
HMH,59,0,84
HMN,61,0,78
HN,197,0,881
HNK,198,0,937
HNO,146,0,414
HNP,271,0,434
HON,122,0,390
HOR,128,0,394
HR,200,0,414
HRL,90,0,137
HRLW,92,0,154
HRN,234,0,467
HRT,31,0,52
HT,82,0,85
HTN,110,0,177
HTNC,109,0,177
HTO,81,0,85
HVL,103,0,361
HVS,125,0,601
HVSM,126,0,602
HVSP,126,0,602
HWD,200,0,963
HWZB,165,0,881
HZE,82,0,152
IJT,254,0,432
KBD,181,0,530
KBK,96,0,324
KLP,82,0,343
KMA,172,0,894
KMR,98,0,154
KMW,276,0,439
KPN,149,0,414
KPNZ,149,0,414
KRD,98,0,165
KRG,188,0,530
KTR,68,0,78
KW,248,0,488
KZ,166,0,884
LAA,177,0,508
LC,104,0,324
LDL,165,0,485
LDM,106,0,125
LEDN,166,0,492
LEER,309,0,506
LG,93,0,154
LLS,180,0,745
LLZM,161,0,479
LP,266,0,494
LTN,83,0,344
LTV,122,0,326
LUT,75,0,137
LW,229,0,414
LWC,232,0,431
MAS,123,0,394
MDB,218,0,530
MES,98,0,139
MG,239,0,431
MMLH,29,0,32
MP,162,0,414
MRB,161,0,461
MRN,112,0,375
MT,92,0,137
MTH,249,0,490
MTN,95,0,139
MTR,93,0,139
MZ,77,0,135
NDB,131,0,602
NH,83,0,168
NKK,120,0,601
NM,39,0,43
NMD,44,0,64
NMGO,42,0,64
NMH,36,0,43
NML,40,0,64
NS,148,0,601
NSCH,284,0,497
NVD,145,0,397
NVP,172,0,586
NWK,157,0,479
O,63,0,64
OBD,206,0,973
ODB,156,0,499
ODZ,143,0,391
OMN,157,0,421
OP,64,0,78
OST,113,0,390
OT,100,0,265
OTB,62,0,321
OVN,175,0,897
OW,64,0,85
PMO,179,0,882
PMR,178,0,881
PMW,177,0,884
PT,127,0,604
RAI,150,0,397
RAT,152,0,414
RB,178,0,530
RD,278,0,498
RH,68,0,324
RHN,135,0,378
RL,109,0,326
RLB,154,0,374
RM,46,0,86
RS,75,0,85
RSD,149,0,494
RSN,129,0,390
RSW,180,0,494
RTA,162,0,479
RTB,160,0,275
RTD,161,0,275
RTN,166,0,345
RTST,156,0,380
RTZ,157,0,380
RV,35,0,72
RVS,55,0,64
SBK,78,0,167
SD,122,0,615
SDA,267,0,488
SDM,165,0,345
SDT,131,0,155
SDTB,134,0,156
SGL,102,0,153
SGN,214,0,973
SHL,162,0,408
SK,251,0,431
SKND,250,0,431
SM,41,0,86
SN,80,0,168
SOG,100,0,154
SPTN,180,0,915
SPTZ,178,0,915
SRN,64,0,164
SSH,174,0,502
ST,123,0,615
STD,71,0,135
STM,262,0,494
STV,280,0,439
STZ,124,0,605
SWD,251,0,482
SWK,176,0,464
TB,104,0,158
TBG,94,0,358
TBR,109,0,171
TBU,105,0,171
TG,28,0,53
TL,80,0,81
TPSW,82,0,81
TWL,108,0,390
UHM,275,0,498
UHZ,272,0,498
UST,267,0,497
UT,116,0,321
UTG,177,0,919
UTLN,114,0,205
UTLR,119,0,394
UTM,124,0,394
UTO,119,0,394
UTT,121,0,394
UTVR,115,0,419
UTZL,118,0,394
VB,173,0,479
VD,99,0,324
VDL,94,0,154
VDM,267,0,495
