station,distance,services_per_day,n_of_disruptions
AC,203,0,235
AH,203,0,489
AHP,204,0,746
AHPR,206,0,748
AHZ,195,0,503
AKL,140,0,170
AKM,351,0,690
ALM,236,0,399
ALMB,242,0,530
ALMM,235,0,398
ALMO,244,0,530
ALMP,238,0,530
AMF,208,0,386
AMFS,211,0,626
AML,287,0,815
AMPO,233,0,398
AMR,234,0,353
AMRI,289,0,885
AMRN,235,0,428
ANA,264,0,439
APD,250,0,749
APDM,249,0,750
APDO,253,0,784
APG,414,0,720
APN,174,0,216
ARN,9,0,2
ASA,216,0,235
ASB,216,0,158
ASD,218,0,158
ASDL,211,0,158
ASDM,218,0,272
ASDZ,210,0,158
ASHD,217,0,172
ASN,352,0,640
ASS,214,0,158
ASSP,219,0,286
ATN,255,0,783
AVAT,214,0,632
BD,98,0,38
BDE,248,0,475
BDG,182,0,297
BDM,395,0,709
BDPB,103,0,361
BET,146,0,417
BF,399,0,709
BGN,61,0,2
BHDV,129,0,168
BHV,196,0,386
BK,241,0,475
BKF,268,0,243
BKG,267,0,239
BKL,191,0,202
BL,336,0,645
BLL,202,0,311
BMN,225,0,749
BMR,209,0,503
BN,282,0,816
BNC,227,0,627
BNK,193,0,313
BNN,224,0,626
BNZ,229,0,643
BP,393,0,657
BR,206,0,455
BRD,121,0,155
BRN,211,0,410
BSD,154,0,188
BSK,168,0,193
BSKS,167,0,193
BSMZ,210,0,387
BTL,136,0,374
BV,212,0,331
BZL,29,0,2
CAS,222,0,350
CK,199,0,500
CL,169,0,232
CO,327,0,902
CPS,143,0,110
CVM,258,0,492
DA,298,0,885
DB,197,0,357
DDN,272,0,764
DDR,112,0,38
DDRS,115,0,155
DDZD,111,0,43
DEI,373,0,657
DID,222,0,746
DL,286,0,640
DLD,199,0,406
DLN,331,0,916
DMN,221,0,286
DMNZ,216,0,235
DN,178,0,427
DR,219,0,746
DRH,207,0,330
DRON,285,0,544
DRP,380,0,671
DT,146,0,108
