Station Code,Distance from VTN,Services from/to VTN,Disruptions on path to VTN
AC,31,0.0,111
AH,65,0.0,78
AHP,66,0.0,335
AHPR,68,0.0,335
AHZ,73,0.0,335
AKL,54,0.0,122
AKM,171,0.0,382
ALM,56,0.0,91
ALMB,62,0.0,222
ALMM,55,0.0,90
ALMO,64,0.0,222
ALMP,58,0.0,222
AMF,28,0.0,78
AMFS,31,0.0,318
AML,125,0.0,384
AMPO,53,0.0,90
AMR,85,0.0,363
AMRI,127,0.0,454
AMRN,86,0.0,438
ANA,115,0.0,449
APD,71,0.0,318
APDM,72,0.0,353
APDO,74,0.0,353
APG,234,0.0,412
APN,28,4.516129032258065,10
ARN,172,0.0,161
ASA,40,0.0,78
ASB,36,0.0,78
ASD,46,0.0,78
ASDL,53,0.0,336
ASDM,42,0.0,115
ASDZ,42,0.0,92
ASHD,35,0.0,238
ASN,172,0.0,332
ASS,50,0.0,336
ASSP,43,0.0,129
ATN,117,0.0,372
AVAT,34,0.0,324
BD,98,0.0,164
BDE,179,0.0,267
BDG,20,4.516129032258065,1
BDM,215,0.0,401
BDPB,94,0.0,278
BET,77,0.0,78
BF,219,0.0,401
BGN,120,0.0,277
BHDV,65,0.0,142
BHV,16,0.0,78
BK,172,0.0,268
BKF,104,0.0,421
BKG,103,0.0,417
BKL,19,0.0,78
BL,156,0.0,332
BLL,68,0.0,373
BMN,87,0.0,338
BMR,109,0.0,370
BN,134,0.0,454
BNC,47,0.0,319
BNK,15,0.0,78
BNN,44,0.0,318
BNZ,49,0.0,335
BP,213,0.0,335
BR,137,0.0,248
BRD,60,0.0,162
BRN,31,0.0,102
BSD,40,0.0,121
BSK,34,0.0,91
BSKS,35,0.0,114
BSMZ,30,0.0,79
BTL,67,0.0,151
BV,75,0.0,357
BZL,152,0.0,308
CAS,73,0.0,360
CK,99,0.0,367
CL,25,36.25806451612903,106
CO,149,0.0,352
CPS,38,0.0,86
CVM,189,0.0,285
DA,136,0.0,454
DB,19,0.0,78
DDN,129,0.0,368
DDR,69,0.0,156
DDRS,72,0.0,273
DDZD,70,0.0,273
DEI,193,0.0,335
DID,84,0.0,335
DL,106,0.0,332
DLD,19,0.0,98
DLN,153,0.0,366
DMN,45,0.0,129
DMNZ,40,0.0,81
DN,109,0.0,220
DR,81,0.0,335
DRH,73,0.0,374
DRON,105,0.0,236
DRP,200,0.0,349
DT,62,0.0,101
DTC,95,0.0,355
DTCH,93,0.0,355
DTCP,62,0.0,156
DV,86,0.0,318
DVC,90,0.0,353
DVD,38,0.0,78
DVN,74,0.0,337
DVNK,46,0.0,108
DWE,206,0.0,335
DZ,238,0.0,430
DZW,237,0.0,430
EC,152,0.0,265
ED,48,0.0,78
EDC,50,0.0,100
EDN,194,0.0,269
EEM,245,0.0,429
EGH,188,0.0,284
EGHM,189,0.0,284
EHS,86,0.0,154
EHV,87,0.0,154
EKZ,107,0.0,429
EML,51,0.0,318
EMN,169,0.0,367
EMNZ,165,0.0,366
ES,142,0.0,420
ESK,138,0.0,420
EST,76,0.0,335
ETN,109,0.0,487
FN,206,0.0,335
FWD,203,0.0,335
GBG,142,0.0,352
GD,25,37.516129032258064,1
GDG,22,37.516129032258064,1
GDM,33,36.25806451612903,78
GDR,100,0.0,372
GERP,198,0.0,385
GK,219,0.0,400
GLN,168,0.0,267
GN,200,0.0,385
GND,68,0.0,142
GNN,204,0.0,400
GO,119,0.0,360
GP,93,0.0,216
GR,59,0.0,140
GS,157,0.0,161
GV,54,0.0,86
GVC,53,36.45161290322581,86
GVM,54,0.0,193
GVMW,55,0.0,101
GW,176,0.0,389
GZ,88,0.0,166
HAD,68,0.0,108
HB,179,0.0,298
HBZM,71,0.0,152
HD,55,0.0,321
HDB,136,0.0,339
HDE,76,0.0,318
HDG,199,0.0,335
HDR,127,0.0,458
HDRZ,126,0.0,458
HFD,58,0.0,166
HGL,134,0.0,401
HGLG,132,0.0,401
HGLO,136,0.0,420
HGV,142,0.0,332
HGZ,211,0.0,408
HIL,61,0.0,108
HK,72,0.0,396
HKS,99,0.0,413
HLG,215,0.0,336
HLGH,216,0.0,340
HLM,65,0.0,336
HLMS,64,0.0,357
HLO,80,0.0,363
HM,100,0.0,216
HMBH,101,0.0,220
HMBV,97,0.0,216
HMH,99,0.0,216
HMN,64,0.0,124
HN,89,0.0,357
HNK,90,0.0,413
HNO,106,0.0,332
HNP,231,0.0,338
HON,105,0.0,353
HOR,19,0.0,78
HR,160,0.0,389
HRL,183,0.0,267
HRLW,185,0.0,284
HRN,194,0.0,385
HRT,127,0.0,248
HT,55,1.032258064516129,78
