Station Code,Distance from VZ,Services from/to VZ,Disruptions on path to VZ
AC,148,0.0,482
AH,90,0.0,139
AHP,89,0.0,143
AHPR,87,0.0,142
AHZ,98,0.0,396
AKL,167,0.0,457
AKM,124,0.0,75
ALM,128,0.0,36
ALMB,122,0.0,36
ALMM,129,0.0,167
ALMO,120,0.0,25
ALMP,126,0.0,41
AMF,103,0.0,136
AMFS,106,0.0,376
AML,6,25.451612903225808,0
AMPO,131,0.0,168
AMR,187,0.0,675
AMRI,8,0.0,70
AMRN,188,0.0,750
ANA,217,0.0,761
APD,60,0.0,136
APDM,61,0.0,171
APDO,57,0.0,136
APG,187,0.0,105
APN,159,0.0,386
ARN,284,0.0,852
ASA,145,0.0,380
ASB,145,0.0,380
ASD,148,0.0,390
ASDL,155,0.0,648
ASDM,144,0.0,376
ASDZ,147,0.0,377
ASHD,146,0.0,394
ASN,125,0.0,25
ASS,152,0.0,648
ASSP,143,0.0,395
ATN,118,0.0,150
AVAT,107,0.0,31
BD,195,0.0,524
BDE,234,0.0,597
BDG,151,0.0,377
BDM,168,0.0,94
BDPB,200,0.0,847
BET,174,0.0,511
BF,172,0.0,94
BGN,232,0.0,852
BHDV,178,0.0,477
BHV,115,0.0,380
BK,227,0.0,598
BKF,206,0.0,733
BKG,205,0.0,729
BKL,136,0.0,449
BL,109,0.0,25
BLL,170,0.0,685
BMN,68,0.0,136
BMR,134,0.0,431
BN,15,0.0,70
BNC,122,0.0,377
BNK,132,0.0,449
BNN,119,0.0,376
BNZ,120,0.0,419
BP,166,0.0,42
BR,169,0.0,460
BRD,191,0.0,610
BRN,112,0.0,376
BSD,153,0.0,456
BSK,165,0.0,467
BSKS,166,0.0,490
BSMZ,124,0.0,377
BTL,164,0.0,511
BV,177,0.0,669
BZL,264,0.0,883
CAS,175,0.0,672
CK,124,0.0,428
CL,142,0.0,477
CO,34,0.0,17
CPS,169,0.0,534
CVM,244,0.0,615
DA,5,25.32258064516129,0
DB,136,0.0,449
DDN,25,0.0,89
DDR,195,0.0,488
DDRS,192,0.0,488
DDZD,196,0.0,605
DEI,146,0.0,42
DID,107,0.0,148
DL,35,0.0,4
DLD,112,0.0,376
DLN,38,0.0,31
DMN,141,0.0,394
DMNZ,141,0.0,377
DN,197,0.0,512
DR,74,0.0,136
DRH,175,0.0,686
DRON,79,0.0,25
DRP,153,0.0,56
DT,193,0.0,549
DTC,118,0.0,168
DTCH,116,0.0,168
DTCP,193,0.0,604
DV,45,0.0,70
DVC,41,0.0,77
DVD,143,0.0,377
DVN,97,0.0,145
DVNK,177,0.0,484
DWE,159,0.0,42
DZ,191,0.0,123
DZW,190,0.0,123
EC,207,0.0,595
ED,107,0.0,396
EDC,109,0.0,418
EDN,249,0.0,599
EEM,198,0.0,122
EGH,243,0.0,614
EGHM,244,0.0,614
EHS,183,0.0,587
EHV,184,0.0,511
EKZ,209,0.0,741
EML,90,0.0,28
EMN,54,0.0,32
EMNZ,50,0.0,31
ES,28,0.0,89
ESK,24,0.0,89
EST,101,0.0,396
ETN,206,0.0,847
FN,159,0.0,42
FWD,156,0.0,42
