station,distance,services_per_day,n_of_disruptions
AC,55,0,127
AH,98,0,158
AHP,99,0,415
AHPR,101,0,417
AHZ,106,0,415
AKL,80,0,287
AKM,204,0,462
ALM,89,0,171
ALMB,95,0,302
ALMM,88,0,170
ALMO,97,0,302
ALMP,91,0,302
AMF,61,0,158
AMFS,64,0,398
AML,158,0,464
AMPO,86,0,170
AMR,89,0,240
AMRI,160,0,534
AMRN,90,0,315
ANA,119,0,326
APD,104,0,398
APDM,105,0,433
APDO,107,0,433
APG,267,0,492
APN,10,56.58064516129032,23
ARN,155,0,191
ASA,71,0,248
ASB,69,0,158
ASD,73,0,121
ASDL,66,0,171
ASDM,73,0,285
ASDZ,65,0,171
ASHD,70,0,172
ASN,205,0,412
ASS,69,0,171
ASSP,74,0,299
ATN,150,0,452
AVAT,67,0,404
BD,82,0,155
BDE,212,0,345
BDG,18,0,104
BDM,248,0,481
BDPB,77,0,277
BET,110,0,274
BF,252,0,481
BGN,103,0,160
BHDV,69,0,285
BHV,49,0,158
BK,205,0,345
BKF,123,0,256
BKG,122,0,252
BKL,43,0,94
BL,189,0,417
BLL,57,0,198
BMN,120,0,418
BMR,142,0,450
BN,167,0,534
BNC,80,0,399
BNK,48,0,158
BNN,77,0,398
BNZ,82,0,415
BP,246,0,429
BR,170,0,325
BRD,43,0,170
BRN,64,0,182
BSD,73,0,282
BSK,4,56.58064516129032,0
BSKS,3,56.58064516129032,0
BSMZ,63,0,159
BTL,100,0,231
BV,67,0,218
BZL,135,0,191
CAS,77,0,237
CK,132,0,447
CL,58,0,186
CO,182,0,432
CPS,21,0,85
CVM,222,0,362
DA,169,0,534
DB,52,0,158
DDN,162,0,448
DDR,52,0,155
DDRS,55,0,272
DDZD,53,0,272
DEI,226,0,429
DID,117,0,415
DL,139,0,412
DLD,52,0,178
DLN,186,0,446
DMN,76,0,299
DMNZ,71,0,248
DN,142,0,297
DR,114,0,415
DRH,62,0,217
DRON,138,0,316
DRP,233,0,443
DT,45,0,100
DTC,128,0,435
DTCH,126,0,435
DTCP,45,0,155
DV,119,0,398
DVC,123,0,464
DVD,69,0,245
DVN,107,0,417
DVNK,28,0,121
DWE,239,0,429
DZ,271,0,510
DZW,270,0,510
EC,185,0,342
ED,81,0,158
EDC,83,0,180
EDN,227,0,346
EEM,278,0,509
EGH,221,0,361
EGHM,222,0,361
EHS,119,0,350
EHV,120,0,231
EKZ,126,0,264
EML,84,0,401
EMN,202,0,447
EMNZ,198,0,446
ES,175,0,500
ESE,181,0,529
ESK,171,0,500
EST,109,0,415
ETN,93,0,478
FN,239,0,429
FWD,236,0,429
GBG,175,0,432
GBR,184,0,529
GD,8,56.58064516129032,0
GDG,11,0,85
GDM,66,0,239
GDR,133,0,452
GERP,231,0,465
GK,252,0,480
GLN,201,0,344
GN,233,0,465
GND,66,0,275
GNN,237,0,480
GO,152,0,440
GP,126,0,293
GR,75,0,285
GS,140,0,191
GV,37,0,85
GVC,36,0,85
GVM,36,0,206
GVMW,38,0,100
GW,209,0,419
GZ,92,0,478
HAD,50,0,121
HB,212,0,375
HBZM,63,0,275
HD,88,0,401
HDB,169,0,419
HDE,109,0,398
HDG,232,0,429
HDR,131,0,335
HDRZ,130,0,335
HFD,49,0,121
HGL,167,0,481
HGLG,165,0,481
HGLO,169,0,500
HGV,175,0,412
HGZ,244,0,488
HIL,43,0,121
HK,70,0,236
HKS,118,0,248
HLG,248,0,430
HLGH,249,0,434
HLM,54,0,161
HLMS,55,0,198
HLO,84,0,240
HM,133,0,293
HMBH,134,0,297
HMBV,130,0,293
HMH,132,0,293
HMN,97,0,285
HN,108,0,192
HNK,109,0,248
HNO,139,0,412
HNP,264,0,432
HON,138,0,464
HOR,52,0,158
HR,193,0,412
HRL,216,0,344
HRLW,218,0,361
HRN,227,0,465
HRT,160,0,325
HT,88,0,158
HTN,48,0,158
HTNC,49,0,186
HTO,89,0,231
HVL,67,0,398
HVS,58,0,158
HVSM,59,0,159
HVSP,57,0,158
HWD,96,0,316
HWZB,62,0,198
HZE,131,0,299
IJT,247,0,430
KBD,122,0,191
KBK,113,0,434
KLP,74,0,158
KMA,78,0,237
KMR,224,0,361
KMW,269,0,437
KPN,142,0,412
KPNZ,142,0,412
KRD,224,0,372
KRG,129,0,191
KTR,90,0,282
KW,241,0,486
KZ,77,0,195
LAA,37,0,114
LC,139,0,433
LDL,24,0,104
LDM,80,0,283
LEDN,25,0,111
LEER,302,0,504
LG,219,0,361
LLS,113,0,302
LLZM,21,0,85
LP,259,0,492
LTN,87,0,415
LTV,157,0,435
LUT,201,0,344
LW,222,0,412
LWC,225,0,429
MAS,47,0,158
MDB,159,0,191
MES,224,0,346
MG,232,0,429
MMLH,127,0,436
MP,155,0,412
MRB,161,0,419
MRN,60,0,190
MT,218,0,344
MTH,242,0,488
MTN,221,0,346
MTR,219,0,346
MZ,141,0,304
NDB,64,0,159
NH,209,0,375
NKK,72,0,398
NM,117,0,415
NMD,122,0,436
NMGO,120,0,436
NMH,120,0,436
NML,116,0,429
NS,100,0,398
NSCH,277,0,495
NVD,159,0,412
NVP,44,0,121
NWK,17,0,85
O,107,0,231
OBD,102,0,326
ODB,83,0,277
ODZ,178,0,500
OMN,150,0,419
OP,94,0,285
OST,129,0,464
OT,109,0,274
OTB,94,0,180
OVN,56,0,198
OW,106,0,234
PMO,90,0,193
PMR,89,0,192
PMW,88,0,195
PT,79,0,401
RAI,66,0,245
RAT,145,0,412
RB,119,0,191
RD,271,0,496
RH,108,0,418
RHN,83,0,193
RL,144,0,435
RLB,39,0,164
RM,172,0,293
RS,95,0,234
RSD,90,0,155
RSN,145,0,464
RSW,40,0,100
RTA,22,0,85
RTB,33,0,155
RTD,32,0,85
RTN,27,0,87
RTST,37,0,164
RTZ,36,0,164
RV,183,0,342
RVS,115,0,252
SBK,204,0,374
SD,60,0,182
SDA,260,0,486
SDM,36,0,155
SDT,62,0,274
SDTB,59,0,274
SGL,228,0,360
SGN,110,0,326
SHL,54,0,121
SK,244,0,429
SKND,243,0,429
SM,177,0,342
SN,206,0,375
SOG,226,0,361
SPTN,61,0,216
