Station Code,Distance from WADN,Services from/to WADN,Disruptions on path to WADN
AC,56,0.0,127
AH,99,0.0,158
AHP,100,0.0,415
AHPR,102,0.0,417
AHZ,107,0.0,415
AKL,81,0.0,287
AKM,205,0.0,462
ALM,90,0.0,171
ALMB,96,0.0,302
ALMM,89,0.0,170
ALMO,98,0.0,302
ALMP,92,0.0,302
AMF,62,0.0,158
AMFS,65,0.0,398
AML,159,0.0,464
AMPO,87,0.0,170
AMR,88,0.0,240
AMRI,161,0.0,534
AMRN,89,0.0,315
ANA,118,0.0,326
APD,105,0.0,398
APDM,106,0.0,433
APDO,108,0.0,433
APG,268,0.0,492
APN,9,56.58064516129032,23
ARN,156,0.0,191
ASA,70,0.0,248
ASB,70,0.0,158
ASD,72,0.0,121
ASDL,65,0.0,171
ASDM,72,0.0,285
ASDZ,64,0.0,171
ASHD,71,0.0,172
ASN,206,0.0,412
ASS,68,0.0,171
ASSP,73,0.0,299
ATN,151,0.0,452
AVAT,68,0.0,404
BD,83,0.0,155
BDE,213,0.0,345
BDG,17,0.0,104
BDM,249,0.0,481
BDPB,78,0.0,277
BET,111,0.0,274
BF,253,0.0,481
BGN,104,0.0,160
BHDV,70,0.0,285
BHV,50,0.0,158
BK,206,0.0,345
BKF,122,0.0,256
BKG,121,0.0,252
BKL,44,0.0,94
BL,190,0.0,417
BLL,56,0.0,198
BMN,121,0.0,418
BMR,143,0.0,450
BN,168,0.0,534
BNC,81,0.0,399
BNK,49,0.0,158
BNN,78,0.0,398
BNZ,83,0.0,415
BP,247,0.0,429
BR,171,0.0,325
BRD,44,0.0,170
BRN,65,0.0,182
BSD,74,0.0,282
BSK,3,56.58064516129032,0
BSKS,2,56.58064516129032,0
BSMZ,64,0.0,159
BTL,101,0.0,231
BV,66,0.0,218
BZL,136,0.0,191
CAS,76,0.0,237
CK,133,0.0,447
CL,59,0.0,186
CO,183,0.0,432
CPS,22,0.0,85
CVM,223,0.0,362
DA,170,0.0,534
DB,53,0.0,158
DDN,163,0.0,448
DDR,53,0.0,155
DDRS,56,0.0,272
DDZD,54,0.0,272
DEI,227,0.0,429
DID,118,0.0,415
DL,140,0.0,412
DLD,53,0.0,178
DLN,187,0.0,446
DMN,75,0.0,299
DMNZ,70,0.0,248
DN,143,0.0,297
DR,115,0.0,415
DRH,61,0.0,217
DRON,139,0.0,316
DRP,234,0.0,443
DT,46,0.0,100
DTC,129,0.0,435
DTCH,127,0.0,435
DTCP,46,0.0,155
DV,120,0.0,398
DVC,124,0.0,464
DVD,68,0.0,245
DVN,108,0.0,417
DVNK,27,0.0,121
DWE,240,0.0,429
DZ,272,0.0,510
DZW,271,0.0,510
EC,186,0.0,342
ED,82,0.0,158
EDC,84,0.0,180
EDN,228,0.0,346
EEM,279,0.0,509
EGH,222,0.0,361
EGHM,223,0.0,361
EHS,120,0.0,350
EHV,121,0.0,231
EKZ,125,0.0,264
EML,85,0.0,401
EMN,203,0.0,447
EMNZ,199,0.0,446
ES,176,0.0,500
ESK,172,0.0,500
EST,110,0.0,415
ETN,94,0.0,478
FN,240,0.0,429
FWD,237,0.0,429
GBG,176,0.0,432
GD,9,56.58064516129032,0
GDG,12,0.0,85
GDM,67,0.0,239
GDR,134,0.0,452
GERP,232,0.0,465
GK,253,0.0,480
GLN,202,0.0,344
GN,234,0.0,465
GND,67,0.0,275
GNN,238,0.0,480
GO,153,0.0,440
GP,127,0.0,293
GR,76,0.0,285
GS,141,0.0,191
GV,38,0.0,85
GVC,37,0.0,85
GVM,35,0.0,206
GVMW,39,0.0,100
GW,210,0.0,419
GZ,93,0.0,478
HAD,49,0.0,121
HB,213,0.0,375
HBZM,64,0.0,275
HD,89,0.0,401
HDB,170,0.0,419
HDE,110,0.0,398
HDG,233,0.0,429
HDR,130,0.0,335
HDRZ,129,0.0,335
HFD,48,0.0,121
HGL,168,0.0,481
HGLG,166,0.0,481
HGLO,170,0.0,500
HGV,176,0.0,412
HGZ,245,0.0,488
HIL,42,0.0,121
HK,69,0.0,236
HKS,117,0.0,248
HLG,249,0.0,430
HLGH,250,0.0,434
HLM,53,0.0,161
HLMS,54,0.0,198
HLO,83,0.0,240
HM,134,0.0,293
HMBH,135,0.0,297
HMBV,131,0.0,293
HMH,133,0.0,293
HMN,98,0.0,285
HN,107,0.0,192
HNK,108,0.0,248
HNO,140,0.0,412
HNP,265,0.0,432
HON,139,0.0,464
HOR,53,0.0,158
HR,194,0.0,412
HRL,217,0.0,344
HRLW,219,0.0,361
HRN,228,0.0,465
HRT,161,0.0,325
HT,89,0.0,158
HTN,49,0.0,158
HTNC,50,0.0,186
HTO,90,0.0,231
HVL,68,0.0,398
HVS,59,0.0,158
HVSM,60,0.0,159
HVSP,58,0.0,158
HWD,95,0.0,316
HWZB,61,0.0,198
HZE,132,0.0,299
IJT,248,0.0,430
KBD,123,0.0,191
KBK,114,0.0,434
KLP,75,0.0,158
KMA,77,0.0,237
KMR,225,0.0,361
KMW,270,0.0,437
KPN,143,0.0,412
KPNZ,143,0.0,412
KRD,225,0.0,372
KRG,130,0.0,191
KTR,91,0.0,282
KW,242,0.0,486
KZ,76,0.0,195
LAA,38,0.0,114
LC,140,0.0,433
LDL,23,0.0,104
LDM,81,0.0,283
LEDN,24,0.0,111
LG,220,0.0,361
LLS,114,0.0,302
LLZM,22,0.0,85
LP,260,0.0,492
LTN,88,0.0,415
LTV,158,0.0,435
LUT,202,0.0,344
LW,223,0.0,412
LWC,226,0.0,429
MAS,48,0.0,158
MDB,160,0.0,191
MES,225,0.0,346
MG,233,0.0,429
MMLH,128,0.0,436
MP,156,0.0,412
MRB,162,0.0,419
MRN,61,0.0,190
MT,219,0.0,344
MTH,243,0.0,488
MTN,222,0.0,346
MTR,220,0.0,346
MZ,142,0.0,304
NDB,65,0.0,159
NH,210,0.0,375
NKK,73,0.0,398
NM,118,0.0,415
NMD,123,0.0,436
