Station Code,Distance from WD,Services from/to WD,Disruptions on path to WD
AC,31,36.483870967741936,33
AH,74,0.0,73
AHP,75,0.0,330
AHPR,77,0.0,330
AHZ,82,0.0,330
AKL,63,0.0,117
AKM,180,0.0,304
ALM,63,0.0,17
ALMB,69,0.0,148
ALMM,62,0.0,166
ALMO,71,0.0,148
ALMP,65,0.0,148
AMF,37,0.0,0
AMFS,40,0.0,240
AML,134,0.0,306
AMPO,60,0.0,166
AMR,85,2.838709677419355,285
AMRI,136,0.0,376
AMRN,86,0.0,360
ANA,115,0.0,371
APD,80,0.0,240
APDM,81,0.0,275
APDO,83,0.0,275
APG,243,0.0,334
APN,19,41.96774193548387,9
ARN,163,0.0,160
ASA,40,36.516129032258064,14
ASB,36,36.516129032258064,0
ASD,46,36.54838709677419,0
ASDL,53,0.0,258
ASDM,42,36.483870967741936,14
ASDZ,42,0.0,14
ASHD,35,36.483870967741936,160
ASN,181,0.0,254
ASS,50,36.2258064516129,258
ASSP,43,0.0,28
ATN,126,0.0,367
AVAT,43,0.0,246
BD,90,0.0,155
BDE,188,0.0,262
BDG,11,41.96774193548387,0
BDM,224,0.0,323
BDPB,85,0.0,277
BET,86,0.0,73
BF,228,0.0,323
BGN,111,0.0,276
BHDV,74,0.0,137
BHV,25,0.0,73
BK,181,0.0,263
BKF,104,0.0,343
BKG,103,0.0,339
BKL,19,36.483870967741936,0
BL,165,0.0,254
BLL,66,0.0,107
BMN,96,0.0,333
BMR,118,0.0,365
BN,143,0.0,376
BNC,56,0.0,241
BNK,24,0.0,73
BNN,53,0.0,240
BNZ,58,0.0,257
BP,222,0.0,257
BR,146,0.0,243
BRD,51,0.0,161
BRN,40,0.0,97
BSD,49,0.0,116
BSK,25,0.0,90
BSKS,26,0.0,113
BSMZ,39,0.0,74
BTL,76,0.0,146
BV,75,0.0,279
BZL,143,0.0,307
CAS,73,2.838709677419355,282
CK,108,0.0,362
CL,34,36.25806451612903,101
CO,158,0.0,274
CPS,29,36.483870967741936,85
CVM,198,0.0,280
DA,145,0.0,376
DB,28,0.0,73
DDN,138,0.0,290
DDR,60,0.0,155
DDRS,63,0.0,272
DDZD,61,0.0,272
DEI,202,0.0,257
DID,93,0.0,330
DL,115,0.0,254
DLD,28,0.0,93
DLN,162,0.0,288
DMN,45,0.0,28
DMNZ,40,0.0,17
DN,118,0.0,215
DR,90,0.0,330
DRH,71,0.0,108
DRON,112,0.0,162
DRP,209,0.0,271
DT,53,0.0,100
DTC,104,0.0,350
DTCH,102,0.0,350
DTCP,53,0.0,155
DV,95,0.0,240
DVC,99,0.0,275
DVD,38,36.516129032258064,14
DVN,83,0.0,332
DVNK,37,0.0,107
DWE,215,0.0,257
DZ,247,0.0,352
DZW,246,0.0,352
EC,161,0.0,260
ED,57,0.0,73
EDC,59,0.0,95
EDN,203,0.0,264
EEM,254,0.0,351
EGH,197,0.0,279
EGHM,198,0.0,279
EHS,95,0.0,149
EHV,96,0.0,149
EKZ,107,0.0,351
EML,60,0.0,240
EMN,178,0.0,289
EMNZ,174,0.0,288
ES,151,0.0,342
ESK,147,0.0,342
EST,85,0.0,330
ETN,101,0.0,478
FN,215,0.0,257
FWD,212,0.0,257
GBG,151,0.0,274
GD,16,74.06451612903226,0
GDG,13,74.0,0
GDM,42,36.25806451612903,73
GDR,109,0.0,367
GERP,207,0.0,307
