Station Code,Distance from WDN,Services from/to WDN,Disruptions on path to WDN
AC,137,0.0,388
AH,79,0.0,10
AHP,78,0.0,14
AHPR,76,0.0,13
AHZ,87,0.0,267
AKL,156,0.0,328
AKM,117,0.0,76
ALM,121,0.0,37
ALMB,115,0.0,37
ALMM,122,0.0,168
ALMO,113,0.0,26
ALMP,119,0.0,42
AMF,92,0.0,42
AMFS,95,0.0,282
AML,5,70.74193548387096,0
AMPO,124,0.0,169
AMR,176,0.0,581
AMRI,7,44.25806451612903,70
AMRN,177,0.0,656
ANA,206,0.0,667
APD,49,27.806451612903224,7
APDM,50,0.0,42
APDO,46,27.806451612903224,7
APG,180,0.0,106
APN,148,0.0,292
ARN,273,0.0,723
ASA,134,0.0,286
ASB,134,0.0,286
ASD,137,0.0,296
ASDL,144,0.0,554
ASDM,133,0.0,282
ASDZ,136,0.0,283
ASHD,135,0.0,300
ASN,118,0.0,26
ASS,141,0.0,554
ASSP,132,0.0,301
ATN,107,0.0,21
AVAT,98,0.0,288
BD,184,0.0,395
BDE,223,0.0,468
BDG,140,0.0,283
BDM,161,0.0,95
BDPB,189,0.0,718
BET,163,0.0,382
BF,165,0.0,95
BGN,221,0.0,723
BHDV,167,0.0,348
BHV,104,0.0,286
BK,216,0.0,469
BKF,195,0.0,639
BKG,194,0.0,635
BKL,125,0.0,355
BL,102,0.0,26
BLL,159,0.0,591
BMN,57,0.0,7
BMR,123,0.0,302
BN,14,44.25806451612903,70
BNC,111,0.0,283
BNK,121,0.0,355
BNN,108,0.0,282
BNZ,109,0.0,290
BP,159,0.0,43
BR,158,0.0,331
BRD,180,0.0,516
BRN,101,0.0,282
BSD,142,0.0,327
BSK,154,0.0,373
BSKS,155,0.0,396
BSMZ,113,0.0,283
BTL,153,0.0,382
BV,166,0.0,575
BZL,253,0.0,754
CAS,164,0.0,578
CK,113,0.0,299
CL,131,0.0,383
CO,45,0.0,87
CPS,158,0.0,440
CVM,233,0.0,486
DA,16,0.0,70
DB,125,0.0,289
DDN,24,0.0,89
DDR,184,0.0,359
DDRS,181,0.0,359
DDZD,185,0.0,476
DEI,139,0.0,43
DID,96,0.0,19
DL,46,0.0,74
DLD,101,0.0,282
DLN,49,0.0,101
DMN,130,0.0,300
DMNZ,130,0.0,283
DN,186,0.0,383
DR,63,0.0,7
DRH,164,0.0,592
DRON,72,0.0,26
DRP,146,0.0,57
DT,182,0.0,455
DTC,107,0.0,39
DTCH,105,0.0,39
DTCP,182,0.0,510
DV,34,29.93548387096774,7
DVC,30,29.93548387096774,7
DVD,132,0.0,283
DVN,86,0.0,16
DVNK,166,0.0,390
DWE,152,0.0,43
DZ,184,0.0,124
DZW,183,0.0,124
EC,196,0.0,466
ED,96,0.0,267
EDC,98,0.0,289
EDN,238,0.0,470
EEM,191,0.0,123
EGH,232,0.0,485
EGHM,233,0.0,485
EHS,172,0.0,458
EHV,173,0.0,382
EKZ,198,0.0,647
EML,83,0.0,29
EMN,65,0.0,102
EMNZ,61,0.0,101
ES,27,46.54838709677419,89
ESK,23,44.25806451612903,89
EST,90,0.0,267
ETN,195,0.0,718
FN,152,0.0,43
FWD,149,0.0,43
GBG,38,0.0,87
GD,145,0.0,355
GDG,142,0.0,355
GDM,135,0.0,284
GDR,112,0.0,56
GERP,144,0.0,79
GK,165,0.0,94
GLN,212,0.0,468
GN,146,0.0,79
GND,170,0.0,348
GNN,150,0.0,94
GO,34,0.0,122
GP,179,0.0,444
GR,161,0.0,346
GS,258,0.0,723
GV,174,0.0,440
GVC,173,0.0,358
GVM,174,0.0,475
GVMW,175,0.0,455
GW,122,0.0,83
GZ,174,0.0,397
HAD,160,0.0,575
HB,223,0.0,499
HBZM,173,0.0,358
HD,79,0.0,26
HDB,32,0.0,74
HDE,58,0.0,26
HDG,145,0.0,43
HDR,218,0.0,676
HDRZ,217,0.0,676
HFD,152,0.0,357
HGL,19,46.54838709677419,70
HGLG,21,0.0,89
HGLO,21,0.0,89
HGV,88,0.0,26
HGZ,157,0.0,102
HIL,167,0.0,575
HK,163,0.0,614
HKS,190,0.0,631
HLG,161,0.0,44
HLGH,162,0.0,48
HLM,156,0.0,554
HLMS,155,0.0,575
HLO,171,0.0,581
HM,186,0.0,425
HMBH,187,0.0,429
HMBV,183,0.0,444
HMH,185,0.0,444
HMN,104,0.0,281
HN,180,0.0,575
HNK,181,0.0,631
HNO,28,37.935483870967744,12
HNP,177,0.0,46
HON,15,29.93548387096774,7
