station,distance,services_per_day,n_of_disruptions
AC,120,0,425
AH,62,0,79
AHP,61,0,83
AHPR,59,0,82
AHZ,70,0,336
AKL,139,0,397
AKM,91,0,64
ALM,95,0,25
ALMB,89,0,25
ALMM,96,0,156
ALMO,87,0,14
ALMP,93,0,30
AMF,75,0,76
AMFS,77,0,14
AML,56,0,76
AMPO,98,0,157
AMR,159,0,602
AMRI,58,0,146
AMRN,160,0,677
ANA,189,0,688
APD,32,0,76
APDM,33,0,111
APDO,29,0,76
APG,154,0,94
APN,131,0,326
ARN,256,0,823
ASA,117,0,320
ASB,117,0,320
ASD,120,0,317
ASDL,127,0,596
ASDM,116,0,335
ASDZ,119,0,320
ASHD,118,0,334
ASN,92,0,14
ASS,124,0,575
ASSP,115,0,335
ATN,90,0,90
AVAT,74,0,20
BD,167,0,464
BDE,206,0,538
BDG,123,0,317
BDM,135,0,83
BDPB,172,0,787
BET,146,0,494
BF,139,0,83
BGN,204,0,792
BHDV,150,0,417
BHV,87,0,320
BK,199,0,538
BKF,178,0,660
BKG,177,0,656
BKL,108,0,392
BL,76,0,19
BLL,142,0,612
BMN,40,0,76
BMR,106,0,371
BN,65,0,146
BNC,94,0,317
BNK,104,0,389
BNN,91,0,316
BNZ,92,0,359
BP,133,0,31
BR,141,0,400
BRD,163,0,559
BRN,84,0,316
BSD,125,0,396
BSK,137,0,407
BSKS,138,0,430
BSMZ,96,0,317
BTL,136,0,451
BV,149,0,635
BZL,236,0,823
CAS,147,0,599
CK,96,0,368
CL,114,0,417
CO,69,0,34
CPS,141,0,474
CVM,216,0,555
DA,56,0,24
DB,108,0,389
DDN,73,0,91
DDR,167,0,430
DDRS,164,0,428
DDZD,168,0,547
DEI,113,0,31
DID,79,0,88
DL,26,0,14
DLD,84,0,316
DLN,73,0,48
DMN,113,0,334
DMNZ,113,0,334
DN,169,0,452
DR,46,0,76
DRH,147,0,631
DRON,46,0,14
DRP,120,0,45
DT,165,0,489
DTC,90,0,108
DTCH,88,0,108
DTCP,165,0,544
DV,17,0,10
DVC,21,0,76
DVD,115,0,317
DVN,69,0,85
DVNK,149,0,424
DWE,126,0,31
DZ,158,0,112
DZW,157,0,112
EC,179,0,535
ED,79,0,336
EDC,81,0,358
EDN,221,0,539
EEM,165,0,111
EGH,215,0,554
EGHM,216,0,554
EHS,155,0,570
EHV,156,0,451
EKZ,181,0,668
EML,57,0,17
EMN,89,0,49
EMNZ,85,0,48
ES,78,0,165
ESE,84,0,194
ESK,74,0,165
EST,73,0,336
ETN,178,0,787
FN,126,0,31
FWD,123,0,31
GBG,62,0,34
GBR,87,0,194
GD,128,0,389
GDG,125,0,317
GDM,118,0,353
GDR,95,0,125
GERP,118,0,67
GK,139,0,82
GLN,195,0,537
GN,120,0,67
GND,153,0,417
GNN,124,0,82
GO,63,0,83
GP,162,0,513
GR,144,0,415
GS,241,0,823
GV,157,0,474
GVC,156,0,474
GVM,157,0,509
GVMW,158,0,489
GW,96,0,21
GZ,157,0,466
HAD,143,0,612
HB,206,0,568
HBZM,156,0,427
HD,53,0,14
HDB,56,0,21
HDE,32,0,14
HDG,119,0,31
HDR,201,0,697
HDRZ,200,0,697
HFD,135,0,444
HGL,70,0,146
HGLG,72,0,165
HGLO,72,0,165
HGV,62,0,14
HGZ,131,0,90
HIL,150,0,652
HK,146,0,635
HKS,173,0,652
HLG,135,0,32
HLGH,136,0,36
HLM,139,0,575
HLMS,138,0,596
HLO,154,0,602
HM,169,0,513
HMBH,170,0,517
HMBV,166,0,513
HMH,168,0,513
HMN,87,0,350
HN,163,0,596
HNK,164,0,652
