Station Code,Distance from WK,Services from/to WK,Disruptions on path to WK
AC,244,0.0,366
AH,209,0.0,113
AHP,208,0.0,117
AHPR,206,0.0,116
AHZ,217,0.0,370
AKL,267,0.0,377
AKM,56,0.0,22
ALM,214,0.0,45
ALMB,208,0.0,45
ALMM,215,0.0,176
ALMO,206,0.0,34
ALMP,212,0.0,50
AMF,199,0.0,20
AMFS,196,0.0,34
AML,178,0.0,55
AMPO,217,0.0,177
AMR,283,0.0,319
AMRI,180,0.0,125
AMRN,284,0.0,394
ANA,313,0.0,405
APD,179,0.0,34
APDM,180,0.0,69
APDO,176,0.0,110
APG,126,0.0,47
APN,255,0.0,270
ARN,398,0.0,530
ASA,241,0.0,38
ASB,241,0.0,38
ASD,244,0.0,34
ASDL,251,0.0,292
ASDM,240,0.0,260
ASDZ,243,0.0,35
ASHD,242,0.0,52
ASN,120,0.0,35
ASS,248,0.0,292
ASSP,239,0.0,53
ATN,237,0.0,124
AVAT,193,0.0,40
BD,311,0.0,419
BDE,353,0.0,571
BDG,247,0.0,261
BDM,107,0.0,36
BDPB,316,0.0,742
BET,290,0.0,333
BF,111,0.0,36
BGN,346,0.0,529
BHDV,278,0.0,397
BHV,211,0.0,264
BK,346,0.0,572
BKF,302,0.0,377
BKG,301,0.0,373
BKL,232,0.0,333
BL,136,0.0,88
BLL,266,0.0,329
BMN,187,0.0,110
BMR,253,0.0,405
BN,187,0.0,125
BNC,218,0.0,261
BNK,228,0.0,333
BNN,215,0.0,260
BNZ,220,0.0,277
BP,62,0.0,20
BR,288,0.0,434
BRD,287,0.0,494
BRN,208,0.0,260
BSD,253,0.0,376
BSK,261,0.0,351
BSKS,262,0.0,374
BSMZ,220,0.0,35
BTL,280,0.0,406
BV,273,0.0,313
BZL,378,0.0,560
CAS,271,0.0,316
CK,243,0.0,402
CL,238,0.0,361
CO,188,0.0,54
CPS,265,0.0,418
CVM,363,0.0,589
DA,175,0.0,44
DB,232,0.0,333
DDN,197,0.0,144
DDR,295,0.0,408
DDRS,292,0.0,408
DDZD,296,0.0,525
DEI,42,0.0,20
DID,226,0.0,122
DL,145,0.0,34
DLD,208,0.0,260
DLN,192,0.0,68
DMN,237,0.0,52
DMNZ,237,0.0,35
DN,316,0.0,486
DR,193,0.0,110
DRH,271,0.0,330
DRON,165,0.0,34
DRP,49,0.0,34
DT,289,0.0,433
DTC,237,0.0,142
DTCH,235,0.0,142
DTCP,289,0.0,488
DV,164,0.0,44
DVC,168,0.0,110
DVD,239,0.0,35
DVN,216,0.0,119
DVNK,273,0.0,368
DWE,55,0.0,20
DZ,130,0.0,65
DZW,129,0.0,65
EC,326,0.0,569
ED,226,0.0,370
EDC,228,0.0,392
EDN,368,0.0,573
EEM,137,0.0,64
