station,distance,services_per_day,n_of_disruptions
AC,271,0,455
AH,236,0,185
AHP,235,0,189
AHPR,233,0,188
AHZ,244,0,442
AKL,294,0,544
AKM,130,0,96
ALM,241,0,117
ALMB,235,0,117
ALMM,242,0,248
ALMO,233,0,106
ALMP,239,0,122
AMF,226,0,106
AMFS,223,0,106
AML,205,0,118
AMPO,244,0,249
AMR,310,0,533
AMRI,207,0,188
AMRN,311,0,608
ANA,340,0,619
APD,206,0,106
APDM,207,0,141
APDO,203,0,182
APG,92,0,66
APN,282,0,356
ARN,425,0,730
ASA,268,0,251
ASB,268,0,251
ASD,271,0,248
ASDL,278,0,527
ASDM,267,0,365
ASDZ,270,0,248
ASHD,269,0,265
ASN,82,0,39
ASS,275,0,506
ASSP,266,0,365
ATN,264,0,196
AVAT,220,0,112
BD,338,0,505
BDE,380,0,644
BDG,274,0,347
BDM,73,0,55
BDPB,343,0,828
BET,317,0,535
BF,77,0,55
BGN,373,0,699
BHDV,305,0,564
BHV,238,0,350
BK,373,0,644
BKF,329,0,591
BKG,328,0,587
BKL,259,0,422
BL,98,0,92
BLL,293,0,543
BMN,214,0,182
BMR,280,0,477
BN,214,0,188
BNC,245,0,347
BNK,255,0,419
BNN,242,0,346
BNZ,247,0,363
BP,88,0,54
BR,315,0,506
BRD,314,0,589
BRN,235,0,346
BSD,280,0,543
BSK,288,0,437
BSKS,289,0,460
BSMZ,247,0,347
BTL,307,0,492
BV,300,0,566
BZL,405,0,730
CAS,298,0,530
CK,270,0,474
CL,265,0,447
CO,215,0,126
CPS,292,0,504
CVM,390,0,661
DA,202,0,116
DB,259,0,419
DDN,224,0,207
DDR,322,0,577
DDRS,319,0,575
DDZD,323,0,694
DEI,116,0,94
DID,253,0,194
DL,172,0,106
DLD,235,0,346
DLN,219,0,140
DMN,264,0,364
DMNZ,264,0,364
DN,343,0,558
DR,220,0,182
DRH,298,0,562
DRON,192,0,106
DRP,123,0,108
DT,316,0,519
DTC,264,0,214
DTCH,262,0,214
DTCP,316,0,574
DV,191,0,116
DVC,195,0,182
DVD,266,0,248
DVN,243,0,191
DVNK,300,0,454
DWE,95,0,77
DZ,96,0,84
DZW,95,0,84
EC,353,0,641
ED,253,0,442
EDC,255,0,464
EDN,395,0,645
EEM,103,0,83
EGH,389,0,660
EGHM,390,0,660
EHS,326,0,611
EHV,327,0,492
EKZ,332,0,599
EML,203,0,109
EMN,235,0,141
EMNZ,231,0,140
ES,227,0,207
ESE,233,0,236
ESK,223,0,207
EST,247,0,442
ETN,349,0,828
FN,129,0,94
FWD,98,0,77
GBG,208,0,126
GBR,236,0,236
GD,279,0,419
GDG,276,0,347
GDM,273,0,500
GDR,269,0,231
GERP,56,0,18
GK,77,0,54
GLN,369,0,643
GN,58,0,39
GND,308,0,564
GNN,62,0,54
GO,234,0,240
GP,333,0,554
GR,299,0,562
GS,410,0,730
GV,308,0,504
GVC,307,0,504
GVM,308,0,539
GVMW,309,0,519
GW,125,0,94
GZ,328,0,507
HAD,294,0,543
HB,380,0,674
HBZM,311,0,574
HD,199,0,106
HDB,202,0,113
HDE,178,0,106
HDG,102,0,77
HDR,352,0,628
HDRZ,351,0,628
HFD,286,0,372
HGL,219,0,188
HGLG,221,0,207
HGLO,221,0,207
HGV,112,0,92
HGZ,43,0,22
HIL,301,0,583
HK,297,0,566
HKS,324,0,583
HLG,138,0,95
HLGH,139,0,99
HLM,290,0,506
HLMS,289,0,527
HLO,305,0,533
HM,340,0,554
HMBH,341,0,558
HMBV,337,0,554
HMH,339,0,554
HMN,261,0,456
HN,314,0,527
HNK,315,0,583
HNO,172,0,106
HNP,154,0,97
HON,210,0,182
HOR,248,0,347
HR,141,0,94
HRL,384,0,643
HRLW,386,0,660
HRN,60,0,39
HRT,325,0,558
HT,295,0,419
HTN,255,0,419
HTNC,256,0,447
HTO,296,0,492
HVL,232,0,346
HVS,242,0,346
HVSM,243,0,347
HVSP,243,0,347
HWD,317,0,609
HWZB,282,0,527
HZE,338,0,560
IJT,137,0,95
KBD,392,0,730
KBK,215,0,142
KLP,260,0,464
KMA,289,0,540
KMR,392,0,660
KMW,159,0,102
KPN,175,0,106
KPNZ,175,0,106
KRD,392,0,671
KRG,399,0,730
KTR,268,0,456
KW,46,0,23
KZ,283,0,530
LAA,308,0,533
LC,224,0,182
LDL,296,0,437
LDM,287,0,544
LEDN,297,0,444
LEER,15,0,0
LG,387,0,660
LLS,217,0,106
LLZM,292,0,504
LP,84,0,66
LTN,252,0,363
LTV,242,0,184
