station,distance,services_per_day,n_of_disruptions
AC,249,0,446
AH,214,0,176
AHP,213,0,180
AHPR,211,0,179
AHZ,222,0,433
AKL,272,0,535
AKM,108,0,87
ALM,219,0,108
ALMB,213,0,108
ALMM,220,0,239
ALMO,211,0,97
ALMP,217,0,113
AMF,204,0,97
AMFS,201,0,97
AML,183,0,109
AMPO,222,0,240
AMR,288,0,524
AMRI,185,0,179
AMRN,289,0,599
ANA,318,0,610
APD,184,0,97
APDM,185,0,132
APDO,181,0,173
APG,70,0,57
APN,260,0,347
ARN,403,0,721
ASA,246,0,242
ASB,246,0,242
ASD,249,0,239
ASDL,256,0,518
ASDM,245,0,356
ASDZ,248,0,239
ASHD,247,0,256
ASN,60,0,30
ASS,253,0,497
ASSP,244,0,356
ATN,242,0,187
AVAT,198,0,103
BD,316,0,496
BDE,358,0,635
BDG,252,0,338
BDM,51,0,46
BDPB,321,0,819
BET,295,0,526
BF,55,0,46
BGN,351,0,690
BHDV,283,0,555
BHV,216,0,341
BK,351,0,635
BKF,307,0,582
BKG,306,0,578
BKL,237,0,413
BL,76,0,83
BLL,271,0,534
BMN,192,0,173
BMR,258,0,468
BN,192,0,179
BNC,223,0,338
BNK,233,0,410
BNN,220,0,337
BNZ,225,0,354
BP,66,0,45
BR,293,0,497
BRD,292,0,580
BRN,213,0,337
BSD,258,0,534
BSK,266,0,428
BSKS,267,0,451
BSMZ,225,0,338
BTL,285,0,483
BV,278,0,557
BZL,383,0,721
CAS,276,0,521
CK,248,0,465
CL,243,0,438
CO,193,0,117
CPS,270,0,495
CVM,368,0,652
DA,180,0,107
DB,237,0,410
DDN,202,0,198
DDR,300,0,568
DDRS,297,0,566
DDZD,301,0,685
DEI,94,0,85
DID,231,0,185
DL,150,0,97
DLD,213,0,337
DLN,197,0,131
DMN,242,0,355
DMNZ,242,0,355
DN,321,0,549
DR,198,0,173
DRH,276,0,553
DRON,170,0,97
DRP,101,0,99
DT,294,0,510
DTC,242,0,205
DTCH,240,0,205
DTCP,294,0,565
DV,169,0,107
DVC,173,0,173
DVD,244,0,239
DVN,221,0,182
DVNK,278,0,445
DWE,73,0,68
DZ,74,0,75
DZW,73,0,75
EC,331,0,632
ED,231,0,433
EDC,233,0,455
EDN,373,0,636
EEM,81,0,74
EGH,367,0,651
EGHM,368,0,651
EHS,304,0,602
EHV,305,0,483
EKZ,310,0,590
EML,181,0,100
EMN,213,0,132
EMNZ,209,0,131
ES,205,0,198
ESE,211,0,227
ESK,201,0,198
EST,225,0,433
ETN,327,0,819
FN,107,0,85
FWD,76,0,68
GBG,186,0,117
GBR,214,0,227
GD,257,0,410
GDG,254,0,338
GDM,251,0,491
GDR,247,0,222
GERP,34,37.83870967741935,9
GK,55,0,45
GLN,347,0,634
GN,36,37.83870967741935,30
GND,286,0,555
GNN,40,0,45
GO,212,0,231
GP,311,0,545
GR,277,0,553
GS,388,0,721
GV,286,0,495
GVC,285,0,495
GVM,286,0,530
GVMW,287,0,510
GW,103,0,85
GZ,306,0,498
HAD,272,0,534
HB,358,0,665
HBZM,289,0,565
HD,177,0,97
HDB,180,0,104
HDE,156,0,97
HDG,80,0,68
HDR,330,0,619
HDRZ,329,0,619
HFD,264,0,363
HGL,197,0,179
HGLG,199,0,198
HGLO,199,0,198
HGV,90,0,83
