station,distance,services_per_day,n_of_disruptions
AC,233,0,432
AH,198,0,162
AHP,197,0,166
AHPR,195,0,165
AHZ,206,0,419
AKL,256,0,521
AKM,88,0,58
ALM,203,0,94
ALMB,197,0,94
ALMM,204,0,225
ALMO,195,0,83
ALMP,201,0,99
AMF,188,0,83
AMFS,185,0,83
AML,167,0,95
AMPO,206,0,226
AMR,272,0,510
AMRI,169,0,165
AMRN,273,0,585
ANA,302,0,596
APD,168,0,83
APDM,169,0,118
APDO,165,0,159
APG,28,0,12
APN,244,0,333
ARN,387,0,707
ASA,230,0,228
ASB,230,0,228
ASD,233,0,225
ASDL,240,0,504
ASDM,229,0,342
ASDZ,232,0,225
ASHD,231,0,242
ASN,44,0,16
ASS,237,0,483
ASSP,228,0,342
ATN,226,0,173
AVAT,182,0,89
BD,300,0,482
BDE,342,0,621
BDG,236,0,324
BDM,9,0,1
BDPB,305,0,805
BET,279,0,512
BF,3,33.935483870967744,0
BGN,335,0,676
BHDV,267,0,541
BHV,200,0,327
BK,335,0,621
BKF,291,0,568
BKG,290,0,564
BKL,221,0,399
BL,60,0,69
BLL,255,0,520
BMN,176,0,159
BMR,242,0,454
BN,176,0,165
BNC,207,0,324
BNK,217,0,396
BNN,204,0,323
BNZ,209,0,340
BP,46,0,16
BR,277,0,483
BRD,276,0,566
BRN,197,0,323
BSD,242,0,520
BSK,250,0,414
BSKS,251,0,437
BSMZ,209,0,324
BTL,269,0,469
BV,262,0,543
BZL,367,0,707
CAS,260,0,507
CK,232,0,451
CL,227,0,424
CO,177,0,103
CPS,254,0,481
CVM,352,0,638
DA,164,0,93
DB,221,0,396
DDN,186,0,184
DDR,284,0,554
DDRS,281,0,552
DDZD,285,0,671
DEI,74,0,56
DID,215,0,171
DL,134,0,83
DLD,197,0,323
DLN,181,0,117
DMN,226,0,341
DMNZ,226,0,341
DN,305,0,535
DR,182,0,159
DRH,260,0,539
DRON,154,0,83
DRP,81,0,70
DT,278,0.12903225806451613,496
DTC,226,0,191
DTCH,224,0,191
DTCP,278,0,551
DV,153,0,93
DVC,157,0,159
DVD,228,0,225
DVN,205,0,168
DVNK,262,0,431
DWE,53,0,39
DZ,32,0,30
DZW,31,0,30
EC,315,0,618
ED,215,0,419
EDC,217,0,441
EDN,357,0,622
EEM,29,4.709677419354839,28
EGH,351,0,637
EGHM,352,0,637
EHS,288,0,588
EHV,289,0,469
EKZ,294,0,576
EML,165,0,86
EMN,197,0,118
EMNZ,193,0,117
ES,189,0,184
ESE,195,0,213
ESK,185,0,184
EST,209,0,419
ETN,311,0,805
FN,87,0,56
FWD,56,0,39
GBG,170,0,103
GBR,198,0,213
GD,241,0,396
GDG,238,0,324
GDM,235,0,477
GDR,231,0,208
GERP,18,0,16
GK,35,0,16
GLN,331,0,620
GN,16,34.0,1
GND,270,0,541
GNN,12,34.0,1
GO,196,0,217
GP,295,0,531
GR,261,0,539
GS,372,0,707
GV,270,0.0967741935483871,481
GVC,269,0.03225806451612903,481
GVM,270,0,516
GVMW,271,0.12903225806451613,496
GW,83,0,56
GZ,290,0,484
HAD,256,0,520
HB,342,0,651
HBZM,273,0,551
HD,161,0,83
HDB,164,0,90
HDE,140,0,83
HDG,60,0,39
HDR,314,0,605
HDRZ,313,0,605
HFD,248,0,349
HGL,181,0,165
HGLG,183,0,184
HGLO,183,0,184
HGV,74,0,69
HGZ,31,0,39
HIL,263,0,560
HK,259,0,543
HKS,286,0,560
HLG,96,0,57
HLGH,97,0,61
HLM,252,0,483
HLMS,251,0,504
HLO,267,0,510
HM,302,0,531
HMBH,303,0,535
