Station Code,Distance from WT,Services from/to WT,Disruptions on path to WT
AC,132,0.0,149
AH,122,0.0,140
AHP,123,0.0,397
AHPR,125,0.0,397
AHZ,114,0.0,172
AKL,103,0.0,160
AKM,272,0.0,493
ALM,157,0.0,202
ALMB,163,0.0,333
ALMM,156,0.0,201
ALMO,165,0.0,333
ALMP,159,0.0,333
AMF,129,0.0,189
AMFS,132,0.0,429
AML,206,0.0,466
AMPO,154,0.0,201
AMR,186,14.806451612903226,474
AMRI,208,0.0,536
AMRN,187,1.3548387096774193,549
ANA,216,1.3548387096774193,560
APD,169,0.0,400
APDM,168,0.0,401
APDO,172,0.0,435
APG,335,0.0,523
APN,143,0.0,199
ARN,175,0.0,390
ASA,141,47.80645161290322,189
ASB,137,5.451612903225806,189
ASD,147,47.80645161290322,189
ASDL,154,0.0,447
ASDM,143,0.0,226
ASDZ,143,0.0967741935483871,203
ASHD,136,0.0,276
ASN,273,0.0,443
ASS,151,37.096774193548384,447
ASSP,144,0.0,240
ATN,174,0.0,434
AVAT,135,0.0,435
BD,86,0.0,62
BDE,64,0.032258064516129,51
BDG,135,0.0,190
BDM,316,0.0,512
BDPB,91,0.0,385
BET,38,27.580645161290324,62
BF,320,0.0,512
BGN,123,0.0,390
BHDV,114,0.0,180
BHV,117,0.0,189
BK,57,0.0,52
BKF,205,22.29032258064516,532
BKG,204,22.29032258064516,528
BKL,120,0.032258064516129,116
BL,257,0.0,443
BLL,169,0.0,484
BMN,144,0.0,400
BMR,84,0.0,136
BN,201,0.0,467
BNC,148,0.0,430
BNK,114,0.0,240
BNN,145,0.0,429
BNZ,150,0.0,446
BP,314,0.0,446
BR,49,0.0,83
BRD,125,0.0,502
BRN,132,0.0,213
BSD,89,0.0,159
BSK,149,0.0,280
BSKS,150,0.0,303
BSMZ,131,0.0,190
BTL,48,27.64516129032258,0
BV,176,0.0,468
BZL,155,0.0,421
CAS,174,14.806451612903226,471
CK,94,0.0,164
CL,90,0.0,159
CO,246,0.0,553
CPS,147,0.0,457
