Station Code,Distance from WWW,Services from/to WWW,Disruptions on path to WWW
AC,147,0.0,419
AH,65,0.0,56
AHP,64,0.0,59
AHPR,66,0.0,61
AHZ,73,0.0,313
AKL,142,0.0,374
AKM,168,0.0,154
ALM,152,0.0,49
ALMB,158,0.0,180
ALMM,151,0.0,301
ALMO,160,0.0,180
ALMP,154,0.0,180
AMF,105,0.0,49
AMFS,108,0.0,289
AML,99,0.0,80
AMPO,149,0.0,301
AMR,189,0.0,588
AMRI,101,0.0,150
AMRN,190,0.0,663
ANA,219,0.0,674
APD,62,8.580645161290322,14
APDM,61,1.0,15
APDO,65,0.0,49
APG,231,0.0,184
APN,158,0.0,396
ARN,259,0.0,769
ASA,147,0.0,293
ASB,147,0.0,293
ASD,150,0.0,303
ASDL,157,0.0,561
ASDM,146,0.0,289
ASDZ,149,0.0,290
ASHD,148,0.0,307
ASN,169,0.0,104
ASS,154,0.0,561
ASSP,145,0.0,308
ATN,13,0.0,0
AVAT,111,0.0,295
BD,170,0.0,441
BDE,209,0.0,514
BDG,150,0.0,387
BDM,212,0.0,173
BDPB,175,0.0,764
BET,149,0.0,428
BF,216,0.0,173
BGN,207,0.0,769
BHDV,153,0.0,394
BHV,117,0.0,293
BK,202,0.0,515
BKF,208,0.0,646
BKG,207,0.0,642
BKL,135,0.0,386
BL,153,0.0,104
BLL,172,0.0,598
BMN,51,0.0,14
BMR,109,0.0,348
BN,94,0.0,81
BNC,97,0.0,336
BNK,115,0.0,367
BNN,100,0.0,352
BNZ,95,0.0,336
BP,210,0.0,121
BR,144,0.0,377
BRD,179,0.0,522
BRN,114,0.0,289
BSD,128,0.0,373
BSK,164,0.0,477
BSKS,165,0.0,500
BSMZ,126,0.0,290
BTL,139,0.0,428
BV,179,0.0,582
BZL,239,0.0,800
CAS,177,0.0,585
CK,99,0.0,345
CL,129,0.0,373
CO,139,0.0,167
CPS,168,0.0,471
CVM,219,0.0,532
DA,110,0.0,150
DB,111,0.0,335
DDN,84,0.0,29
DDR,170,0.0,405
DDRS,167,0.0,405
DDZD,171,0.0,522
DEI,190,0.0,121
DID,46,0.0,36
DL,103,0.0,104
DLD,114,0.0,289
DLN,143,0.0,181
DMN,143,0.0,307
DMNZ,143,0.0,290
DN,172,0.0,429
DR,57,0.0,14
DRH,177,0.0,599
DRON,123,0.0,104
DRP,197,0.0,135
DT,192,0.0,486
DTC,35,0.0,19
DTCH,37,0.0,36
DTCP,192,0.0,541
DV,60,0.0,14
DVC,64,0.0,80
DVD,145,0.0,290
DVN,56,0.0,56
DVNK,176,0.0,494
DWE,203,0.0,121
DZ,235,0.0,202
DZW,234,0.0,202
EC,182,0.0,512
ED,82,0.0,313
EDC,84,0.0,335
EDN,224,0.0,516
EEM,242,0.0,201
EGH,218,0.0,531
EGHM,219,0.0,531
EHS,158,0.0,504
EHV,159,0.0,428
EKZ,211,0.0,654
EML,128,0.0,289
EMN,159,0.0,182
EMNZ,155,0.0,181
ES,97,0.0,81
ESK,93,0.0,81
EST,76,0.0,313
ETN,181,0.0,764
FN,203,0.0,121
FWD,200,0.0,121
GBG,132,0.0,167
GD,155,0.0,386
GDG,152,0.0,386
GDM,121,0.0,330
GDR,30,0.0,19
GERP,195,0.0,157
GK,216,0.0,172
GLN,198,0.0,514
GN,197,0.0,157
GND,156,0.0,394
GNN,201,0.0,172
GO,74,0.0,21
GP,165,0.0,490
GR,147,0.0,392
GS,244,0.0,769
GV,184,0.0,471
GVC,183,0.0,389
GVM,184,0.0,579
GVMW,185,0.0,486
GW,173,0.0,161
GZ,160,0.0,443
HAD,173,0.0,582
HB,209,0.0,545
HBZM,159,0.0,404
HD,130,0.0,104
HDB,126,0.0,154
HDE,109,0.0,104
HDG,196,0.0,121
HDR,231,0.0,683
HDRZ,230,0.0,683
HFD,165,0.0,364
HGL,89,0.0,62
HGLG,87,0.0,62
HGLO,91,0.0,81
HGV,139,0.0,104
HGZ,208,0.0,180
HIL,180,0.0,582
HK,176,0.0,621
HKS,203,0.0,638
HLG,212,0.0,122
HLGH,213,0.0,126
HLM,169,0.0,561
HLMS,168,0.0,582
HLO,184,0.0,588
HM,172,0.0,471
HMBH,173,0.0,475
HMBV,169,0.0,490
HMH,171,0.0,490
HMN,90,0.0,327
HN,193,0.0,582
HNK,194,0.0,638
HNO,103,0.0,104
HNP,228,0.0,124
HON,79,0.0,14
HOR,127,0.0,290
HR,157,0.0,161
HRL,213,0.0,514
HRLW,215,0.0,531
HRN,191,0.0,157
HRT,154,0.0,429
HT,127,0.0,355
HTN,129,0.0,411
HTNC,130,0.0,439
HTO,126,0.0,355
HVL,110,0.0,353
HVS,121,0.0,289
HVSM,122,0.0,290
HVSP,122,0.0,290
HWD,196,0.0,664
HWZB,161,0.0,582
HZE,170,0.0,496
IJT,211,0.0,122
KBD,226,0.0,769
KBK,53,1.0,14
KLP,89,0.0,335
KMA,168,0.0,595
KMR,221,0.0,531
KMW,233,0.0,129
KPN,106,0.0,104
KPNZ,106,0.0,104
KRD,221,0.0,542
KRG,233,0.0,769
KTR,97,0.0,327
KW,205,0.0,178
KZ,162,0.0,585
LAA,184,0.0,418
LC,61,0.0,14
LDL,172,0.0,477
LDM,135,0.0,374
LEDN,173,0.0,484
LG,216,0.0,531
LLS,148,0.0,104
LLZM,168,0.0,471
LP,223,0.0,184
LTN,90,0.0,336
LTV,9,33.25806451612903,0
LUT,198,0.0,514
LW,186,0.0,104
LWC,189,0.0,121
MAS,130,0.0,386
MDB,263,0.0,796
MES,221,0.0,516
MG,196,0.0,121
MMLH,94,0.0,334
MP,119,0.0,104
MRB,118,0.0,151
MRN,119,0.0,367
MT,215,0.0,514
MTH,206,0.0,180
MTN,218,0.0,516
MTR,216,0.0,516
MZ,180,0.0,501
NDB,127,0.0,290
NH,206,0.0,545
NKK,116,0.0,289
NM,84,0.0,313
NMD,89,0.0,334
NMGO,87,0.0,334
NMH,87,0.0,334
NML,83,0.0,327
NS,118,0.0,104
NSCH,241,0.0,187
NVD,102,0.0,21
NVP,170,0.0,492
NWK,164,0.0,471
O,108,0.0,334
OBD,202,0.0,582
ODB,201,0.0,769
ODZ,100,0.0,81
OMN,114,0.0,111
OP,93,0.0,327
OST,70,0.0,80
OT,148,0.0,471
OTB,69,0.0,313
OVN,171,0.0,598
OW,109,0.0,355
PMO,175,0.0,561
PMR,174,0.0,582
PMW,173,0.0,585
PT,123,0.0,289
RAI,148,0.0,293
RAT,109,0.0,104
RB,223,0.0,800
RD,235,0.0,188
RH,63,0.0,17
RHN,142,0.0,370
RL,22,33.25806451612903,12
RLB,183,0.0,621
RM,169,0.0,463
RS,120,0.0,355
RSD,194,0.0,764
RSN,86,0.0,14
RSW,187,0.0,486
RTA,169,0.0,471
