Station Code,distance_WZ,services_per_day_WZ,n_of_disruptions_WZ
AC,102,0,362
AH,85,0,93
AHP,84,0,97
AHPR,82,0,96
AHZ,93,0,350
AKL,125,0,451
AKM,86,0,64
ALM,90,0,25
ALMB,84,0,25
ALMM,91,0,156
ALMO,82,0,14
ALMP,88,0,30
AMF,57,35.83870967741935,13
AMFS,54,35.83870967741935,27
AML,54,0,26
AMPO,93,0,157
AMR,141,0,539
AMRI,56,0,96
AMRN,142,0,614
ANA,171,0,625
APD,55,0,14
APDM,56,0,49
APDO,52,0,90
APG,149,0,94
APN,113,0,263
ARN,256,0,637
ASA,99,0,257
ASB,99,0,257
ASD,102,0,254
ASDL,109,0,533
ASDM,98,0,272
ASDZ,101,0,257
ASHD,100,0,271
ASN,87,0,14
ASS,106,0,512
ASSP,97,0,272
ATN,113,0,104
AVAT,51,35.83870967741935,19
BD,169,0,412
BDE,229,0,552
BDG,105,0,254
BDM,130,0,83
BDPB,174,0,735
BET,148,0,442
BF,134,0,83
BGN,204,0,606
BHDV,136,0,471
BHV,69,35.483870967741936,257
BK,222,0,552
BKF,160,0,597
BKG,159,0,593
BKL,90,0,329
BL,71,0,19
BLL,124,0,549
BMN,63,0,90
BMR,129,0,385
BN,63,0,96
BNC,76,0,254
BNK,86,0,326
BNN,73,0,253
BNZ,78,0,270
BP,128,0,31
BR,164,0,414
BRD,145,0,496
BRN,66,0,253
BSD,111,0,450
BSK,119,0,344
BSKS,120,0,367
BSMZ,78,0,254
BTL,138,0,399
BV,131,0,572
BZL,236,0,637
CAS,129,0,536
CK,119,0,382
CL,96,0,354
CO,64,0,34
CPS,123,0,411
CVM,239,0,569
DA,51,0,24
DB,90,0,326
DDN,73,0,115
DDR,153,0,484
DDRS,150,0,482
DDZD,154,0,601
DEI,108,0,31
DID,102,0,102
DL,21,0,14
DLD,66,35.483870967741936,253
DLN,68,0,48
DMN,95,0,271
DMNZ,95,0,271
DN,180,0,465
DR,69,0,90
DRH,129,0,568
DRON,41,0,14
DRP,115,0,45
DT,147,0,426
DTC,113,0,122
DTCH,111,0,122
DTCP,147,0,481
DV,40,0,24
DVC,44,0,90
DVD,97,0,254
DVN,92,0,99
DVNK,131,0,361
DWE,121,0,31
DZ,153,0,112
DZW,152,0,112
EC,202,0,549
ED,91,0,271
EDC,89,0,270
EDN,244,0,553
EEM,160,0,111
EGH,238,0,568
EGHM,239,0,568
EHS,157,0,518
EHV,158,0,399
EKZ,163,0,605
EML,34,35.83870967741935,16
EMN,84,0,49
EMNZ,80,0,48
ES,76,0,115
ESK,72,0,115
EST,96,0,350
ETN,180,0,735
FN,121,0,31
FWD,118,0,31
GBG,57,0,34
GD,110,0.03225806451612903,326
GDG,107,0,254
GDM,104,0,407
GDR,118,0,139
GERP,113,0,67
GK,134,0,82
GLN,218,0,551
GN,115,0,67
GND,139,0,471
GNN,119,0,82
GO,83,0,148
GP,164,0,461
GR,130,0,469
GS,241,0,637
GV,139,0,411
GVC,138,0,411
GVM,139,0,446
GVMW,140,0,426
GW,91,0,21
GZ,159,0,414
HAD,125,0,549
HB,229,0,582
HBZM,142,0,481
HD,30,35.83870967741935,13
HDB,51,0,21
HDE,9,35.87096774193548,0
HDG,114,0,31
HDR,183,0,634
HDRZ,182,0,634
HFD,117,0,381
HGL,68,0,96
HGLG,70,0,115
HGLO,70,0,115
HGV,57,0,14
HGZ,126,0,90
HIL,132,0,589
HK,128,0,572
HKS,155,0,589
HLG,130,0,32
HLGH,131,0,36
HLM,121,0,512
HLMS,120,0,533
HLO,136,0,539
HM,171,0,461
HMBH,172,0,465
HMBV,168,0,461
HMH,170,0,461
HMN,110,0,364
HN,145,0,533
HNK,146,0,589
HNO,21,0,14
HNP,146,0,34
HON,59,0,90
HOR,79,0,254
HR,75,0,14
HRL,233,0,551
HRLW,235,0,568
HRN,109,0,67
HRT,174,0,466
HT,126,0,326
HTN,86,0,326
HTNC,87,0,354
HTO,127,0,399
HVL,63,0,253
HVS,73,0,253
HVSM,74,0,254
HVSP,74,0,254
HWD,148,0,615
HWZB,113,0,533
HZE,169,0,467
IJT,129,0,32
KBD,223,0,637
KBK,64,0,50
KLP,98,0,293
KMA,120,0,546
KMR,241,0,568
KMW,151,0,39
KPN,24,0,14
KPNZ,24,0,14
KRD,241,0,579
KRG,230,0,637
KTR,117,0,364
KW,123,0,88
KZ,114,0,536
LAA,139,0,440
LC,73,0,90
LDL,127,0,344
LDM,118,0,451
LEDN,128,0,351
LG,236,0,568
LLS,66,0,14
LLZM,123,0,411
LP,141,0,94
LTN,83,0,270
LTV,91,0,92
LUT,218,0,551
LW,104,0,14
LWC,107,0,31
MAS,85,0,326
MDB,260,0,637
MES,241,0,553
MG,114,0,31
MMLH,114,0,371
MP,37,0,14
MRB,43,0,21
MRN,98,0,358
MT,235,0,551
MTH,124,0,90
MTN,238,0,553
MTR,236,0,553
MZ,179,0,472
NDB,79,0,254
NH,226,0,582
NKK,46,35.83870967741935,16
NM,104,0,350
NMD,109,0,371
NMGO,107,0,371
NMH,107,0,371
NML,103,0,364
NS,18,35.83870967741935,13
NSCH,159,0,97
NVD,41,0,14
NVP,122,0,509
NWK,119,0,411
O,128,0,371
OBD,154,0,625
ODB,184,0,606
ODZ,79,0,115
OMN,32,0,21
OP,113,0,364
OST,30,0,14
OT,147,0,442
OTB,89,0,350
OVN,123,0,549
OW,129,0,392
PMO,127,0,534
PMR,126,0,533
PMW,125,0,536
PT,39,35.83870967741935,30
RAI,100,0,257
RAT,27,0,14
RB,220,0,637
RD,153,0,98
RH,75,0,93
RHN,121,0,361
RL,78,0,92
RLB,141,0,490
RM,189,0,500
RS,133,0,402
RSD,191,0,601
RSN,57,0,26
RSW,142,0,426
RTA,124,0.03225806451612903,411
RTB,135,0,481
RTD,134,0.03225806451612903,411
RTN,129,0,413
RTST,139,0,490
RTZ,138,0,490
RV,178,0,486
RVS,120,0,350
SBK,221,0,581
SD,70,0,267
SDA,142,0,88
SDM,138,0,481
SDT,143,0,481
SDTB,146,0,482
SGL,245,0,567
SGN,162,0,625
SHL,112,0,331
SK,126,0,31
SKND,125,0,31
SM,184,0,500
SN,223,0,582
SOG,243,0,568
SPTN,128,0,567
SPTZ,126,0,567
SRN,207,0,578
SSH,133,0,509
ST,71,0,267
STD,214,0,549
STM,137,0,94
STV,155,0,39
STZ,72,0,257
SWD,126,0,82
SWK,51,0,64
TB,148,0,399
TBG,119,0,139
TBR,153,0,412
TBU,149,0,412
TG,171,0,467
TL,116,0,450
TPSW,114,0,450
TWL,45,0,90
UHM,150,0,98
UHZ,147,0,98
UST,142,0,97
UT,78,35.516129032258064,253
UTG,125,0,571
UTLN,82,0,326
UTLR,81,0,326
UTO,75,35.483870967741936,277
UTT,83,0,326
UTVR,79,0,326
UTZL,80,0,326
VB,135,0,411
VD,68,0,90
VDL,237,0,568
VDM,142,0,95
VEM,60,0,90
VG,130,0,399
VH,136,0,361
VHP,49,0,24
VK,246,0,568
VL,166,0,466
VLB,136,0,413
VNDC,113,0,360
VNDW,112,0,360
VP,79,0,96
VRY,143,0,414
VS,266,0,639
VSS,265,0,639
VST,133,0,446
VSV,122,0,123
VTN,85,0,331
VZ,56,0,25
WAD,118,0,411
WADN,119,0,411
WADT,117,0,411
WC,113,0,350
WD,94,0,253
WDN,49,0,26
WF,93,0,350
WFM,139,0,97
WH,23,0,14
WK,142,0,34
WL,108,0,122
WM,118,0,536
WP,88,0,265
WR,169,0,106
WS,147,0,97
WSM,131,0,83
WT,186,0,461
WTV,88,0,99
WV,64,0,14
WW,101,0,104
WWW,100,0,104
WZ,0,0,0
YPB,131,0,411
ZA,107,0,364
ZB,134,0,91
ZBM,113,0,450
ZD,112,0,533
ZDK,115,0,536
ZH,127,0,82
ZL,9,36.67741935483871,0
ZLSH,14,0,14
ZLW,168,0,601
ZP,56,0,90
ZTM,126,0,411
ZTMO,125,0,411
