Station Code,distance_YPB,services_per_day_YPB,n_of_disruptions_YPB
AC,68,0,127
AH,111,0,158
AHP,112,0,415
AHPR,114,0,417
AHZ,119,0,415
AKL,78,0,350
AKM,217,0,462
ALM,91,0,156
ALMB,97,0,287
ALMM,90,0,174
ALMO,99,0,287
ALMP,93,0,287
AMF,74,0,158
AMFS,77,0,398
AML,171,0,464
AMPO,88,0,174
AMR,86,0,161
AMRI,173,0,534
AMRN,87,0,236
ANA,116,0,247
APD,117,0,398
APDM,118,0,433
APDO,120,0,433
APG,280,0,492
APN,37,0,49
ARN,153,0,254
ASA,68,0,159
ASB,68,0,82
ASD,70,0,82
ASDL,63,0,82
ASDM,70,0,196
ASDZ,62,0,82
ASHD,69,0,96
ASN,218,0,412
ASS,66,0,82
ASSP,71,0,210
ATN,163,0,452
AVAT,80,0,404
BD,80,0,218
BDE,225,0,345
BDG,45,0,130
BDM,261,0,481
BDPB,75,0,340
BET,123,0,274
BF,265,0,481
BGN,101,0,223
BHDV,67,0,348
BHV,62,0,158
BK,218,0,345
BKF,120,0,167
BKG,119,0,163
BKL,56,0,94
BL,202,0,417
BLL,54,0,119
BMN,133,0,418
BMR,155,0,450
BN,180,0,534
BNC,93,0,399
BNK,61,0,158
BNN,90,0,398
BNZ,95,0,415
BP,259,0,429
BR,183,0,325
BRD,41,0,233
BRN,77,0,182
BSD,86,0,282
BSK,33,0,85
BSKS,32,0,85
BSMZ,76,0,159
BTL,113,0,231
BV,64,0,139
BZL,133,0,254
CAS,74,0,158
CK,145,0,447
CL,71,35.193548387096776,186
CO,195,0,432
CPS,34,0,85
CVM,235,0,362
DA,182,0,534
DB,65,0,158
DDN,175,0,448
DDR,50,0,218
DDRS,53,0,335
DDZD,51,0,335
DEI,239,0,429
DID,130,0,415
DL,152,0,412
DLD,65,0,178
DLN,199,0,446
DMN,73,0,210
DMNZ,68,0,159
DN,155,0,297
DR,127,0,415
DRH,59,0,138
DRON,140,0,301
DRP,246,0,443
DT,16,0,47
DTC,141,0,435
DTCH,139,0,435
DTCP,17,0,148
DV,132,0,398
DVC,136,0,464
DVD,66,0,156
DVN,120,0,417
DVNK,19,0,35
DWE,252,0,429
DZ,284,0,510
DZW,283,0,510
EC,198,0,342
ED,94,0,158
EDC,96,0,180
EDN,240,0,346
EEM,291,0,509
EGH,234,0,361
EGHM,235,0,361
EHS,132,0,350
EHV,133,0,231
EKZ,123,0,175
EML,97,0,401
EMN,215,0,447
EMNZ,211,0,446
ES,188,0,500
ESK,184,0,500
EST,122,0,415
ETN,91,0,541
FN,252,0,429
FWD,249,0,429
GBG,188,0,432
GD,21,45.54838709677419,0
GDG,24,43.29032258064516,85
GDM,79,35.193548387096776,239
GDR,146,0,452
GERP,244,0,465
GK,265,0,480
GLN,214,0,344
GN,246,0,465
GND,64,0,338
GNN,250,0,480
GO,165,0,440
GP,139,0,293
GR,73,0,348
GS,138,0,254
GV,8,0,32
GVC,7,45.354838709677416,3
GVM,11,0,32
GVMW,9,0,47
GW,222,0,419
GZ,90,0,541
HAD,47,0,42
HB,225,0,375
HBZM,61,0,338
HD,101,0,401
HDB,182,0,419
HDE,122,0,398
HDG,245,0,429
HDR,128,0,256
HDRZ,127,0,256
HFD,46,0,42
HGL,180,0,481
HGLG,178,0,481
HGLO,182,0,500
HGV,188,0,412
HGZ,257,0,488
HIL,40,0,42
HK,67,0,157
HKS,115,0,159
HLG,261,0,430
HLGH,262,0,434
HLM,51,0,82
HLMS,52,0,119
HLO,81,0,161
HM,146,0,293
HMBH,147,0,297
HMBV,143,0,293
HMH,145,0,293
HMN,110,0,285
HN,105,0,103
HNK,106,0,159
HNO,152,0,412
HNP,277,0,432
HON,151,0,464
HOR,65,0,158
HR,206,0,412
HRL,229,0,344
HRLW,231,0,361
HRN,240,0,465
HRT,173,0,325
HT,101,0,158
HTN,61,35.193548387096776,158
