Station Code,distance_ZDK,services_per_day_ZDK,n_of_disruptions_ZDK
AC,28,0,296
AH,109,0,563
AHP,110,0,820
AHPR,112,0,822
AHZ,117,0,820
AKL,99,0,480
AKM,201,0,434
ALM,43,0,282
ALMB,49,0,413
ALMM,42,0,303
ALMO,51,0,413
ALMP,45,0,413
AMF,58,0,283
AMFS,61,0,523
AML,155,0,589
AMPO,40,0,303
AMR,32,0,6
AMRI,157,0,659
AMRN,33,0,81
ANA,62,0,92
APD,101,0,523
APDM,102,0,558
APDO,104,0,558
APG,264,0,512
APN,68,0,91
ARN,214,0,180
ASA,19,1.2903225806451613,282
ASB,23,1.2903225806451613,282
ASD,13,1.6129032258064515,24
ASDL,12,25.35483870967742,24
ASDM,17,0,282
ASDZ,25,0,282
ASHD,24,0,296
ASN,202,0,432
ASS,9,31.548387096774192,3
ASSP,18,0,296
ATN,161,0,857
AVAT,64,0,529
BD,141,0,144
BDE,224,0,542
BDG,76,0,172
BDM,245,0,501
BDPB,136,0,266
BET,122,0,471
BF,249,0,501
BGN,162,0,149
BHDV,110,0,500
BHV,61,0,355
BK,217,0,542
BKF,45,1.7419354838709677,67
BKG,44,1.7419354838709677,63
BKL,50,0,299
BL,186,0,432
BLL,27,0,61
BMN,126,0,558
BMR,153,0,855
BN,164,0,659
BNC,77,0,524
BNK,60,0,355
BNN,74,0,523
BNZ,79,0,540
BP,243,0,444
BR,182,0,522
BRD,102,0,159
BRN,49,0,283
BSD,85,0,479
BSK,74,0,172
BSKS,75,0,195
BSMZ,37,0,314
BTL,112,0,428
BV,22,0,39
BZL,194,0,180
CAS,20,0,3
CK,143,0,852
CL,70,0,383
CO,179,0,461
CPS,97,0,440
CVM,234,0,559
DA,166,0,659
DB,64,0,355
DDN,159,0,573
DDR,111,0,144
DDRS,114,0,261
DDZD,112,0,261
DEI,223,0,444
DID,128,0,820
DL,136,0,441
DLD,61,0,297
DLN,183,0,475
DMN,20,0,296
DMNZ,23,0,322
DN,154,0,494
DR,125,0,820
