Station Code,Distance from ZL,Services from/to ZL,Disruptions on path to ZL
AC,111,0.0,349
AH,76,34.29032258064516,79
AHP,75,0.8387096774193549,83
AHPR,73,0.8387096774193549,82
AHZ,84,0.0,336
AKL,134,0.0,438
AKM,77,22.967741935483872,50
ALM,81,71.80645161290323,11
ALMB,75,35.096774193548384,11
ALMM,82,35.096774193548384,142
ALMO,73,35.16129032258065,0
ALMP,79,35.096774193548384,16
AMF,66,73.35483870967742,0
AMFS,63,35.87096774193548,0
AML,45,47.096774193548384,12
AMPO,84,35.096774193548384,143
AMR,150,0.0,427
AMRI,47,37.83870967741935,82
AMRN,151,0.0,502
ANA,180,0.0,513
APD,46,0.0,0
APDM,47,0.0,35
APDO,43,0.0,76
APG,140,0.0,80
APN,122,0.0,250
ARN,265,0.0,624
ASA,108,0.0,145
ASB,108,0.0,145
ASD,111,37.45161290322581,142
ASDL,118,31.90322580645161,421
ASDM,107,35.12903225806452,259
ASDZ,110,34.45161290322581,142
ASHD,109,0.0,159
ASN,78,68.83870967741936,0
ASS,115,31.90322580645161,400
ASSP,106,35.12903225806452,259
ATN,104,0.0,90
AVAT,60,35.83870967741935,6
BD,178,32.38709677419355,399
BDE,220,0.0,538
BDG,114,0.0,241
BDM,121,0.0,69
BDPB,183,0.0,722
BET,157,0.0,429
BF,125,0.0,69
BGN,213,0.0,593
BHDV,145,0.0,458
BHV,78,35.483870967741936,244
BK,213,0.0,538
BKF,169,0.0,485
BKG,168,0.0,481
BKL,99,0.0,316
BL,62,34.935483870967744,5
BLL,133,0.0,437
BMN,54,0.8064516129032258,76
BMR,120,0.0,371
BN,54,37.83870967741935,82
BNC,85,0.0,241
BNK,95,0.0,313
BNN,82,0.0,240
BNZ,87,0.0,257
BP,119,0.0,17
BR,155,0.0,400
BRD,154,0.0,483
BRN,75,0.032258064516129,240
BSD,120,0.0,437
BSK,128,0.0,331
BSKS,129,0.0,354
BSMZ,87,0.032258064516129,241
BTL,147,0.0,386
BV,140,0.0,460
BZL,0,0.0,0
CAS,138,0.0,424
CK,110,0.0,368
CL,105,0.0,341
CO,55,42.32258064516129,20
CPS,132,0.0,398
CVM,230,0.0,555
DA,42,0.0,10
DB,99,0.0,313
DDN,64,0.0,101
DDR,162,0.0,471
DDRS,159,0.0,469
DDZD,163,0.0,588
DEI,99,0.0,17
DID,93,0.0,88
DL,12,42.32258064516129,0
DLD,75,35.483870967741936,240
DLN,59,23.193548387096776,34
DMN,104,35.12903225806452,258
DMNZ,104,0.0,258
DN,183,0.0,452
DR,60,34.29032258064516,76
DRH,138,0.0,456
DRON,32,36.935483870967744,0
DRP,106,0.0,31
DT,156,0.0,413
DTC,104,0.0,108
DTCH,102,0.0,108
DTCP,156,0.0,468
DV,31,37.29032258064516,10
DVC,35,0.0,76
DVD,106,0.032258064516129,142
DVN,83,0.0,85
DVNK,140,15.419354838709678,348
DWE,112,0.0,17
DZ,144,0.0,98
DZW,143,0.0,98
EC,193,0.0,535
ED,93,0.0,336
EDC,95,0.0,358
EDN,235,0.0,539
EEM,151,0.0,97
EGH,229,0.0,554
EGHM,230,0.0,554
EHS,166,0.0,505
EHV,167,0.0,386
EKZ,172,0.0,493
EML,43,35.83870967741935,3
EMN,75,38.483870967741936,35
EMNZ,71,38.483870967741936,34
ES,67,47.096774193548384,101
ESK,63,37.83870967741935,101
EST,87,0.0,336
ETN,189,32.38709677419355,722
FN,112,0.0,17
FWD,109,0.0,17
GBG,48,23.193548387096776,20
GD,119,34.12903225806452,313
GDG,116,0.0,241
GDM,113,0.0,394
GDR,109,0.0,125
GERP,104,34.935483870967744,53
GK,125,0.0,68
GLN,209,0.0,537
GN,106,68.83870967741936,53
GND,148,0.0,458
GNN,110,0.0,68
GO,74,0.0,134
GP,173,0.0,448
GR,139,0.0,456
GS,250,0.0,624
GV,148,0.0,398
GVC,147,49.74193548387097,398
GVM,148,15.419354838709678,433
GVMW,149,0.0,413
GW,82,22.967741935483872,7
GZ,168,0.1935483870967742,401
HAD,134,0.0,437
HB,220,0.0,568
HBZM,151,0.0,468
HD,39,36.83870967741935,0
HDB,42,42.32258064516129,7
HDE,18,35.935483870967744,0
HDG,105,0.0,17
HDR,192,0.0,522
HDRZ,191,0.0,522
HFD,126,32.03225806451613,266
HGL,59,47.096774193548384,82
HGLG,61,0.0,101
HGLO,61,0.0,101
HGV,48,35.225806451612904,0
HGZ,117,0.0,76
HIL,141,0.0,477
HK,137,0.0,460
HKS,164,0.0,477
HLG,121,0.0,18
HLGH,122,0.0,22
HLM,130,0.0,400
HLMS,129,0.0,421
HLO,145,0.0,427
HM,180,0.0,448
HMBH,181,0.0,452
HMBV,177,0.0,448
HMH,179,0.0,448
HMN,101,0.0,350
HN,154,0.0,421
HNK,155,0.0,477
HNO,12,37.87096774193548,0
HNP,137,0.0,20
HON,50,0.0,76
HOR,88,0.0,241
HR,66,57.25806451612903,0
HRL,224,0.0,537
HRLW,226,0.0,554
HRN,100,34.903225806451616,53
HRT,165,0.0,452
HT,135,32.41935483870968,313
HTN,95,0.0,313
HTNC,96,0.0,341
HTO,136,0.0,386
HVL,72,0.0,240
HVS,82,0.0967741935483871,240
HVSM,83,0.032258064516129,241
HVSP,83,0.0,241
HWD,157,0.0,503
HWZB,122,0.0,421
HZE,178,0.0,454
IJT,120,0.0,18
KBD,232,0.0,624
KBK,55,0.0,36
KLP,100,0.0,358
KMA,129,0.0,434
KMR,232,0.0,554
KMW,142,0.0,25
KPN,15,37.45161290322581,0
KPNZ,15,37.096774193548384,0
KRD,232,0.0,565
KRG,239,0.0,624
KTR,108,0.0,350
KW,114,0.0,74
KZ,123,0.0,424
LAA,148,17.64516129032258,427
LC,64,0.0,76
LDL,136,0.0,331
LDM,127,0.0,438
LEDN,137,64.80645161290323,338
LG,227,0.0,554
LLS,57,73.6774193548387,0
LLZM,132,0.0,398
LP,132,0.0,80
LTN,92,0.0,257
LTV,82,0.0,78
LUT,209,0.0,537
LW,95,57.25806451612903,0
LWC,98,0.0,17
MAS,94,0.0,313
MDB,269,0.0,624
MES,232,0.0,539
MG,105,0.0,17
MMLH,105,0.0,357
MP,28,92.25806451612904,0
MRB,34,36.87096774193548,7
MRN,107,0.0,345
MT,226,0.0,537
MTH,115,0.0,76
MTN,229,0.0,539
MTR,227,0.0,539
MZ,188,0.0,459
NDB,88,0.032258064516129,241
NH,217,0.0,568
NKK,55,36.83870967741935,3
NM,95,33.29032258064516,336
NMD,100,0.0,357
NMGO,98,0.0,357
NMH,98,0.0,357
NML,94,0.0,350
NS,27,35.87096774193548,0
NSCH,150,0.0,83
NVD,32,47.096774193548384,0
NVP,131,30.483870967741936,394
NWK,128,0.0,398
O,119,32.41935483870968,357
OBD,163,0.0,513
ODB,193,0.0,593
ODZ,70,0.0,101
OMN,23,42.32258064516129,7
OP,104,0.0,350
OST,21,37.29032258064516,0
OT,156,0.0,429
OTB,80,0.0,336
OVN,132,0.0,437
OW,120,0.0,378
PMO,136,0.0,422
PMR,135,0.0,421
PMW,134,0.0,424
PT,48,35.903225806451616,17
RAI,109,0.0,145
RAT,18,47.096774193548384,0
RB,229,0.0,624
RD,144,0.0,84
RH,66,0.8387096774193549,79
RHN,130,0.0,348
RL,69,0.0,78
RLB,150,0.0,477
RM,180,0.0,486
RS,131,0.032258064516129,378
RSD,200,32.38709677419355,588
RSN,48,0.0,12
RSW,151,0.0,413
RTA,133,34.12903225806452,398
RTB,144,0.0,468
RTD,143,34.12903225806452,398
RTN,138,0.0,400
RTST,148,0.0,477
RTZ,147,0.0,477
RV,169,0.0,472
RVS,111,0.0,336
SBK,212,0.0,567
SD,79,0.0,254
SDA,133,0.0,74
SDM,147,0.0,468
SDT,152,0.0,468
SDTB,155,0.0,469
SGL,236,0.0,553
SGN,171,0.0,513
SHL,121,66.35483870967742,216
SK,117,0.0,17
SKND,116,0.0,17
SM,175,0.0,486
SN,214,0.0,568
SOG,234,0.0,554
SPTN,137,0.0,455
SPTZ,135,0.0,455
SRN,198,0.0,564
SSH,142,30.483870967741936,394
ST,80,0.0,254
STD,205,0.0,535
STM,128,0.0,80
STV,146,0.0,25
STZ,81,0.0,244
SWD,117,0.0,68
SWK,42,57.25806451612903,50
TB,157,32.38709677419355,386
TBG,110,0.0,125
TBR,162,0.1935483870967742,399
TBU,158,0.0967741935483871,399
TG,162,0.0,453
TL,120,0.0,353
TPSW,122,0.0,353
TWL,36,0.0,76
UHM,141,0.0,84
UHZ,138,0.0,84
UST,133,0.0,83
UT,87,72.80645161290323,240
UTG,134,0.0,459
UTLN,91,0.0,313
UTLR,90,0.0,313
UTO,84,35.516129032258064,264
UTT,92,0.0,313
UTVR,88,0.0,313
UTZL,89,0.0,313
VB,144,0.0,398
VD,59,0.0,76
VDL,228,0.0,554
VDM,133,0.0,81
VEM,51,0.0,76
VG,139,0.0,386
VH,145,0.0,348
VHP,40,0.0,10
VK,237,0.0,554
VL,157,0.0,452
VLB,127,0.0,399
VNDC,122,0.0,347
VNDW,121,0.0,347
VP,70,0.8387096774193549,82
VRY,134,0.0,400
VS,275,0.0,626
VSS,274,0.0,626
VST,142,15.419354838709678,433
VSV,113,0.0,109
VTN,94,0.0,318
VZ,47,0.0,11
WAD,127,0.0,398
WADN,128,0.0,398
WADT,126,0.0,398
WC,104,0.032258064516129,336
WD,103,0.032258064516129,240
WDN,40,37.83870967741935,12
WF,84,0.0,336
WFM,130,0.0,83
WH,14,37.29032258064516,0
WK,133,0.0,20
WL,99,0.0,108
WM,127,0.0,424
WP,97,35.12903225806452,252
WR,160,0.0,92
WS,138,0.0,83
WSM,122,0.0,69
WT,195,0.0,448
WTV,79,0.0,85
WV,55,22.967741935483872,0
WW,92,0.0,90
WWW,91,0.0,90
WZ,9,35.87096774193548,0
YPB,140,0.0,398
ZA,98,0.0,350
ZB,125,0.0,77
ZBM,122,0.0,437
ZD,121,0.0,421
ZDK,124,0.0,424
ZH,118,0.0,68
ZL,0,0.0,0
ZLSH,5,37.45161290322581,0
ZLW,177,0.0,588
ZP,47,35.12903225806452,76
ZTM,135,0.0,398
ZTMO,134,0.0,398
ZV,88,0.0,88
ZVB,185,0.0,593
ZVT,138,0.0,441
ZWD,161,0.0,582
ZZS,124,0.0,427
