Station Code,Delay Count
ASD,13103
ASS,11734
SHL,11547
RTD,9681
UT,8850
ZL,5919
HT,5855
AMF,5841
LEDN,5784
AH,5612
EHV,5116
ASDZ,4762
ASDM,4723
DDR,4654
DT,4611
ZD,4336
BD,4232
NM,4231
HVS,4210
DVD,4101
TB,4004
ASA,3947
GVC,3925
SDM,3905
HFD,3655
GDM,3499
HRL,3489
GV,3435
RSD,3390
HLM,3331
HGL,3327
GD,3324
GERP,3305
LAA,3192
WP,3143
STD,3131
DV,3104
MT,3049
ASB,3035
GN,3032
RM,2973
CAS,2930
ZP,2904
MP,2845
UTVR,2814
BHDV,2798
ASDL,2765
AML,2720
ALM,2647
NDB,2587
RTB,2549
ED,2444
GND,2432
DDRS,2404
BR,2357
O,2270
SDT,2252
KW,2246
MTR,2221
MMLH,2206
RTA,2191
AHP,2186
HLMS,2179
ZZS,2158
VL,2154
HAD,2148
BRN,2114
MTH,2081
CL,2062
EST,2057
AMFS,2054
SDTB,2041
LDL,2027
NMH,2019
FWD,2008
VK,1980
LW,1978
UTG,1968
HGZ,1951
ZB,1947
WD,1942
HTN,1933
HVSP,1923
ZV,1920
UTO,1904
APD,1903
NH,1902
SWD,1898
ASSP,1894
HM,1882
CK,1872
WT,1864
BKL,1827
HTNC,1825
BGN,1823
ZH,1814
DB,1805
WM,1805
AMR,1795
GR,1788
HWD,1757
HLO,1741
DLD,1736
OVN,1732
BP,1723
UTLN,1716
RLB,1714
BSMZ,1708
HVSM,1687
DR,1685
WC,1684
MRB,1677
NMD,1666
BMR,1638
ASN,1627
WDN,1624
SN,1620
NMGO,1601
OST,1600
LG,1599
BNZ,1587
HGLG,1578
SBK,1578
BTL,1573
ZLW,1566
HDB,1562
ZWD,1554
VRY,1550
KMA,1544
GDG,1511
DN,1508
VLB,1504
LLS,1502
BNN,1490
GNN,1487
DMN,1487
MRN,1483
GS,1481
HR,1477
BNC,1476
STZ,1471
TBU,1470
OMN,1463
WSM,1463
KZ,1457
KRG,1450
ANA,1441
MES,1440
RV,1439
ALMM,1432
DTCP,1432
HDG,1425
DL,1422
LWC,1419
AMRN,1413
ATW,1412
ZBM,1402
GLN,1402
SWK,1382
HWZB,1381
ASHD,1381
DDZD,1379
HBZM,1378
AVAT,1378
NVD,1377
NVP,1364
RAI,1355
WTV,1337
GVM,1330
HN,1329
EHS,1326
DVN,1326
VST,1318
SM,1299
BET,1298
VSS,1297
DID,1297
AMPO,1294
RVS,1288
RAT,1282
DWE,1277
TG,1273
RTZ,1227
ES,1201
OW,1199
CO,1190
RB,1190
SGN,1169
HB,1166
BHV,1162
ARN,1154
YPB,1151
BF,1150
UTT,1144
RTN,1141
BRD,1141
BZL,1136
NKK,1106
HOR,1084
AKL,1078
APG,1076
WH,1075
WADN,1072
DMNZ,1069
FN,1059
HD,1059
SD,1041
MDB,1036
ZTM,1033
PT,1027
KBD,1027
HIL,1027
SSH,1027
ESK,1025
VG,1023
WAD,1023
EMNZ,1018
HRT,996
GK,992
BSD,990
RSW,988
DVNK,986
SDA,985
VNDW,980
UTZL,978
GZ,974
ALMP,971
GVMW,966
DUSSEL,961
BNK,961
SRN,961
APN,950
HRLW,950
LDM,947
LLZM,947
OBD,947
WFM,943
MAS,939
BL,935
DLN,934
NS,925
RL,919
BRUSZ,916
BDM,914
AMRI,901
MTN,899
BERCH,890
PMO,879
AC,876
NML,873
WL,864
TPSW,858
VDL,857
MG,849
ALMB,849
VD,842
ALMO,834
HTO,829
RSN,827
OT,822
ODB,820
UST,819
HK,818
EDN,812
HRN,807
ZVB,805
EC,804
BDPB,803
BH,803
SKND,795
UHM,793
HDE,790
HZ,790
LTN,787
EML,785
STM,782
VS,781
HNK,779
VEM,767
DTC,766
AHZ,765
GO,764
SOG,764
DEI,759
SPTN,746
EGHM,744
TL,742
GBG,742
HDRZ,741
ODZ,740
CPS,731
ETN,721
OBERH,721
HNO,715
NWK,709
UTLR,702
ZDK,696
EL,692
NDKP,691
ST,691
BSKS,682
BLL,678
GDR,675
OTB,675
EM,672
PMR,671
DRH,667
LUT,667
BK,663
KPNZ,658
KMR,656
SPTZ,650
HMH,650
HVL,648
FVS,648
WV,647
KLP,647
HMBV,645
BSK,643
SGL,635
BDG,631
ZTMO,630
LP,629
HMBH,620
TBR,619
BDE,617
EPRA,609
RHEINE,606
AKM,605
AW,603
HZE,597
WADT,597
LTV,595
VB,592
WS,589
VTN,588
BV,584
VZ,578
PMW,577
OSNH,572
VH,571
DVC,567
DDN,566
DUISB,565
GP,561
HGV,560
MECH,557
RS,550
WESEL,545
OBERHS,543
ZA,542
HON,536
WZ,535
VNDC,532
AHPR,531
EMN,529
LC,528
BKF,524
VHP,517
ZVT,517
FBNL,514
DTCH,508
BRUSN,505
NSCH,505
HGLO,502
BRUSC,496
HNP,492
DRON,491
MZ,488
VP,478
MID,465
KN,464
BUENDE,462
BRESSX,457
WF,450
UHZ,449
APDO,447
HMN,446
IJT,442
GKT,442
ATWLB,440
WW,440
GWD,432
KBRY,429
KTR,426
BN,423
MCGB,423
HKS,422
FKTH,420
VIERS,414
EGH,412
HDR,410
EDC,406
WWW,405
ANDD,398
DZW,393
LKP,391
WK,371
ZLSH,368
DZ,365
LUIK,360
KMW,360
LKR,360
TBG,357
ATN,356
DA,356
CVM,354
KBOI,347
OP,337
KDUL,334
BKG,332
TWL,331
AHBF,328
KDFFH,318
BMN,317
GW,316
ESN,313
RHN,313
RH,305
KRD,299
APDM,292
NEUSS,290
KPN,282
WUPPH,279
SK,278
RD,277
MARIA,272
KBK,263
FNZD,261
DRP,256
WUPPV,254
HAGEN,234
VSV,228
BIELEF,221
EBEO,214
EKZ,205
ESRT,204
FNAF,184
HLG,184
EENP,183
KSWE,180
KOLN,175
KWO,172
KWBA,169
MINDEN,165
VDM,160
HLGH,160
STV,154
HWOB,152
EUN,135
HANN,122
FHS,122
EHZW,116
WR,100
LS,97
FRP,97
OEYNH,91
BERHBL,88
FFFM,78
EEM,68
BSPD,65
KSB,54
UTM,51
FLJ,42
FMZ,42
FLGP,39
KKO,36
RTST,31
MANNHE,31
KARLSR,30
PARIS,28
BONN,27
KKD,26
HAMM,17
KBB,10
KT,9
STP,5
NURNB,4
WURZB,4
FFS,4
BHF,4
RO,2
LILLEE,2
BASELS,2
BASELB,2
RF,2
RBB,1
ZUE,1
