Station Code,Number of Services,Disruption Count,Delay Count,Cancel Count
UT,36963,463,8850,2109
ASD,34017,371,13103,2174
RTD,23555,555,9681,2537
ASS,23387,289,11734,1333
SHL,23135,509,11547,1632
ZL,22391,185,5919,1367
AH,20422,261,5612,1318
LEDN,18577,303,5784,1173
AMF,18375,241,5841,933
GVC,17701,215,3925,899
GN,17361,112,3032,244
HT,15708,165,5855,1268
DDR,15008,243,4654,1513
GD,14849,183,3324,733
EHV,14721,149,5116,1635
ALM,14499,133,2647,1838
WP,13341,173,3143,1682
NM,12959,117,4231,690
LW,12352,92,1978,690
GV,12071,138,3435,1680
ASDZ,11966,158,4762,608
DT,11662,135,4611,1797
HLM,10929,168,3331,570
HVS,10733,132,4210,403
MT,10124,60,3049,832
ZP,10021,113,2904,535
STD,9585,85,3131,590
SDM,9580,136,3905,1484
WD,9480,168,1942,525
HGL,9384,206,3327,732
ZD,9348,87,4336,689
DVD,9168,235,4101,364
AML,9122,72,2720,520
RM,8977,88,2973,662
HRL,8905,82,3489,863
ASA,8899,98,3947,614
TB,8879,130,4004,824
RSD,8877,162,3390,1208
HFD,8864,214,3655,491
UTVR,8514,141,2814,247
BD,8404,329,4232,817
LAA,8360,109,3192,399
ED,8198,112,2444,331
RTB,8071,105,2549,1055
ASDM,7977,159,4723,353
ASB,7975,157,3035,416
GDM,7753,113,3499,272
UTO,7740,96,1904,199
ES,7709,40,1201,450
APN,7654,81,950,273
DV,7579,114,3104,339
VL,7461,142,2154,793
AMPO,7304,86,1294,854
ALMM,7304,88,1432,854
APD,7253,83,1903,205
GERP,6870,56,3305,62
MTR,6757,16,2221,461
HN,6646,80,1329,582
AMR,6532,78,1795,471
NDB,6508,106,2587,469
AMFS,6424,66,2054,346
HM,6407,54,1882,851
ALMO,6393,66,834,1008
CAS,6166,54,2930,443
DR,6144,60,1685,705
UTG,6136,92,1968,369
WT,6069,56,1864,410
HAD,5791,60,2148,337
MP,5776,93,2845,176
DB,5774,100,1805,214
HTN,5748,86,1933,205
CL,5747,65,2062,210
HTNC,5746,68,1825,213
UTLN,5746,73,1716,211
BKL,5401,158,1827,145
RTA,5381,58,2191,286
ALMB,5351,59,849,734
ZLW,5339,149,1566,569
ASDL,5270,198,2765,245
GVMW,5165,118,966,1012
BR,5165,67,2357,362
RSW,5165,121,988,1015
AHP,5040,123,2186,68
LLS,5026,57,1502,249
HLO,5000,54,1741,321
ALMP,4940,58,971,704
DMN,4870,41,1487,238
ASSP,4870,42,1894,238
DN,4831,51,1508,418
EST,4794,113,2057,127
GDG,4778,123,1511,207
HWZB,4740,74,1381,176
HLMS,4740,74,2179,176
AMRN,4642,24,1413,246
HWD,4642,47,1757,285
BRN,4622,52,2114,67
ZV,4620,104,1920,175
ASN,4435,54,1627,164
O,4318,74,2270,322
WDN,4256,51,1624,277
AVAT,4253,60,1378,159
WW,4238,19,440,55
MES,4206,20,1440,404
VK,4206,25,1980,411
LDL,4145,45,2027,161
DLD,4107,84,1736,105
BHV,4105,73,1162,96
BDG,4104,28,631,185
TL,4083,34,742,123
HDB,4055,26,1562,102
GNN,4044,29,1487,25
SWD,4040,35,1898,25
KW,3997,19,2246,22
HGZ,3997,18,1951,22
ZB,3997,30,1947,60
MTH,3997,19,2081,22
MRB,3913,34,1677,100
BTL,3904,116,1573,268
BSMZ,3902,102,1708,101
HVSM,3902,89,1687,101
TBU,3886,89,1470,288
HR,3859,40,1477,170
DDRS,3844,42,2404,96
GND,3840,32,2432,122
SDT,3840,45,2252,98
GR,3836,44,1788,126
BNZ,3835,54,1587,85
BHDV,3835,29,2798,125
BNC,3835,53,1476,85
SDTB,3835,37,2041,96
BNN,3834,43,1490,48
HVL,3834,45,648,48
BET,3828,81,1298,176
EHS,3824,79,1326,177
GVM,3794,122,1330,102
DVNK,3793,113,986,102
VST,3793,114,1318,102
HNK,3790,49,779,276
SSH,3778,140,1027,377
UTLR,3746,126,702,298
UTT,3746,124,1144,298
VTN,3746,132,588,318
DTCP,3736,132,1432,301
DDZD,3726,106,1379,406
RAI,3671,146,1355,138
FWD,3646,35,2008,23
DMNZ,3641,75,1069,150
HVSP,3634,30,1923,90
SWK,3567,46,1382,147
RTZ,3561,101,1227,174
ZWD,3559,129,1554,175
BRD,3559,125,1141,170
RLB,3559,129,1714,170
NVP,3523,144,1364,281
WTV,3510,83,1337,35
DID,3510,27,1297,35
DVN,3510,84,1326,35
WAD,3504,45,1023,54
WADT,3504,44,597,55
BSK,3504,51,643,64
BSKS,3504,45,682,54
WADN,3504,45,1072,54
DTC,3498,37,766,37
DTCH,3498,22,508,35
WL,3498,28,864,35
LG,3480,41,1599,203
NMGO,3419,26,1601,168
WC,3418,48,1684,161
NMD,3417,26,1666,170
ZBM,3401,62,1402,88
ODZ,3379,121,740,231
AKM,3376,43,605,353
BGN,3319,46,1823,530
MDB,3267,27,1036,536
VS,3266,19,781,521
GS,3266,40,1481,553
WM,3255,52,1805,165
KMA,3248,42,1544,165
KZ,3247,35,1457,141
