COUNTRY,Country,VARIABLE,Variable,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2001,2001,PKM,Passenger-kilometres,6,Millions,,,267525.0,,
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2002,2002,PKM,Passenger-kilometres,6,Millions,,,244955.0,,
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2003,2003,PKM,Passenger-kilometres,6,Millions,,,238861.0,,
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2004,2004,PKM,Passenger-kilometres,6,Millions,,,190183.0,,
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2005,2005,PKM,Passenger-kilometres,6,Millions,,,200779.0,B,Break
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2006,2006,PKM,Passenger-kilometres,6,Millions,,,204339.0,,
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2007,2007,PKM,Passenger-kilometres,6,Millions,,,205158.0,,
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2008,2008,PKM,Passenger-kilometres,6,Millions,,,306660.0,,
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2009,2009,PKM,Passenger-kilometres,6,Millions,,,310787.0,,
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2010,2010,PKM,Passenger-kilometres,6,Millions,,,378863.0,,
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2011,2011,PKM,Passenger-kilometres,6,Millions,,,363318.0,,
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2012,2012,PKM,Passenger-kilometres,6,Millions,,,355200.0,,
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2013,2013,PKM,Passenger-kilometres,6,Millions,,,359928.0,,
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2014,2014,PKM,Passenger-kilometres,6,Millions,,,368516.0,,
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2015,2015,PKM,Passenger-kilometres,6,Millions,,,378044.0,,
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2016,2016,PKM,Passenger-kilometres,6,Millions,,,373919.0,,
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2017,2017,PKM,Passenger-kilometres,6,Millions,,,381854.0,,
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2018,2018,PKM,Passenger-kilometres,6,Millions,,,387268.0,,
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2019,2019,PKM,Passenger-kilometres,6,Millions,,,387957.0,,
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2020,2020,PKM,Passenger-kilometres,6,Millions,,,339537.0,,
KOR,Korea,T-PASS-RD-TOT,Road passenger transport,2021,2021,PKM,Passenger-kilometres,6,Millions,,,356652.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2000,2000,PKM,Passenger-kilometres,6,Millions,,,3834.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2001,2001,PKM,Passenger-kilometres,6,Millions,,,3899.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2002,2002,PKM,Passenger-kilometres,6,Millions,,,3926.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2003,2003,PKM,Passenger-kilometres,6,Millions,,,3585.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2004,2004,PKM,Passenger-kilometres,6,Millions,,,3633.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2005,2005,PKM,Passenger-kilometres,6,Millions,,,3753.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2006,2006,PKM,Passenger-kilometres,6,Millions,,,3876.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2007,2007,PKM,Passenger-kilometres,6,Millions,,,3987.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2008,2008,PKM,Passenger-kilometres,6,Millions,,,4213.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2009,2009,PKM,Passenger-kilometres,6,Millions,,,4152.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2010,2010,PKM,Passenger-kilometres,6,Millions,,,4111.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2011,2011,PKM,Passenger-kilometres,6,Millions,,,4143.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2012,2012,PKM,Passenger-kilometres,6,Millions,,,3803.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2013,2013,PKM,Passenger-kilometres,6,Millions,,,3649.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2014,2014,PKM,Passenger-kilometres,6,Millions,,,3852.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2015,2015,PKM,Passenger-kilometres,6,Millions,,,3957.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2016,2016,PKM,Passenger-kilometres,6,Millions,,,4146.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2017,2017,PKM,Passenger-kilometres,6,Millions,,,4391.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2018,2018,PKM,Passenger-kilometres,6,Millions,,,4487.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2019,2019,PKM,Passenger-kilometres,6,Millions,,,4964.014,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2020,2020,PKM,Passenger-kilometres,6,Millions,,,2552.0,,
PRT,Portugal,T-PASS-RL-TOT,Rail passenger transport,2021,2021,PKM,Passenger-kilometres,6,Millions,,,2912.0,,
HRV,Croatia,T-PASS-RD-TOT,Road passenger transport,2011,2011,PKM,Passenger-kilometres,6,Millions,,,28387.0,,
HRV,Croatia,T-PASS-RD-TOT,Road passenger transport,2012,2012,PKM,Passenger-kilometres,6,Millions,,,29396.0,,
